video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,631,fingerspelling,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute in Technology.",This is the sign for the first time in the world.,1.0760655235499144,1.0819060371061902,0.005840513556275795,23.187652230262756
Rachel_2011-12-08_sc44_15,632,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for Bill Clinton? ""No, I wasn't even old enough to vote when he ran for office.""",The father of the father is the home of the father.,1.7767662247743017,1.759282758261295,-0.017483466513006585,22.28725254535675
Rachel_2011-12-08_sc44_15,633,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for George Bush? ""No, I wasn't that old to vote when he ran for office.""",The father of the father is the home of the father.,1.7767662247743017,1.7822630795281986,0.00549685475389694,22.28725254535675
Rachel_2011-12-08_sc44_15,634,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed John McCain.""",The father of God says he will not be able to communicate with him.,1.6991923595778644,1.621987422866126,-0.07720493671173845,21.144986152648926
Rachel_2011-12-08_sc44_15,635,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Tina Fey. ""No, he didn't interview her he interviewed Sarah Palin.""",The father of God says he will not be able to communicate with him.,1.6991923595778644,1.7900042938137497,0.0908119342358853,21.144986152648926
Rachel_2011-12-08_sc44_15,636,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night Stephen Colbert interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""",The father of God says he will not be able to communicate with him.,1.6991923595778644,1.6529106220639334,-0.046281737513931054,21.144986152648926
Rachel_2011-12-08_sc45_13,637,fingerspelling,"I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Miami.""","I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Chicago.""",The future of the future is the future of the future.,1.1761734893523765,1.158864936572014,-0.017308552780362474,26.595798134803772
Rachel_2012-02-14_sc66_27,638,fingerspelling,"Intervention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","Prevention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","The first time they were able to communicate with their husbands, their fathers, and their husbands, and their fathers.",1.2803113958739405,1.3451857357644117,0.0648743398904712,23.580676317214966
Rachel_2011-12-08_sc44_15,639,fingerspelling,"""Mary is a vegetarian isn't she?"" ""No, she had a bbq last month.""","""Steph is a vegetarian isn't she?"" ""No, she had a bbq last month.""",The first thing I want to share with you is the French Father.,2.1775954994514133,2.0887999934380623,-0.08879550601335096,19.057457149028778
Rachel_2011-12-08_sc44_15,640,fingerspelling,"“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","“Governor Adams is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”",He was the oldest person in the back of the world.,1.742751632252189,1.597638634241317,-0.14511299801087207,34.35991406440735
Rachel_2011-12-08_sc45_13,641,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers for home.""","In the past, he was able to forget the future.",1.62299091165716,1.6659041281789542,0.04291321652179425,25.139766931533813
Rachel_2011-12-08_sc45_13,642,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""John doesn't know how to use a computer."" ""No, John is a genius. He has three computers at home.""","In the past, he was able to forget the future.",1.62299091165716,1.4420538072032159,-0.18093710445394406,25.139766931533813
Rachel_2011-12-08_sc44_15,643,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Greg Abbott is a Mormon."" ""No, Mitt Romney is a Mormon, not Greg Abbott.”",He leaves the country for the future.,2.216313462041012,2.521857582855147,0.30554412081413496,26.466959714889526
Rachel_2011-12-08_sc44_15,644,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Rick Perry is a Mormon."" ""No, John Curtis is a Mormon, not Rick Perry.""",He leaves the country for the future.,2.216313462041012,1.9645769587934834,-0.2517365032475287,26.466959714889526
Rachel_2011-12-08_sc44_15,645,fingerspelling,"""Today is the last day of the semester right?"" ""No next week is. We still have one more week of class.""","""Today is the last day for the semester right?"" ""No next week is. We still have one more week of class.""","The first day of the day was Christmas, which was the first time in the first time it was the first time it was the first time in the world.",1.3321534984100323,1.3577151764716422,0.025561678061609916,26.48254930973053
Rachel_2011-12-08_sc44_15,646,fingerspelling,"You're going to run in the Boston Marathon right? ""No I haven't ran and I don't plan on starting""","You're going to run in the Boston Competition right? ""No I haven't ran and I don't plan on starting""",He was the father of the God who was the largest.,1.6209110134110158,1.5720420394572292,-0.04886897395378664,21.353089809417725
Jonathan_2012-11-27_sc90_12,647,fingerspelling,A boy is making a bonfire.,A boy is making a snowman.,Here are some of the questions you may have.,2.9460646047912262,2.6832759279619762,-0.26278867682925,26.158446073532104
Jonathan_2012-11-27_sc90_12,648,fingerspelling,A boy maintained the bonfire.,A boy maintained the snowman.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",3.0540237745891017,2.720166685804725,-0.3338570887843768,31.508350372314453
2-Ben-Voice-Identity_15,649,fingerspelling,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person approches you and they don't talk, suppose they're quiet, and you're trying to figure them out.",There are several people who are deaf or hard of hearing.,1.4429890140549306,1.417271925508976,-0.02571708854595456,40.93084931373596
6-Ben-Control-of-Sound_4,650,fingerspelling,A different area is the control of sounds.,A different area is the control on sounds.,There are many different meanings for the world.,1.6991654835468115,1.881398070863513,0.18223258731670144,46.65783643722534
4-Ben-Deaf-Speech_19,651,fingerspelling,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the semantics linguistics class is boring.,She knew what was going on in the past and what was going on with me.,1.45864953866208,1.5066151690689173,0.047965630406837434,20.473642647266388
