video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,Generations,1.7637844019465976,1.883631137261788,0.11984673531519041,2.187100052833557
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,This is the first thing that we can do is we can talk about the communication between American Sign Language and ASL.,1.976067635472174,2.0770897891372444,0.10102215366507039,21.09299898147583
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,The company also said that it was not the first time that there were some people who were involved with the conference in the community and that it was not the first time that they were able to communicate.,2.352428423985839,1.8363150172999927,-0.5161134066858464,20.102626085281372
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,The company also said they were not able to communicate with the community at all.,1.4479444747442727,1.471060163202755,0.02311568845848222,19.89317387342453
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,The company also said it was the first time that the president would like to share the story with you about the experience with your family and friends.,1.027168069171774,1.0283485461078898,0.0011804769361158929,25.112110376358032
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,The company also said they were not sure if they would like to share their experiences with their families about their experiences with their children.,1.5212635346903252,1.5120024322728876,-0.009261102417437606,19.241954386234283
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.",The decision was determined by the United States and the United States and the United States and the United States and Canada.,1.399279376233785,1.3919690240903093,-0.00731035214347564,24.195608496665955
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.",This is the first time that you have a dream that you have been working with your dreams.,1.328770402446389,1.2607964553753845,-0.06797394707100457,30.973750352859497
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,And that's what the most important thing is about the God of the Lord.,1.6250955821187407,1.5530803303633418,-0.07201525175539891,32.73132145404816
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,The company also said that it was the first time that there were several people who were involved in the shooting and killing themselves in the area where they were in the state of Maryland.,1.626333250325512,1.6973911856859922,0.07105793536048033,22.915813326835632
