video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.","When the elements are stable, the elements can be recognized.",1.2322533775556397,1.2104640550722805,-0.021789322483359186,31.478148698806763
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.",He wrote something wrong with him.,1.1466704430797743,1.1934712674755317,0.04680082439575739,24.07074272632599
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,I don't know how to trust them.,1.1575708083808423,1.1328404927626252,-0.024730315618217036,74.8045265674591
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.","I don't think he plans to attend, but if I see, I will tell you a little bit.",0.8313839192254634,0.8224871724292084,-0.008896746796254962,61.49264574050903
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.","The reason why I was because I was fine with this is because if I was a painter in Canada, I wouldn't be able to study it.",1.2060449191046005,1.3500873133832334,0.14404239427863286,32.619550824165344
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,"When I see a friend tomorrow, I will be thrilled.",0.7011323042679578,0.5774573910981416,-0.12367491316981616,82.66822099685669
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.","If your friends go to camp, I will be involved.",1.0976564308292553,1.118216673651385,0.02056024282212965,69.08542513847351
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.","If you arrive in a strange situation,",0.8397648708992883,0.8314379579308679,-0.008326912968420364,46.37323021888733
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","If the Facebook takes a large dog, it must accept the light.",1.1176930120450326,1.1952919462758504,0.07759893423081787,33.93329381942749
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","If you take a fiber cab, you must accept the spending of the drug.",0.994318403468459,1.0467999320315278,0.05248152856306876,33.68481397628784
Jonathan_2012-11-27_sc97_19,811,conditional,"If Bob goes to the post office, I will give him all of my mail so he can drop it off.","When Bob goes to the post office, I will give him all of my mail so he can drop it off.","If you were to go to the IFC, I would send them all the mail because they could send it to you.",0.9884538115110508,1.044147975150157,0.055694163639106176,48.298412561416626
Cory_2013-6-27_sc115_17,812,conditional,"If Bob goes to the post office, I will give him my letters to drop off.","When Bob goes to the post office, I will give him my letters to drop off.","If you attend the Prime Minister, I will be able to give you my letter to me.",1.1011761899313166,1.2578793160516668,0.1567031261203502,42.03140735626221
Jonathan_2012-11-27_sc92_13,813,conditional,"If Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.","When Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.","If the burning is successful, we need to be a benfield to make sure the fire is continuous.",1.011312521601978,1.1015845362826722,0.09027201468069412,44.844239950180054
Cory_2013-6-27_sc112_17,814,conditional,"If Bob is successful with the fire, I will have to watch it.","When Bob is successful with the fire, I will have to watch it.","If the incident works, I will have to watch the fire.",0.9251412406075196,1.0115732884123212,0.08643204780480163,49.8435914516449
Cory_2013-6-27_sc115_17,815,conditional,"If Bob sends his resume, he is guaranteed the job.","When Bob sends his resume, he is guaranteed the job.","If Facebook sends a job to graduate from Facebook, he will receive a job.",1.2155119429762458,1.3567201417150363,0.14120819873879054,35.197508335113525
Jonathan_2012-11-27_sc97_19,816,conditional,"If Bob sends his resume, he will get the job.","When Bob sends his resume, he will get the job.","If Bernie is at the resume, he will receive a job.",1.110994405720545,1.2097519430487107,0.09875753732816572,46.800559759140015
Cory_2013-6-27_sc115_17,817,conditional,"If Bob studies for his literature test, he will pass it for sure.","When Bob studies for his literature test, he will pass it for sure.",The IBC will pass the study of the LIT test.,1.0668104910150622,1.2096781265538405,0.14286763553877835,42.429518699645996
Jonathan_2012-11-27_sc97_19,818,conditional,"If Bob studies literature, he will pass his final exam.","When Bob studies literature, he will pass his final exam.",The leaves of the RE book will be passed in the end of the GAC.,1.191230472110744,1.2732386328279972,0.08200816071725314,45.62646150588989
Jonathan_2012-11-27_sc97_19,819,conditional,"If clothes are on sale, my friends and I are definitely going to the mall.","When clothes are on sale, my friends and I are definitely going to the mall.",There were eight graduates in the land of English and ASL graduated from them.,1.283662365823984,1.2274699200960724,-0.05619244572791171,22.101691365242004
Cory_2013-6-27_sc115_17,820,conditional,"If clothes are on sale, my friends and I will go over to the mall.","When clothes are on sale, my friends and I will go over to the mall.","When I returned to the costume, I was a friend of the Iceland.",1.1547733932288724,1.1524676607678765,-0.0023057324609958574,43.26070547103882
Cory_2013-6-27_sc112_17,821,conditional,"If dad arrives home late, he won't know we aren't there.","When dad arrives home late, he won't know we aren't there.","If he got home to the date of the evening, he didn't know what was going to be there.",1.541869589634109,1.5771273000765655,0.035257710442456514,38.42220902442932
Jonathan_2012-11-27_sc92_13,822,conditional,If dad doesn't get home too late then he can help us with our homework.,When dad doesn't get home too late then he can help us with our homework.,"If you do not believe that the concept is teeless, you can help us with our homework.",0.9817385969993969,1.1225200103646196,0.14078141336522265,42.03838109970093
Cory_2013-6-27_sc112_17,823,conditional,"If father arrives home late at night, he can't help us with our homework.","When father arrives home late at night, he can't help us with our homework.","If he arrived home for 2020, he couldn't help with our homework.",1.028723901490102,1.1331529495747465,0.1044290480846446,48.91459941864014
Cory_2013-6-27_sc112_17,824,conditional,"If father arrives home late at night, he tends to order pizza.","When father arrives home late at night, he tends to order pizza.","When you arrive home, you typically order pizzas.",1.1001624066441777,1.1655942232562946,0.06543181661211683,60.28944253921509
Cory_2013-6-27_sc112_17,825,conditional,"If father arrives home late tonight, mom will yell at him because he would have missed the chance to see his children before bed.","When father arrives home late tonight, mom will yell at him because he would have missed the chance to see his children before bed.",Eight dads arrived home to Greenland tonight because they were able to see their children before they arrived.,0.9923431250624932,1.0902126503148766,0.09786952525238335,41.916728019714355
Jonathan_2012-11-27_sc92_13,826,conditional,"If father arrives home late, he can't help us with our homework.","When father arrives home late, he can't help us with our homework.","If they arrive home, they cannot help us with our business.",0.960201240846744,1.053002098936643,0.09280085808989913,45.64464092254639
Jonathan_2012-11-27_sc92_13,827,conditional,"If father arrives home late, mother will yell at him because the children wanted to see him.","When father arrives home late, mother will yell at him because the children wanted to see him.","When he arrived at home, he graduated from the school because of his children's future.",1.1671716324904913,1.1896046989058193,0.02243306641532805,39.72797393798828
Cory_2013-6-27_sc112_17,828,conditional,"If father doesn't come home late tonight, he can help me with my homework.","When father doesn't come home late tonight, he can help me with my homework.","If you don't get home, you can help more homework.",0.9831884185473124,1.0854482568026362,0.10225983825532381,43.77047419548035
Jonathan_2012-11-27_sc92_13,829,conditional,"If father gets home late, (he/she) won't realize that he is not at home.","When father gets home late, (he/she) won't realize that he is not at home.","When Williams arrived in Texas, he was not home.",1.3409158959474465,1.3706543180843194,0.029738422136872833,36.34253144264221
Cory_2013-6-27_sc115_17,830,conditional,"If friends go to the beach and suntan, I have to bring sunscreen or else I will burn.","When friends go to the beach and suntan, I have to bring sunscreen or else I will burn.",Friends at the beach were given to their teenagers and they had to bring them slow down their sleeves.,1.5934950323818728,1.6499894477681003,0.05649441538622746,41.56841039657593
Cory_2013-6-27_sc115_17,831,conditional,"If friends host a pizza party, I will bring a pizza with lots of toppings.","When friends host a pizza party, I will bring a pizza with lots of toppings.","If your friends host a press dinner tonight, I will bring them to the place.",0.960041563163201,1.0644978683490258,0.10445630518582483,43.91108155250549
Cory_2013-6-27_sc115_17,832,conditional,"If friends play frisbee, I will join them.","When friends play frisbee, I will join them.",I played the three of my friends.,1.4056139223624107,1.470052270591259,0.06443834822884842,38.31881880760193
Cory_2013-6-27_sc108_16,833,conditional,"If he actually liked his food, we would have cleaned his plate. He did not, so something is wrong.","When he actually liked his food, we would have cleaned his plate. he did not, so something is wrong.",He doesn't like to eat anything wrong.,1.1185988531720759,1.2104006973233554,0.09180184415127957,37.40352988243103
Cory_2013-6-27_sc115_17,834,conditional,"If he buys a plaid shirt, I will buy a striped shirt - I don't want the same shirt as him.","When he buys a plaid shirt, I will buy a striped shirt - I don't want the same shirt as him.","If you don't want to buy a membership t-shirt, you can buy the same facility.",1.1878320193634584,1.2308907433142584,0.043058723950800015,38.60457241535187
Cory_2013-6-27_sc107_19,835,conditional,"If he doesn't pass this course, he can't graduate.","When he doesn't pass this course, he can't graduate.","If you do not pass, you cannot graduate.",0.9436057101862103,1.0031631403374222,0.05955743015121184,68.41408610343933
Cory_2013-6-27_sc108_16,836,conditional,"If he hadn't lost his ticket, then he could have gone to the play.","When he hadn't lost his ticket, then he could have gone to the play.","If you lost your tickets, you can go to the performance.",0.7733588893689326,0.8493711816119975,0.07601229224306494,66.14049673080444
Cory_2013-6-27_sc107_19,837,conditional,"If he has time, he will bake cookies.","When he has time, he will bake cookies.","If they have time, they will cook the cookies.",1.026440684732638,1.2240259575657546,0.19758527283311667,68.27716827392578
Cory_2013-6-27_sc108_16,838,conditional,"If he/she leaves, would you mind closing door/gate?","When he/she leaves, would you mind closing door/gate?","If you're going to go to the face corner, you can go to the face corner.",1.5118623570753977,1.646235904207936,0.13437354713253824,41.898298263549805
Jonathan_2012-11-27_sc94_17,839,conditional,"If I arrive at work late, my boss will undoubtedly fire me.","When I arrive at work late, my boss will undoubtedly fire me.","If I got to work, I would prefer to arrive before I arrive.",1.5562630698084832,1.5191186584772602,-0.037144411331222926,36.545926332473755
