video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,Father,2.718388215811164,2.6221901025623082,-0.09619811324885585,5.385617166757584
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,The first thing that I want to share with you is that there are a lot of people who are deaf and hard of hearing people of color.,2.8793869374526873,2.7086466814080876,-0.17074025604459964,29.65846061706543
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,The first thing that you can do is you can see is that the first thing you want to know is that the first thing that you want to know is that you can do is make sure that you have the first thing you want to know what the first thing you want to do.,3.1064290065318345,2.7010476132588725,-0.40538139327296197,36.04775667190552
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,"In the past, there were some different sounds that were private in the community.",1.4224821408125725,1.443229288734654,0.020747147922081544,28.306928277015686
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,"In the past, there were many people who have been the most profoundly deaf people in the world.",0.9536612143959192,0.96067997849953,0.007018764103610797,40.839314460754395
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,This is the first time that we were able to communicate with the Deaf community in our community.,1.4921125219991573,1.4125069162585366,-0.0796056057406207,31.972461938858032
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.","In the past, the definition of what we have been doing in the past was that there were a lot of people who were deaf and hard of hearing people who did not have access to sign language.",1.3562010048926993,1.3505930959133645,-0.00560790897933483,30.181503295898438
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.",Because he is a real person.,1.3759435376773277,1.3869341372628696,0.010990599585541938,27.89958119392395
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,And the man is far away,1.5084822273088827,1.4094120705766338,-0.09907015673224895,42.41477847099304
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,How do you feel about something that is something that you want to do?,1.5811730846762657,1.6207942790538072,0.039621194377541524,22.871948778629303
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,There are so many different types of things that you can do in your community.,1.0972954756192241,1.1355944843132897,0.03829900869406555,32.87377953529358
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",There are many different ways to work with the Deaf community and the Deaf community.,1.252047632267034,1.2300671792944868,-0.021980452972547138,32.202064990997314
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",There are many different meanings for the world.,1.407540116106209,1.389876666119193,-0.017663449987016078,27.685821056365967
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,There are so many different ways to communicate with each other.,1.695455351189987,1.7530833547003568,0.057628003510369785,28.062665462493896
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,The first thing that I want to share with you is that I want to share with you is that I want to share with you all about the first time with you.,1.7888564968015999,1.7959632355815325,0.00710673877993262,34.94630753993988
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,The proportion of the proportion is that the concept of the concept of the proportionality of the proportionality of the concept.,1.5946925327181816,1.558174446457997,-0.0365180862601846,27.225029468536377
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.2517766892627071,1.3019950851088478,0.05021839584614063,31.469842791557312
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,My mother was a little bit later in life.,1.3091246167508264,1.283973190933466,-0.025151425817360407,22.053568065166473
8-Ben-Control-of-sound-places_12,122,negation-reversed,"Bill Ennis told a great story about ""bubbles"".","Bill Ennis didn't tell a great story about ""bubbles"".","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.7746422539683098,1.6668485204378765,-0.10779373353043331,35.98483204841614
Cory_2013-6-27_sc114_16,123,negation-reversed,Bob frequently gives his sweetheart roses.,Bob doesn't frequently give his sweetheart roses.,The first thing that I want to share with you is that there are two different people who are deaf and hard of hearing.,1.6945299094672812,1.591584500297904,-0.10294540916937711,24.053826928138733
Cory_2013-6-27_sc114_16,124,negation-reversed,Bob gave a rose to his wife because it's their anniversary today.,Bob didn't give a rose to his wife because it's not their anniversary today.,The past is the celebration.,1.2455963382892536,1.207028366867211,-0.0385679714220426,29.060375690460205
Jonathan_2012-11-27_sc96_17,125,negation-reversed,Bob gave roses to his girlfriend.,Bob didn't give roses to his girlfriend.,There are two different meanings for the world.,1.5362915727583801,1.492213051130132,-0.04407852162824821,23.29968363046646
Jonathan_2012-11-27_sc96_17,126,negation-reversed,Bob goes to the post office.,Bob doesn't go to the post office.,There are two different meanings for the world.,1.3910405402039658,1.2665216455502168,-0.12451889465374899,24.36324954032898
Jonathan_2012-11-27_sc96_17,127,negation-reversed,Bob has a big dog.,Bob doesn't have a big dog.,My name is Martha Anger.,2.037405384214301,1.5751762517860957,-0.4622291324282053,20.128343999385834
Jonathan_2012-11-27_sc97_19,128,negation-reversed,Bob hates reading books.,Bob doesn't hate reading books.,Moscow is the most important one.,2.2737445032596586,1.774601447628811,-0.4991430556308476,23.492471873760223
Jonathan_2012-11-27_sc96_17,129,negation-reversed,Bob needs to go to the post office because he needs stamps.,Bob doesn't need to go to the post office because he doesn't need stamps.,Mom was also the only deaf person in the world.,1.2008542715261379,1.0834486199593223,-0.1174056515668156,25.343799591064453
Cory_2013-6-27_sc114_16,130,negation-reversed,Bob needs to go to the post office to buy stamps.,Bob doesn't need to go to the post office to buy stamps.,The first thing that I want to share with you is that the most popular thing I want to share with you is the most popular thing I want to share with you is the most popular thing I want to share with you.,1.3442005506157875,1.2908748369990735,-0.05332571361671401,40.04652500152588
Cory_2013-6-27_sc114_16,131,negation-reversed,Bob read a book.,Bob didn't read a book.,There are many different ways to communicate with them.,2.0667061196530567,1.7541349820482235,-0.31257113760483324,25.573891401290894
Jonathan_2012-11-27_sc96_17,132,negation-reversed,Bob read a book.,Bob didn't read a book.,Speaking,2.115365128745051,1.7566486625000834,-0.35871646624496734,2.843080461025238
Cory_2013-6-27_sc114_16,133,negation-reversed,Bob sent a letter.,Bob didn't send a letter.,"However, the love of the past is the longest.",1.8521999912826639,1.6253512504582222,-0.22684874082444173,14.5662322640419
Cory_2013-6-27_sc114_16,134,negation-reversed,Bob went to the post office.,Bob didn't go to the post office.,There are many different meanings for the world.,1.2595255441706756,1.3056487317251808,0.046123187554505174,24.158501625061035
Rachel_2012-01-27_sc52_11,135,negation-reversed,Bob works at the bike store.,Bob doesn't work at the bike store.,"Back to the Universe, there was an international street.",1.6238728761672974,1.561243103713625,-0.0626297724536724,19.52134072780609
Cory_2013-6-27_sc107_19,136,negation-reversed,Boston is a great city.,Boston isn't a great city.,"Long time ago, it was always a long time ago.",1.6175095117650926,1.7226280120235902,0.10511850025849756,36.42197847366333
7-Ben-Social-Msg_7,137,negation-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Both of these cases don't basically involve the range of cultural acceptance for making noise.,"When you are doing the same thing, you can see that you are the oldest thing that you want to do with your brain.",1.217722539444653,1.198809354673875,-0.01891318477077797,34.47892665863037
2-Ben-Voice-Identity_15,138,negation-reversed,but the interpreter is speaking with a very high pitched voice.,but the interpreter isn't speaking with a very high pitched voice.,There are many people who are deaf or hard of hearing.,1.2509576859883964,1.3172795429492175,0.06632185696082105,35.34158170223236
Rachel_2012-01-27_sc51_11,139,negation-reversed,"Cousin John's car broke down, do you remember?","Cousin John's car didn't break down, do you remember?",God is also the only one who hears.,1.6933009449313297,1.7212426294745118,0.027941684543182133,20.249633491039276
Rachel_2012-01-27_sc50_10,140,negation-reversed,Dad is like me. He likes chocolate cereal.,Dad is not like me. He likes chocolate cereal.,Father is a real loved one.,1.5599932108334331,1.4745556728795488,-0.08543753795388431,41.00562930107117
Cory_2013-6-27_sc110_14,141,negation-reversed,"Dad likes chocolate cereal, like me.","Dad doesn't like chocolate cereal, like me.",Dad and I love him and I love him.,1.5934859260513976,1.5176750897345217,-0.07581083631687591,38.13656568527222
Rachel_2012-01-27_sc50_10,142,negation-reversed,Dad likes chocolate cereal.,Dad doesn't like chocolate cereal.,The father is wrong and the father is here.,1.8445272903357233,1.5595248490571976,-0.2850024412785257,24.399709701538086
Cory_2013-6-27_sc107_19,143,negation-reversed,Demi Moore's first husband was Bruce Willis.,Demi Moore's first husband wasn't Bruce Willis.,The father of the father is the father of the father.,2.011032832827833,2.103649463814994,0.09261663098716078,27.02808678150177
5-Ben-Deaf-Grunts_19,144,negation-reversed,"Each time they hit the ball, the players grunt, it happens often throughout the game.","Each time they don't hit the ball, the players grunt, it happens often throughout the game.",There are many different ways to work with the Deaf community and the Deaf community.,1.364947534057983,1.343640964275793,-0.021306569782190143,27.32667624950409
4-Ben-Deaf-Speech_19,145,negation-reversed,Even when Deaf people are working or involved with business tasks.,Even when Deaf people are not working or involved with business tasks.,"There are two different meanings for the word ""DEAF"" and ""DEAF"" as well.",1.1805728737876486,1.1515134539402707,-0.02905941984737792,36.72858476638794
Rachel_2012-02-14_sc63_13,146,negation-reversed,Everyone knows that John left to drive to Maine.,Everyone doesn't know that John left to drive to Maine.,It is a more far far away from me.,1.6028475676264082,1.52874762006104,-0.07409994756536831,23.126667737960815
Jonathan_2012-11-27_sc90_12,147,negation-reversed,Father arrived home late at night.,Father didn't arrive home late at night.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.6739011522914682,1.6358725605759679,-0.038028591715500326,31.909263134002686
Jonathan_2012-11-27_sc96_17,148,negation-reversed,Father is currently mowing the lawn.,Father isn't currently mowing the lawn.,The father is one of the fathers.,1.5913250461422108,1.692126335389912,0.10080128924770126,35.15477478504181
Cory_2013-6-27_sc114_16,149,negation-reversed,Father is mowing the grass.,Father isn't mowing the grass.,Father is wrong.,1.7781964646918433,1.8146982567925607,0.036501792100717356,29.60164248943329
4-Ben-Deaf-Speech_19,150,negation-reversed,"First, nasal, second, high pitch, and third, loud. Deaf speech tends to have these same 3 irritating characteristics.","First, nasal, second, high pitch, and third, loud. Deaf speech doesn't tend to have these same 3 irritating characteristics.",I have a beautiful woman and I know that she is deaf and hard of hearing.,1.5719029990230071,1.5628626911342145,-0.00904030788879262,32.08954334259033
5-Ben-Deaf-Grunts_19,151,negation-reversed,For example Howard Dean ran for President as a Democrat candidate in the 2004 Iowa Caucus.,For example Howard Dean didn't run for President as a Democrat candidate in the 2004 Iowa Caucus.,"The Angel of Revelation, the Angel of Revelation, and the Angel of the God.",1.51588609290647,1.5188751134033105,0.0029890204968405776,23.83103221654892
5-Ben-Deaf-Grunts_19,152,negation-reversed,"For example, Bauhman shared his locker room experience.","For example, Bauhman didn't share his locker room experience.","In the middle of the middle of the screen, the middle of the screen is beautiful.",1.6555622176134162,1.6277013412045855,-0.027860876408830615,24.053454399108887
7-Ben-Social-Msg_7,153,negation-reversed,"For example, CODA children often...","For example, CODA children don't often...","For example, the children are deaf and hard of hearing.",1.5665468011672299,1.5243935553977888,-0.04215324576944113,43.34661364555359
5-Ben-Deaf-Grunts_19,154,negation-reversed,"For example, in professional tennis, grunts happen very often.","For example, in professional tennis, grunts don't happen very often.","I would think what can I do to direct, how can I improve as an artist. How wouldI direct?",1.548825392529132,1.4357916245209998,-0.11303376800813214,27.89011001586914
2-Ben-Voice-Identity_15,155,negation-reversed,"For example, in some areas of the world, people have a strong tendency to talk fast.","For example, in some areas of the world, people don't have a strong tendency to talk fast.",There are many different signs for the world.,1.027116645083708,1.01471995979875,-0.012396685284957965,41.08766317367554
3-Ben-Voice-Life_21,156,negation-reversed,"For example, Parkf did many studies on...","For example, Parkf didn't do many studies on...",One of the most important things to know is that everyone has the opportunity to communicate with the hearing people in the world.,1.9672440124586934,1.8450650508360316,-0.12217896162266184,26.019102334976196
Rachel_2012-02-14_sc66_27,157,negation-reversed,"For example, they used different words for each group while asking them the questions.","For example, they didn't use different words for each group while asking them the questions.",They are the only ones who live in the house.,1.1346045522682968,1.1282804565083595,-0.006324095759937309,30.656200647354126
Rachel_2012-02-09_sc60_14,158,negation-reversed,France has a king now?,France doesn't have a king now?,This is my sign name.,1.98590921383837,1.7406305999029428,-0.24527861393542727,16.901883482933044
Rachel_2012-02-09_sc60_14,159,negation-reversed,France's king is bald.,France's king isn't bald.,He is the king of the cross.,2.052638159983832,2.0616376993174734,0.008999539333641504,28.999149799346924
Rachel_2012-02-09_sc60_14,160,negation-reversed,"France's king is bald. No, that's not true.","France's king isn't bald. No, that's not true.",His king is growing up.,1.4761896295134316,1.5050912262435923,0.028901596730160684,30.25228977203369
Jonathan_2012-11-27_sc96_17,161,negation-reversed,Friends are going to sunbathe at the beach.,Friends aren't going to sunbathe at the beach.,"When they go to the school for the deaf and hard of hearing, they will be able to communicate with each other.",1.6736755691130052,1.7741918088273798,0.10051623971437462,29.6042799949646
Jonathan_2012-11-27_sc96_17,162,negation-reversed,Friends are going to watch at the movie theater.,Friends aren't going to watch at the movie theater.,This is the first time that we have the deaf community to come together.,1.2067629998283727,1.3181861667678907,0.11142316693951804,32.14468955993652
Jonathan_2012-11-27_sc96_17,163,negation-reversed,Friends are playing Frisbee.,Friends aren't playing Frisbee.,There are so many different ways to communicate with them.,1.852328644744281,1.8868772201240063,0.03454857537972522,26.176369190216064
Jonathan_2012-11-27_sc90_12,164,negation-reversed,Friends get together to go out.,Friends don't get together to go out.,The presentation will take place.,1.5199407899053767,1.4157706669678813,-0.10417012293749539,34.861400723457336
Cory_2013-6-27_sc114_16,165,negation-reversed,Friends go out to the movie theater.,Friends don't go out to the movie theater.,"I would think what can I do to direct, how can I improve as an artist. How wouldI direct?",1.5298060239166826,1.5025103776607402,-0.027295646255942385,36.354631185531616
Cory_2013-6-27_sc115_17,166,negation-reversed,Friends go to a different movie because they prefer action movies.,Friends don't go to a different movie because they prefer action movies.,This is the first time that I live in the United States in the United States in the United States in the United States that has been an anniversary of the United States.,1.1647316068966886,1.1173534245829877,-0.047378182313700945,28.336715698242188
Cory_2013-6-27_sc114_16,167,negation-reversed,Friends hosted a pizza dinner.,Friends didn't host a pizza dinner.,He survived because he was deaf.,1.6093197126061685,1.630020271262361,0.02070055865619258,20.777809619903564
Cory_2013-6-27_sc114_16,168,negation-reversed,Friends play frisbee.,Friends don't play frisbee.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.4512755261226133,2.037520549127034,-0.4137549769955795,35.043132305145264
Rachel_2012-02-09_sc58_12,169,negation-reversed,Go home!,Don't go home!,Forward home.,2.4727208357718258,1.9922019528845947,-0.4805188828872311,53.46169471740723
8-Ben-Control-of-sound-places_12,170,negation-reversed,"He was making bubbles creatively. After that, he flushed.","He wasn't making bubbles creatively. After that, he flushed.",The company also says it will be the first time in the first time in the first time in the first time in the first time in the first time in the first time in the first time.,1.760394386047947,1.7880992815509194,0.027704895502972393,27.71395444869995
8-Ben-Control-of-sound-places_12,171,negation-reversed,He was pleased with the remark. His parents gave up about it and left him alone.,He wasn't pleased with the remark. His parents gave up about it and left him alone.,There are many different meanings for the deaf community.,1.3624920311073463,1.3801096659597187,0.017617634852372444,23.329314589500427
8-Ben-Control-of-sound-places_12,172,negation-reversed,He was shocked because she used the same line as his parents when he was growing up.,He wasn't shocked because she used the same line as his parents when he was growing up.,There was a large parent who was a long time ago.,0.8777479102944626,0.9553699466738511,0.07762203637938847,33.54194164276123
Cory_2013-6-27_sc111_12,173,negation-reversed,He will buy flowers for sure.,He will not buy flowers for sure.,The first thing that we have done is that the first thing that we can do is we can see is that the first thing we want to do is we can see that the first thing we want to do is we can talk about the first thing we want to share with you all about the deaf community.,1.6473066844046116,1.5305297087658853,-0.11677697563872624,32.003480195999146
Rachel_2012-02-14_sc63_13,174,negation-reversed,He/She knows many different men.,He/She doesn't know many different men.,There was a masculine defense man.,1.7210625850341537,1.4760273105464876,-0.24503527448766604,34.21481251716614
Rachel_2012-02-14_sc63_13,175,negation-reversed,He/She used to own a big boat.,He/She didn't use to own a big boat.,We are big and we are big.,2.1047204514184306,2.025890559058737,-0.07882989235969351,25.134825706481934
Rachel_2012-02-09_sc57_9,176,negation-reversed,"He/She will buy flowers for you, for sure.","He/She will not buy flowers for you, for sure.",He knows that he is interested.,1.664333502220553,1.6409969802232498,-0.023336521997303183,31.777623295783997
Rachel_2012-02-09_sc57_9,177,negation-reversed,He/She will for sure give him/her flowers.,He/She will for sure not give him/her flowers.,Interesting,2.024624954649182,1.9107234707855163,-0.11390148386366583,1.5789911150932312
Rachel_2012-02-14_sc62_9,178,negation-reversed,Her car is here.,Her car isn't here.,Hardware,2.2312056395937416,2.2892097048461437,0.05800406525240209,1.3007715344429016
Cory_2013-6-27_sc110_14,179,negation-reversed,"Hey wait, I do like pineapple cream cheese!","Hey wait, I don't like pineapple cream cheese!",I am the mother of the mother.,1.9374657800759782,1.7929077534440985,-0.14455802663187978,23.092710971832275
Cory_2013-6-27_sc110_14,180,negation-reversed,Hey! I like chocolate cereal.,Hey! I don't like chocolate cereal.,I love to see you there!,1.5700767062604428,1.4966291880442038,-0.07344751821623907,30.618739128112793
Rachel_2012-02-14_sc63_13,181,negation-reversed,His/Her father left.,His/Her father didn't leave.,The father of the father was there.,2.0709931431781676,1.7445906486747593,-0.3264024945034083,43.55510473251343
Jonathan_2012-11-27_sc96_17,182,negation-reversed,Horses play on the farmland because they are too old to race.,Horses don't play on the farmland because they are too old to race.,The first thing that we have to do is we have to talk about is that the first thing that we need to do is we can talk about the first thing we need to do is we can talk about the first thing we need to do is we can talk about the first thing we need to do.,1.4521400093311263,1.4000609230578822,-0.05207908627324409,35.6103777885437
Jonathan_2012-11-27_sc96_17,183,negation-reversed,Horses played on the farmland.,Horses didn't play on the farmland.,The home of the home is the most common.,1.8470673957659351,1.7581972796469927,-0.08887011611894247,26.642030477523804
Rachel_2012-02-14_sc63_13,184,negation-reversed,I already announced that it will rain tomorrow.,I didn't yet announce that it will rain tomorrow.,The success of the future was so big.,1.1385978893376887,1.3661327449977398,0.22753485566005116,30.577024817466736
