video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,And that's what I wanted to do with my family.,2.6996257100944168,2.0495832943254046,-0.6500424157690121,18.681514263153076
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,What is the because ASL makes?,2.667991458955738,2.2297510234294116,-0.4382404355263265,27.898186445236206
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,What is the bonfire provided?,2.6305779099464415,3.020324175595306,0.3897462656488644,42.61004328727722
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?",The President has been speaking with the response.,1.0782670114189385,1.201943295262754,0.12367628384381546,46.52395844459534
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,He left together.,1.4094589475404333,2.0587487552547827,0.6492898077143494,43.662428855895996
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?","Before I look at this, I was able to understand that there was a good UK that said a lot about Standards.",1.3245093384156785,1.3420010025729425,0.017491664157263997,32.312530279159546
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,"Now, the bad weather is going to be out of Boston.",1.4491978010817155,1.6531160857528449,0.20391828467112938,66.18677377700806
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,There was a bad announcement that I went to.,1.494057744055202,1.8688502359743182,0.3747924919191161,36.605244874954224
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,My name is Bornick Debtos.,1.6717455489560962,2.205785917946034,0.5340403689899378,20.509637892246246
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,The barman is called the thought of interpreting as a disability climate.,1.598438066393137,2.009701434039063,0.4112633676459261,33.963000774383545
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,The fauson is hearing.,1.2230453801966166,1.5144418475712522,0.29139646737463565,20.678508281707764
5-Ben-Deaf-Grunts_19,369,yes/no-reversed,Benard Bragg explained his experience in class.,Did Benard Bragg explain his experience in class?,"Hello, my name is Rond Bragg and I am here to explain.",0.8979166314626733,1.5259957091510297,0.6280790776883564,52.753156423568726
8-Ben-Control-of-sound-places_12,370,yes/no-reversed,"Bill Ennis told a great story about ""bubbles"".","Did Bill Ennis tell a great story about ""bubbles""?",Bill Lennies said a great story about bullets.,1.4105533142673208,1.9767979237378812,0.5662446094705604,43.07902455329895
Cory_2013-6-27_sc114_16,371,yes/no-reversed,Bob frequently gives his sweetheart roses.,Does Bob frequently give his sweetheart roses.,It's not a game.,1.7267180851898913,2.22826617187325,0.5015480866833586,13.617059588432312
Cory_2013-6-27_sc114_16,372,yes/no-reversed,Bob gave a rose to his wife because it's their anniversary today.,Did Bob give a rose to his wife because it's their anniversary today?,Bobbie shifted to his wife because of his festival.,0.9919548201741595,1.5091013706156187,0.5171465504414592,37.88405954837799
Jonathan_2012-11-27_sc96_17,373,yes/no-reversed,Bob gave roses to his girlfriend.,Did Bob give roses to his girlfriend?,"When you approach the board, you will see the board.",1.5508739125421818,2.080905011806049,0.5300310992638673,19.563595950603485
Jonathan_2012-11-27_sc96_17,374,yes/no-reversed,Bob goes to the post office.,Does Bob go to the post office?,Bouch is going to be the same.,1.2176487795237838,2.2319703253451735,1.0143215458213897,26.7549991607666
Jonathan_2012-11-27_sc96_17,375,yes/no-reversed,Bob has a big dog.,Does Bob have a big dog?,The bob has a huge topic.,1.5336979227630716,2.357103145122528,0.8234052223594566,47.6504385471344
