video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,Captioned by aslcaptions.com,2.984123931527138,2.2606286083161833,-0.7234953232109547,17.685838043689728
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,Captions by aslcaptions.com,2.3040306240320207,1.7771212300658226,-0.5269093939661982,19.308722019195557
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,Captioned by aslcaptions.com,2.205777241848409,1.7021905920701101,-0.503586649778299,19.03066337108612
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,Captioned by aslcaptions.com,1.8696707284284964,1.5284210642178853,-0.3412496642106111,18.6465322971344
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,Captioned by aslcaptions.ca,1.6789446935495909,1.42768249551163,-0.2512621980379608,16.686391830444336
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,Forest,1.679788702662955,1.5998616863678141,-0.07992701629514087,8.669663965702057
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,The forest is the forest.,1.4413637714460492,1.1792652275986397,-0.2620985438474095,15.413196384906769
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,This is my sign name.,1.6929065207129015,1.2544966546051644,-0.43840986610773713,20.965230464935303
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,Captioned by aslcaptions.com,1.6990578012835038,1.2622790227791196,-0.4367787785043842,18.86431872844696
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,There are so many different ways to work together.,1.5085616276289027,1.1600811470092998,-0.3484804806196029,25.018230080604553
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.2963694207784204,1.7849019260611385,-0.5114674947172819,32.859233021736145
Rachel_2011-12-08_sc46_14,219,yes/no,Did Bill move to New York?,Bill moved to New York.,He loves the vehicle.,2.0777681153957492,1.587766849125425,-0.49000126627032414,22.97641634941101
Cory_2013-6-27_sc114_16,220,yes/no,Did Bob arrive at the post office?,Bob arrived at the post office.,Colorado,2.300085889015879,1.3585407483624294,-0.9415451406534494,6.110691279172897
Jonathan_2012-11-27_sc96_17,221,yes/no,Did Bob give someone roses?,Bob gave someone roses.,Her name is Martin Luther King.,3.2114517176523805,2.236885341039548,-0.9745663766128323,14.631019532680511
