video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,I was right until I was two years old.,0.9642450943016089,0.9830705551565557,0.01882546085494685,42.8536057472229
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""","JOHN TOMKOWIAK: President Schulz, it",1.479518472097623,1.4990285754769663,0.019510103379343224,0.10588318109512329
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,What do you think of the beneficial properties that you want to do with the beneficiency?,2.0229643418143195,2.0055020183611374,-0.017462323453182105,29.381218552589417
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.",THE DEAF PERSON IS ALWAYS TALKING ABOUT MORE ABOUT SOMETHING.,1.307458609718522,1.1497939116901383,-0.15766469802838357,22.517363727092743
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.","Hello, my name is Kaylyn and I'm going to take a look at this and I'm going to take a look at this and I'm going to take a look at this and I'm going to take a look at it and I'm going to take a look at it and I'm going to take a look at it.",1.4425672735361492,1.495928554863828,0.0533612813276787,30.02859055995941
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.",THERE WAS A LITTLE BIT OF A LITTLE BIT OF DINOSAUR IN THE MUSIC AND THERE WAS A LITTLE BIT OF A LITTLE BIT OF DINOSAUR IN THE MUSIC.,1.2614945499645966,1.3488042949952863,0.08730974503068967,32.9159140586853
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.",THERE WAS A LITTLE BIT OF A LITTLE BIT OF DINOSAUR IN THE MUSIC AND THERE WAS A LITTLE BIT OF A LITTLE BIT OF DINOSAUR IN THE MUSIC.,1.2614945499645966,1.2484277764016443,-0.013066773562952383,32.9159140586853
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.",THERE WAS A LITTLE BIT OF A LITTLE BIT OF DINOSAUR IN THE MUSIC AND THERE WAS A LITTLE BIT OF A LITTLE BIT OF DINOSAUR IN THE MUSIC.,1.2614945499645966,1.2655329797081314,0.004038429743534744,32.9159140586853
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.","IT'S NOT EXPENSIVE, IT'S NOT ACTUALLY EXPENSIVE.",1.0933706994155343,1.1856127995487353,0.092242100133201,31.705111265182495
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,THERE'S A LOT OF DIFFERENT THINGS THAT WE CAN DO TO DEAF PEOPLE IN THE UNITED STATES.,1.5573707480322232,1.5037931649257308,-0.05357758310649241,35.6865257024765
8-Ben-Control-of-sound-places_12,1135,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate kernels of popcorn pretty slowly.",AND THEN WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL.,1.7159830732271075,1.683415561067787,-0.03256751215932052,26.776856184005737
8-Ben-Control-of-sound-places_12,1136,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he dropped kernels of popcorn pretty loudly.",AND THEN WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL.,1.7159830732271075,1.5982080320220278,-0.11777504120507976,26.776856184005737
Jonathan_2012-11-27_sc90_12,1137,classifiers,Are the friends going out?,Is the friend going out?,The first thing I'm going to talk about is I'm going to talk about is I'm going to take a little bit more time.,1.7479431786470943,1.8320718038082122,0.08412862516111796,31.213799118995667
Jonathan_2012-11-27_sc96_17,1138,classifiers,Are there only horses playing on the farmland?,Are there only horses resting on the farmland?,"AND THEN THE RIGHT SIDE OF THE GROUND, THE RIGHT SIDE, THE RIGHT SIDE, THE RIGHT.",1.7051230078523463,1.8220099237688043,0.11688691591645806,17.681311070919037
4-Ben-Deaf-Speech_19,1139,classifiers,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my phone screen, I thought well I'm deaf but that doesn't matter because my phone screen says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",I was reading and writing and I was really good about it.,1.3286626735283678,1.256182269384377,-0.07248040414399082,41.93534851074219
Cory_2013-6-27_sc114_16,1140,classifiers,Bad weather is coming to Boston because the city is close to the ocean.,Bad weather is leaving Boston because the city is close to the ocean.,"M: Thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you, thank you.",1.2322929750920997,1.3320453950337001,0.09975241994160045,21.150238811969757
Jonathan_2012-11-27_sc96_17,1141,classifiers,Bad weather is in Boston because the ocean is near.,Bad weather is over in Boston because the ocean is near.,"This is my fingerspelling of the back of my hand and this is my fingerspelling with the ""B"" on the left side of the corner of the board.",1.419675226108386,1.453956790595201,0.034281564486815075,24.304872751235962
2-Ben-Voice-Identity_15,1142,classifiers,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman mentioned the concept of combining interpreting and ventriloquism.,"THE NAME OF THE SIGN FOR ""BARMAN"" IS THE NAME SIGN FOR ""BARMAN"" WHEN YOU KNOW WHERE TO INTERPRET.",1.379514678567648,1.408586645700239,0.02907196713259097,22.00438678264618
2-Ben-Voice-Identity_15,1143,classifiers,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman mentioned the concept of separating interpreting and mimicry.,"THE NAME OF THE SIGN FOR ""BARMAN"" IS THE NAME SIGN FOR ""BARMAN"" WHEN YOU KNOW WHERE TO INTERPRET.",1.379514678567648,1.2655412401950015,-0.11397343837264651,22.00438678264618
3-Ben-Voice-Life_21,1144,classifiers,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman presented the idea that there is a line between the mouth and the ears,",INNOCENT LANGUAGE DEAF PEOPLE HAVE HEARING AIDS THAT THEY HAVE HEARING AIDS.,1.1768966612842264,1.067979167109426,-0.10891749417480034,11.047438532114029
Cory_2013-6-27_sc114_16,1145,classifiers,Bob has a big dog because he loves to wrestle with it.,Bob has a big dog because he loves to cuddle with it.,"Your ball has a little bit of a box, one, two, three, three, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, four, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five, five.",1.012406381422823,1.218738307831464,0.20633192640864095,35.425740480422974
8-Ben-Control-of-sound-places_12,1146,classifiers,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and if it goes over the spectrum, people would ignore it.",There is a lot of people who are deaf or hard of hearing and hard of hearing people who are deaf or hard of hearing and hard of hearing.,1.192983415606734,1.213389760778322,0.020406345171587903,41.93075895309448
8-Ben-Control-of-sound-places_12,1147,classifiers,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people whisper and if it goes under the spectrum, people would notice it.",There is a lot of people who are deaf or hard of hearing and hard of hearing people who are deaf or hard of hearing and hard of hearing.,1.192983415606734,1.18080373108387,-0.01217968452286411,41.93075895309448
6-Ben-Control-of-Sound_4,1148,classifiers,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go above or below.,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go in between.,"THERE'S A LOT OF DIFFERENT EXPERIENCES THAT HAVE BEEN IN THE PAST, AND THERE'S A LOT OF DIFFERENT SCHEDULES FOR THE DEAF AND HARD OF HEARING CHILDREN.",1.2214285568899919,1.1971253150275776,-0.024303241862414282,38.611674308776855
Cory_2013-6-27_sc112_17,1149,classifiers,Did mom already walk to the store?,Did mom already drive to the store?,My mother was finished walking around the store.,1.5598970163081374,1.6040959723500743,0.04419895604193691,66.80171489715576
Cory_2013-6-27_sc112_17,1150,classifiers,Did mother already walk to the store?,Did mom already drive to the store?,"MY MOTHER SAID, ""WHAT DO YOU WANT TO DO IS GO TO THE SHOP?""",1.5250241743694795,1.5887206535165508,0.06369647914707133,49.899667501449585
Jonathan_2012-11-27_sc90_12,1151,classifiers,Did Mother walk to the store?,Did Mother bike to the store?,And then you're going to give it to me and you're going to give it to me.,1.7682226455459993,1.8697818264365196,0.1015591808905203,33.74832272529602
Cory_2013-6-27_sc112_17,1152,classifiers,Did the family adopt small puppies?,Did the family adopt big puppies?,"Your family when you take a class, what do you do?",1.8023937300054564,1.8353999554015257,0.03300622539606923,37.119853496551514
Cory_2013-6-27_sc112_17,1153,classifiers,Did the family adopt the small puppies?,Did the family adopt big puppies?,There were two families that were able to take over and over and over.,1.425432530324906,1.6186407995136345,0.19320826918872847,33.866265416145325
Cory_2013-6-27_sc112_17,1154,classifiers,Did the friends dye their whole heads together?,Did the friends dye their whole beards together?,FRIENDS AND FRIENDS COME TOGETHER WITH ME TOGETHER.,1.4443559626427789,1.7017899519782893,0.2574339893355104,27.67711579799652
Cory_2013-6-27_sc114_16,1155,classifiers,Did the group of friends arrive at the movie theater?,Did each friend arrive at the movie theater?,FRIENDS GATHERED TOGETHER AND ARRIVED AT THE MOVIE THEATER.,1.0738009680062532,1.2429296403295464,0.1691286723232932,63.69319558143616
Cory_2013-6-27_sc114_16,1156,classifiers,Does your sister like water tubing?,Does your sister like paddleboarding?,YOUR SISTER WAS AT THE RIGHT SIDE OF THE RIGHT SIDE.,1.9468458679815133,1.8910143877330579,-0.05583148024845541,25.35959780216217
5-Ben-Deaf-Grunts_19,1157,classifiers,"Each time they hit the ball, the players grunt, it happens often throughout the game.","Each time they hit each other, the players grunt, it happens often throughout the game.",AND THEN THERE WERE A LOT OF DIFFERENT PEOPLE WHO WERE TALKING ABOUT SIGN LANGUAGE AND SIGN LANGUAGE.,1.3689090967784787,1.3937443397854539,0.02483524300697515,13.073071837425232
5-Ben-Deaf-Grunts_19,1158,classifiers,"Except in some situations, like at the gym where there are people working out, and it's expected that when people are lifting heavy weights, for example, that grunts are reasonaly acceptable there.","Except in some situations, like at the gym where there are people working out, and it's expected that when people are pushing heavy weights, for example, that grunts are reasonably acceptable there.",AND THAT'S THE RIGHT THING TO DO IN THE SITUATION WHERE THE SIGN LANGUAGE IS RIGHT THERE.,1.2603216723284938,1.2027505385179316,-0.057571133810562225,26.547306776046753
7-Ben-Social-Msg_7,1159,classifiers,"For example, a styrofoam cup, when it is peeled, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to peel styrofoam cups.","For example, a styrofoam plate, when it is peeled, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to peel styrofoam plates.",THE STEREOTYPE IS A STEREOTYPE OF STEREOTYPE IN THE MIDDLE OF THE STEREOTYPE.,1.559938825542728,1.505034385876649,-0.05490443966607894,15.38790762424469
7-Ben-Social-Msg_7,1160,classifiers,"For example, a styrofoam cup, when it is peeled, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to peel styrofoam cups.","For example, a styrofoam cup, when it is broken, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to break styrofoam cups.",THE STEREOTYPE IS A STEREOTYPE OF STEREOTYPE IN THE MIDDLE OF THE STEREOTYPE.,1.559938825542728,1.5572980925728932,-0.0026407329698348025,15.38790762424469
7-Ben-Social-Msg_7,1161,classifiers,"For example, the journal paper, which has holes in the paper, if you rip it slowly...","For example, the journal paper, which has holes in the paper, if you toss it slowly...","FOR EXAMPLE, WHEN YOU WRITE A PAPER OR A PAPER OR A PAPER OR A PAPER OR A PAPER OR A PAPER.",1.4025513121728288,1.3601997872793126,-0.042351524893516235,35.77040433883667
Jonathan_2012-11-27_sc96_17,1162,classifiers,Friends are going to sunbathe at the beach.,Friends are coming from a sunbathe at the beach.,"When we left, we cooked the bag and we cooked the bag and we cooked it.",1.763578029688109,1.6884718429373236,-0.0751061867507854,35.176652669906616
Jonathan_2012-11-27_sc96_17,1163,classifiers,Friends are going to watch at the movie theater.,Friends are starting to watch at the movie theater.,"First of all, we're going to be talking about watching the movie.",1.373589816902365,1.312849051390703,-0.060740765511662076,54.426658153533936
Cory_2013-6-27_sc115_17,1164,classifiers,Friends go to a different movie because they prefer action movies.,Friends watched a different movie because they prefer action movies.,FRIENDS AND FRIENDS AND DIFFERENT MOVIES BECAUSE OF THE COLOR OF COLOR ACTIVITIES.,0.8581561938261808,0.8336781253633292,-0.02447806846285161,31.931567192077637
Cory_2013-6-27_sc114_16,1165,classifiers,Friends go together to the beach to lay out in the sun and tan.,Friends go together to the beach to sit out in the sun and tan.,"THE FRIENDS GATHERED TOGETHER AND THEN THE BACK OF THE BACK OF THE BACK OF THE DOOR, AND THEN THE FOUR OF THEM GATHERED TOGETHER.",1.5519070499576628,1.530488740419969,-0.021418309537693858,24.35113489627838
Cory_2013-6-27_sc114_16,1166,classifiers,Friends go together to the beach to lay out in the sun and tan.,Friends go separately to the beach to sit out in the sun and tan.,"THE FRIENDS GATHERED TOGETHER AND THEN THE BACK OF THE BACK OF THE BACK OF THE DOOR, AND THEN THE FOUR OF THEM GATHERED TOGETHER.",1.5519070499576628,1.5899137327955528,0.03800668283788999,24.35113489627838
Cory_2013-6-27_sc115_17,1167,classifiers,Friends haven't gone to the beach yet.,Friends haven't come back from the beach yet.,FRIENDS HAVEN'T GOTTEN TOGETHER TO PUSH THEIR BACK AND FORTH.,1.1682554617142067,1.1594361964937137,-0.008819265220493033,23.27938973903656
Jonathan_2012-11-27_sc96_17,1168,classifiers,Friends went to the movie theater because Harry Potter Part 7 just released.,Friends gathered at the movie theater because Harry Potter Part 7 just released.,AND THEN WE'RE GOING TO SHIFT IT TO THE MOVIE THEATER BECAUSE IT'S THE HARRY HAIR PART OF THE RECENT SPREAD.,1.2509144577016305,1.2213870143908778,-0.029527443310752632,29.194742441177368
Cory_2013-6-27_sc115_17,1169,classifiers,Good weather hasn't arrived in Boston. Hurry up!,Good weather hasn't left Boston. Hurry up!,"THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, THANK YOU, BYE, BYE, BYE, BYE, BYE, BYE.",1.434270271917387,1.523023271543342,0.08875299962595506,32.27566480636597
8-Ben-Control-of-sound-places_12,1170,classifiers,"He said, ""Oh really, what is it?"" She said, ""you urinated on the toilet water, and you should switch to the surface bowl of the toilet to avoid noise."" He was embarrassed from girlfriend during that time.","He said, ""Oh really, what is it?"" She said, ""you pooped on the toilet water, and you should switch to the surface bowl of the toilet to avoid noise."" He was embarrassed from girlfriend during that time.",AND THEN THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR AND THE DOCTOR COULD SEE THE DOCTOR COULD SEE.,1.3412111108259457,1.3382048810387186,-0.0030062297872270882,25.915780663490295
8-Ben-Control-of-sound-places_12,1171,classifiers,"He was making bubbles creatively. After that, he flushed.","He was making origami creatively. After that, he flushed.",This is what we are going to do next is we are going to talk about cooking the whole thing.,1.5258485270214492,2.0375914825447676,0.5117429555233184,30.453595519065857
8-Ben-Control-of-sound-places_12,1172,classifiers,He was shocked that he could hear his parents' voice out of all fans in the grandstand,He was indifferent that he could hear his parents' voice out of all fans in the grandstand,THERE WAS A LOT OF PEOPLE IN THE BACK OF THE CLASSROOM THAT WERE TAKING PLACE IN THE CLASSROOM.,1.3479993077016426,1.4209277371128837,0.07292842941124111,23.646004498004913
8-Ben-Control-of-sound-places_12,1173,classifiers,He was very embarrassed. He realized that he wasn't clear on his parents' remarks when he was growing up. He gulped hard. He changed his habits to urinate on the side of the bowl.,He was very confident. He realized that he wasn't clear on his parents' remarks when he was growing up. He gulped hard. He changed his habits to urinate on the side of the bowl.,THERE WAS NOTHING TO DO WITHOUT ANYTHING TO DO WITHOUT ANYTHING TO DO WITHOUT ANYTHING TO DO IN THE NEXT WEEK.,1.2696515967034632,1.2585585044299283,-0.011093092273534833,25.893831253051758
8-Ben-Control-of-sound-places_12,1174,classifiers,He wasn't sure what was it meant. He thought that it was a positive thing - that he urinated like a very healthy horse. So he was delighted by his parents' comment.,He wasn't sure what was it meant. He thought that it was a positive thing - that he urinated like a very healthy lion. So he was delighted by his parents' comment.,WHAT DO YOU THINK WHAT DO YOU THINK WHAT DO YOU THINK WHEN YOU DO NOT HAVE A STRONG REASON?,1.2846536514433948,1.2905687469671048,0.005915095523709946,17.65250861644745
8-Ben-Control-of-sound-places_12,1175,classifiers,"Hearing people control the noise when emitting waste, whereas Deaf people emit waste loudly. I was like, ""Ohh.""","Hearing people control the noise when closing doors, whereas Deaf people close doors loudly. I was like, “Ohh.”",THAT'S WHAT I WANT TO DO IS I WANT TO DO IT A LITTLE BIT MORE THAN THAT.,1.5700066277225102,1.4926147785936963,-0.07739184912881392,21.173366904258728
