video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,Until I was six years old.,0.9928016119851516,0.974157427046178,-0.018644184938973574,64.85514640808105
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""",He lives in the smaller 11th century.,1.4820769604008932,1.4946181797245635,0.01254121932367025,34.95812714099884
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,What is the bonfire provided?,2.6304889569679895,2.5990114902647643,-0.031477466703225154,42.61031746864319
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.",We do not have to speak anything about it.,1.3504970636252964,1.249367885221288,-0.10112917840400848,31.280994415283203
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.","Hello, my name is Tii.",1.5133399003568817,1.5497633067482128,0.036423406391331126,26.399576663970947
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","When you walk into the lock room, you can accept the landscape of the text.",1.3476796756993543,1.4053584956987337,0.057678819999379405,30.099618434906006
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.","When you walk into the lock room, you can accept the landscape of the text.",1.3476796756993543,1.328093595232244,-0.01958608046711041,30.099618434906006
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.","When you walk into the lock room, you can accept the landscape of the text.",1.3476796756993543,1.3346026180865798,-0.013077057612774556,30.099618434906006
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.","I didn't care about the A and the idea that it was actually more than that, but I didn't care about it because the third perspective was the A.",1.109635376646905,1.2321621678412369,0.12252679119433196,36.12072467803955
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,Almost where people say that they are rather rather than that.,1.4504361797801473,1.4699879608562458,0.019551781076098562,33.0743283033371
