video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,I'm not happy.,1.1378508113324641,1.3662949814037844,0.22844417007132023,95.52879333496094
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,I'm tired of that.,1.5044738481442133,1.2786230265416882,-0.225850821602525,45.93663215637207
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,I'm not talented at all.,1.1411143887568922,1.8620860791550233,0.7209716903981311,69.87749338150024
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,It was not shocking.,1.6824055251975853,1.5673420538327523,-0.11506347136483308,37.383195757865906
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,It's not raining at all.,1.3546795056511958,1.6147601058972734,0.2600806002460776,81.94692134857178
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,He didn't see me.,1.5437398040667176,2.575206861473047,1.0314670574063292,70.29650807380676
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,He loves to be acquired.,2.1326177226645604,1.8917224009831746,-0.24089532168138583,18.893635272979736
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,Personally nothing.,1.9561941031189192,2.1084984778943987,0.15230437477547953,26.49732232093811
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,I haven't paid one month.,0.9120752756439504,1.0122922669268317,0.10021699128288131,43.059903383255005
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,What are my dogs?,1.5698373040982656,1.7694554817345407,0.1996181776362751,29.843026399612427
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,It's not hard.,1.5894947378408342,1.911037743298544,0.32154300545770975,62.17118501663208
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,"You don t understand that, you don t understand.",2.556519091467966,2.5930577980147467,0.03653870654678082,32.01527297496796
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,It's not a room.,1.1141250976784662,1.6539629230068789,0.5398378253284126,33.59319865703583
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,I went ahead and paid a refund.,1.3205388528108597,1.146741673636895,-0.17379717917396476,40.183234214782715
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Marin is not there.,1.666297387033701,1.5904437103732065,-0.07585367666049447,26.028433442115784
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,Why are you not sick now?,1.7210162022709847,1.705712904137644,-0.015303298133340748,46.165502071380615
