video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,And that's what I wanted to do with my family.,2.6996170381704965,2.5712287691732247,-0.12838826899727174,18.681490421295166
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,What is the because ASL makes?,2.66796302381489,2.4858891372879346,-0.18207388652695533,27.898216247558594
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,What is the bonfire provided?,2.6304889569679895,2.266527210388865,-0.3639617465791245,42.61012077331543
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,This presentation will take place in Japan on September 1st.,1.4686013824910253,1.5204101592857153,0.05180877679468998,17.228758335113525
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,Many Deaf people have had the experience with voicing and their hearing accommodations.,0.8874564585002029,0.9193665905999886,0.03191013209978566,54.71911430358887
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,Many Deaf people are geometrically telling me that domestic voice is good.,1.3293144399156938,1.304888600194958,-0.024425839720735754,37.867558002471924
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.",There is a lot of education that includes good names and cultures that are not based on the use of runners.,1.346094772080134,1.3415275323050049,-0.004567239775129073,29.460597038269043
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.",The President has been speaking with the response.,1.0782876242573063,1.0975409948150627,0.019253370557756444,46.52390480041504
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,He left together.,1.4094337593350146,1.3062870116106102,-0.10314674772440435,43.66248846054077
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,Almost where people say that they are rather rather than that.,1.4504361797801473,1.5284516965597867,0.07801551677963947,33.074310421943665
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,How do I feel?,1.155618847347796,1.2105768696949033,0.05495802234710734,24.972254037857056
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As a result, I realized that I was not good at this point, but there was no certification.",1.228753072755321,1.211860092572644,-0.016892980182677153,39.92524743080139
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","I do not know these three things, but I don't know.",1.430825902835319,1.482483082294169,0.05165717945885007,26.015448570251465
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,"Now, the bad weather is going to be out of Boston.",1.4491990243865025,1.4878299892880023,0.038630964901499754,66.18679165840149
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,My name is Bornick Debtos.,1.6717781932093203,1.6549958370817013,-0.016782356127619025,20.5096572637558
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,The barman is called the thought of interpreting as a disability climate.,1.5984566865861416,1.5519298469182103,-0.04652683966793125,33.96298289299011
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",The fauson is hearing.,1.2230434918045243,1.2708941486974557,0.04785065689293133,20.678552985191345
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,"Hello, my name is Rond Bragg and I am here to explain.",0.8979653483256698,1.0269510302481786,0.1289856819225088,52.753156423568726
