video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,This is the first time that we were able to communicate with others.,2.8031461113305003,2.0874539352953434,-0.7156921760351569,23.366717994213104
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,This is the first time that we were able to communicate with each other.,2.9952353516386614,2.4065034542646675,-0.5887318973739939,26.26480758190155
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,The first thing I want to share with you is that I want to share with you some of your family members.,3.148201508695881,3.3515255498932675,0.20332404119738667,25.6328284740448
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?",Love...,1.4632285121828317,1.560399522818625,0.09717101063579325,10.923253744840622
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,God shows us...,1.8619945521155994,2.3258932678727433,0.4638987157571439,16.152381896972656
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?","In the past, there was a long time ago...",1.3724397747146506,1.374008192011388,0.001568417296737401,23.299410939216614
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,You can see that there is a lot of things in the world.,1.7949834848577912,1.8665750759653748,0.07159159110758351,33.49105715751648
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,That's what I want to say.,1.7483845316853963,2.1103485557005595,0.36196402401516314,28.041404485702515
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,This is my sign name.,1.767750778933987,2.27528175794416,0.507530979010173,18.68194341659546
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,When God saved his life,1.750165115048488,2.192590723177055,0.4424256081285671,8.02769884467125
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,When you were back there...,1.244886827714081,1.4504381702913913,0.20555134257731034,13.6664018034935
5-Ben-Deaf-Grunts_19,369,yes/no-reversed,Benard Bragg explained his experience in class.,Did Benard Bragg explain his experience in class?,I believe in God's rescue.,1.3494988426876564,2.004216640070081,0.6547177973824245,25.55902898311615
8-Ben-Control-of-sound-places_12,370,yes/no-reversed,"Bill Ennis told a great story about ""bubbles"".","Did Bill Ennis tell a great story about ""bubbles""?",The first thing that I want to share with you is that I want to share with you all about the years.,1.9338328568859304,2.2276863078860676,0.29385345100013716,27.57437825202942
Cory_2013-6-27_sc114_16,371,yes/no-reversed,Bob frequently gives his sweetheart roses.,Does Bob frequently give his sweetheart roses.,You can see that there is a lot of people in the world.,1.7662042686932309,2.255622753279006,0.4894184845857752,25.17002820968628
Cory_2013-6-27_sc114_16,372,yes/no-reversed,Bob gave a rose to his wife because it's their anniversary today.,Did Bob give a rose to his wife because it's their anniversary today?,I want to tell you about the festival.,1.3595450112426823,1.8769343994557857,0.5173893882131033,30.68244457244873
Jonathan_2012-11-27_sc96_17,373,yes/no-reversed,Bob gave roses to his girlfriend.,Did Bob give roses to his girlfriend?,This is the first time that you're going to be able to communicate with each other.,1.5385044915053774,2.3361215167923977,0.7976170252870203,24.718697369098663
Jonathan_2012-11-27_sc96_17,374,yes/no-reversed,Bob goes to the post office.,Does Bob go to the post office?,It's strange.,1.4847750771662285,2.265759206726216,0.7809841295599873,21.736884117126465
Jonathan_2012-11-27_sc96_17,375,yes/no-reversed,Bob has a big dog.,Does Bob have a big dog?,That's what I'm saying.,2.171351259868396,2.7301042360067367,0.5587529761383405,20.263031125068665
Jonathan_2012-11-27_sc97_19,376,yes/no-reversed,Bob hates reading books.,Does Bob hate reading books?,Thank you for an amazing time!,2.3618914821743964,2.947498254606436,0.5856067724320395,23.497149348258972
Cory_2013-6-27_sc114_16,377,yes/no-reversed,Bob loves reading books because he can visualize what happens in the stories.,Does Bob love reading books because he can visualize what happens in the stories?,I love you and I love you.,1.225249882453145,1.4632309721101349,0.23798108965698983,25.57123601436615
Jonathan_2012-11-27_sc96_17,378,yes/no-reversed,Bob loves reading books because he likes using his imagination.,Does Bob love reading books because he likes using his imagination?,You don't have to dream about it.,1.4402291892911308,1.7209078613120843,0.28067867202095353,26.40497088432312
Jonathan_2012-11-27_sc96_17,379,yes/no-reversed,Bob needs to go to the post office because he needs stamps.,Does Bob need to go to the post office because he needs stamps?,The first thing I want to share with you is that I want to share with you.,1.2402000828335682,1.7713283663615584,0.5311282835279902,32.3747992515564
Cory_2013-6-27_sc114_16,380,yes/no-reversed,Bob needs to go to the post office to buy stamps.,Does Bob need to go to the post office to buy stamps?,I believe that.,1.4284106448292733,2.085870500653982,0.6574598558247089,19.323375821113586
Cory_2013-6-27_sc114_16,381,yes/no-reversed,Bob read a book.,Did Bob read a book?,For the last five years.,2.312097869375173,3.2966451840031716,0.9845473146279988,17.718705534934998
Jonathan_2012-11-27_sc96_17,382,yes/no-reversed,Bob read a book.,Did Bob read a book?,I love you.,2.247421050334678,3.2207899673708846,0.9733689170362068,22.915172576904297
Cory_2013-6-27_sc114_16,383,yes/no-reversed,Bob sent a letter.,Did Bob send a letter?,This is my sign name.,2.0038796051552423,3.048084761461486,1.0442051563062438,19.262126088142395
Cory_2013-6-27_sc114_16,384,yes/no-reversed,Bob went to the post office.,Did Bob go to the post office?,This is my sign name.,1.2999670469555362,2.3504766312337693,1.050509584278233,19.218644499778748
Rachel_2012-01-27_sc52_11,385,yes/no-reversed,Bob works at the bike store.,Does Bob work at the bike store?,Why do you love me?,1.8340214203143943,2.483715545160301,0.6496941248459067,19.558313488960266
Cory_2013-6-27_sc107_19,386,yes/no-reversed,Boston is a great city.,Is Boston a great city?,Thank you for your support.,1.7247953284531832,2.2638399593221643,0.5390446308689811,29.979252815246582
Rachel_2012-02-14_sc66_27,387,yes/no-reversed,Both locations had the same number of meetings; same occurences of home visits; same kind of school; and the same resources.,Did Both locations have the same number of meetings; same occurences of home visits; same kind of school; and the same resources?,God saved his life from the world.,1.4437423348426819,1.5262720918712707,0.08252975702858878,21.391630172729492
7-Ben-Social-Msg_7,388,yes/no-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Do both of these cases basically involve the range of cultural acceptance for making noise?,Save your love,1.3127879861198115,1.3555729290389495,0.042784942919138036,9.413473308086395
2-Ben-Voice-Identity_15,389,yes/no-reversed,but the interpreter is speaking with a very high pitched voice.,but is the interpreter speaking with a very high pitched voice?,I showed you growing up...,1.3983612570445985,1.4938160184537992,0.09545476140920073,8.31056758761406
Rachel_2012-02-14_sc66_27,390,yes/no-reversed,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Was car going only twenty to thirty MPH? It shows how the language influences individuals' answers even though they all were watching the same video clip.,You saved us from all over the world.,1.4462780623666702,1.5267802329313371,0.08050217056466691,18.09987872838974
