video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,I am not happy.,0.9701223832865556,1.1645536056973718,0.19443122241081612,87.68079280853271
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,They are not tired.,1.1462149128317833,1.2713658907874064,0.12515097795562302,49.17697310447693
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,I am not skilled at all.,0.9956431816167691,1.5895534733740182,0.5939102917572491,77.37459540367126
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,There is so much rain.,1.3521804935816262,1.2750630410654205,-0.07711745251620572,39.825671911239624
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,Non-rain,1.3068861361179087,1.7485973321433579,0.44171119602544917,37.082573771476746
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,Shower did not see me.,1.4420201744884253,2.5134818576849423,1.071461683196517,42.697709798812866
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,Age is not important.,1.7309506388292426,1.6123592065026362,-0.1185914323266064,86.51354908943176
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,No personality,1.7893195943463416,2.0038906764239073,0.2145710820775657,18.01820695400238
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,I have not paid monthly rent.,0.6048463375440666,0.9206035950531563,0.3157572575090897,77.97988057136536
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,She was a female dog.,1.7986450699113665,1.698153165479501,-0.10049190443186551,31.395721435546875
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,The job is not hard.,1.3876173331269197,1.7172641681714191,0.32964683504449943,81.60951733589172
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,"If you don't understand, you are not drunk.",2.1513867676258087,2.2206465187999935,0.06925975117418481,27.072489261627197
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,This is not a small box.,1.0085814950818366,1.5158616747293208,0.5072801796474842,77.03710794448853
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,Pay rest,1.4673260469734668,1.1245185046528394,-0.3428075423206274,18.983854353427887
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Mabrian is a non-vegetarian.,1.4716914848983287,1.368832160464742,-0.1028593244335867,48.89810085296631
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,Mom is not sick right now.,1.4173769323527814,1.5645274531773545,0.14715052082457314,79.63998317718506
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,He never went home.,1.0494458763301373,1.4897982454613636,0.44035236913122633,74.94763135910034
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,There is no distraction.,1.3054340152213206,1.6630874097995136,0.357653394578193,36.348527669906616
