video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,I'm not happy.,1.1585912997523944,1.5892353545535693,0.43064405480117496,95.52884101867676
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,"I'm tired of being tired, but I'm not going to be tired.",1.675833174586296,1.8187878402796658,0.1429546656933698,46.60565257072449
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,I'm not a skilled person.,1.1050261550528162,1.7228986583650112,0.617872503312195,77.3682951927185
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,It's not rainy.,1.6490628216415644,1.9315157375697578,0.28245291592819344,63.22585344314575
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,It doesn't rain or nothing.,1.7244589297721784,2.153176057285496,0.4287171275133177,57.476991415023804
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,"Outside, he doesn't see me.",1.4883212327957154,2.1665109928983908,0.6781897601026754,46.88476324081421
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,He is an old and unclosed person.,1.544037480794248,1.339701406450735,-0.20433607434351297,26.478400826454163
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,"Although the personality doesn't have anything to do with them, they don't have anything to do.",2.3573762412582124,2.3842500551707215,0.026873813912509092,39.083296060562134
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,I haven't payed one month.,1.5278619279464085,1.7471987679600716,0.21933684001366305,43.97834539413452
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,Who is the woman outside?,2.2067729543362344,2.1191419437527657,-0.08763101058346878,19.334377348423004
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,And that seems like it's not the hardest thing to do.,1.598864368916977,2.002659103522698,0.4037947346057209,55.28726577758789
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,They don't understand why they don't give them anything and they don't give them anything.,2.09054535982961,2.069634238258004,-0.020911121571606017,28.133392333984375
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,The room is not a small room.,1.3829871123148636,1.7151369531121519,0.33214984079728826,45.784568786621094
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,I'm going to go ahead and check out the rat.,1.8667316175997257,1.377641968285808,-0.48908964931391763,26.100802421569824
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Mabin is not a vegetarian.,1.2484330134093762,1.150718542323871,-0.09771447108550513,49.57531690597534
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,Mothers are sick and now they are not sick.,1.4138683113455772,1.4115001369606366,-0.0023681743849406356,48.16220998764038
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,"Never going back home, never going back home.",1.4136675596237183,1.5842395813057297,0.17057202168201147,53.94056439399719
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,There's nothing to do with that.,1.5315494660574656,1.6770457492574402,0.14549628319997465,36.97490692138672
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,The judge lied that they were not sick.,1.366578600441034,1.9835832279852845,0.6170046275442505,39.03268277645111
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,"If you are not sick, now you are not sick.",1.2312533571743047,1.5224791011688383,0.2912257439945336,39.58056569099426
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,My brother and I can't help him.,1.097106269059273,1.254775148195525,0.15766887913625194,73.67446422576904
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,My uncle will never visit me.,1.2660396101956184,1.6504380125552416,0.3843984023596232,78.69061827659607
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,They just had no rain.,1.7063421231729012,1.5855176093367238,-0.12082451383617743,55.091238021850586
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,"So if you never start trying to figure out what you want to do, you want to do it.",1.4276489976931501,1.8047693071975595,0.37712030950440933,24.689188599586487
Cory_2013-6-27_sc110_14,24,negation,The car did not breakdown.,The car did breakdown.,Driver's car is not broken.,1.4896627144405135,1.953445327832647,0.46378261339213345,62.90639638900757
Cory_2013-6-27_sc110_14,25,negation,The car didn't break down.,The car broke down.,Car breakdown,1.3485447434639488,1.3765215460211038,0.027976802557154956,40.97104072570801
Rachel_2012-01-27_sc51_11,26,negation,The car didn't break down.,The car broke down.,The car breaks down and the car breaks down.,1.3082589722341962,1.3089532362297178,0.0006942639955216379,50.13916492462158
Rachel_2011-12-01_sc43_12,27,negation,Alcohol is not always good.,Alcohol is always good.,Alcohol is not always a good color.,1.2753467227199249,1.60610248396794,0.3307557612480152,54.48278188705444
Cory_2013-6-27_sc115_17,28,negation,Bob hasn't sent the letter.,Bob has sent the letter.,Bobbi has not yet sent his letter.,1.040897760673293,1.228672461360693,0.1877747006874,56.150490045547485
Cory_2013-6-27_sc115_17,29,negation,I don't want to buy shorts.,I want to buy shorts.,I don't want to buy it anymore.,1.120898018724152,1.5250284688716584,0.4041304501475065,52.50018835067749
Jonathan_2012-11-27_sc98_14,30,negation,I don't want to buy shorts.,I want to buy shorts.,I dressed up before I went to the bottom of my clothes.,1.2682802698441915,1.646513381126252,0.3782331112820605,30.038535594940186
Rachel_2012-02-09_sc58_12,31,negation,John didn't buy the turkey.,John bought the turkey.,"When you purchase the voice in the voice, you can see the voice in the voice.",1.6974697610629457,1.59280949862053,-0.10466026244241577,37.01279163360596
Rachel_2012-02-09_sc58_12,32,negation,John didn't buy the turkey.,John bought the turkey.,He didn't go through the dryer.,1.7976088034255164,1.8034597064057987,0.005850902980282235,25.091487169265747
Rachel_2012-01-27_sc50_10,33,negation,Mom doesn't like surprises.,Mom likes surprises.,The mother doesn't like to wake up.,1.014353772492281,1.2467926760159789,0.23243890352369778,40.46979546546936
Cory_2013-6-27_sc115_17,34,negation,The clothes aren't on sale.,The clothes are on sale.,The clothes are not a little bit later.,1.590691635651248,1.7568691846728326,0.16617754902158466,44.63344216346741
