video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,The faithfulness of the community is the most important thing you can do is you can take a look at the faithfulness of the community.,1.195032451989559,1.1731417013359242,-0.021890750653634772,41.75434708595276
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""",The company also said it was the first time that the company took the time to complete the proposal for the first time in the weekend.,1.5810921515982885,1.6446542858228654,0.0635621342245769,24.304020404815674
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,The company also said that it was not the first time that there were some people who were involved with the conference in the community and that it was not the first time that they were able to communicate.,2.35242875131468,2.239027750176879,-0.11340100113780105,20.102664828300476
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.",The company also said they were not able to communicate with the community because they did not know what to do.,1.384899648026042,1.2451473401051085,-0.13975230792093352,24.518349766731262
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.",Latin Americans,1.4749777193016866,1.5344894875931303,0.05951176829144367,3.2984286546707153
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.",The actor captioned the picture by using famous lines from his character.,1.2840268441920613,1.3417198820378293,0.05769303784576807,24.692875146865845
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.",The actor captioned the picture by using famous lines from his character.,1.2840268441920613,1.268537521597233,-0.01548932259482827,24.692875146865845
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.",The actor captioned the picture by using famous lines from his character.,1.2840268441920613,1.280247161366247,-0.0037796828258143123,24.692875146865845
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.",There was a lot of people in the United States and Canada in the United States and Canada.,1.2662938641725292,1.3386267539726135,0.07233288980008434,25.189965963363647
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,The company also said that it was the first time that there were several people who were involved in the shooting and killing themselves in the area where they were in the state of Maryland.,1.6263331974941222,1.5434142904275137,-0.08291890706660854,22.916051745414734
8-Ben-Control-of-sound-places_12,1135,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate kernels of popcorn pretty slowly.",The actor captioned the picture by using famous lines from his character.,1.8043274650858208,1.774991513145241,-0.029335951940579807,29.950690269470215
