video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,Are they married?,2.2755675357580185,1.3862721733748913,-0.8892953623831272,64.02495503425598
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,Clothing is all about the left costume.,1.9330171871185302,1.4345297929644585,-0.49848739415407173,38.966915011405945
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,Clothes on the style are actually clothed.,1.3554185389075428,1.0046607021940872,-0.3507578367134556,42.349350452423096
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,The first thing you want to do is go out.,1.395641859482836,1.0512934898336728,-0.34434836964916316,46.11402750015259
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,The next step is to see the truck.,1.6217288028667955,1.2678299133172806,-0.353898889549515,29.683130979537964
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,The farm is the only horse in the horse.,1.1988438668244696,1.1558632272772673,-0.042980639547202326,39.25220966339111
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,Are you going to go to the University of Interpreting tomorrow?,1.1344050403254538,0.8717887263315228,-0.2626163139939309,54.87902760505676
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,She will go to school tomorrow.,1.1852596355054308,0.628556208246771,-0.5567034272586597,61.45298480987549
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,Do you go to a party next week?,1.1068857757276611,0.6778395858250166,-0.42904618990264454,83.69265794754028
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,Are you watching football games?,1.0369246306104793,0.7633333124427332,-0.2735913181677462,85.37755012512207
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,The bartick ebarrassment level is the third level.,2.1312782754086785,1.8460302161984146,-0.28524805921026397,16.462025046348572
Rachel_2011-12-08_sc46_14,219,yes/no,Did Bill move to New York?,Bill moved to New York.,How did the flight go again?,1.9659962579607964,1.5849748053587973,-0.38102145260199904,20.62056064605713
Cory_2013-6-27_sc114_16,220,yes/no,Did Bob arrive at the post office?,Bob arrived at the post office.,Bob arrived in Pennsylvania.,1.9408042569245612,0.7739365111337975,-1.1668677457907637,45.66692113876343
Jonathan_2012-11-27_sc96_17,221,yes/no,Did Bob give someone roses?,Bob gave someone roses.,Are you blind and hard of hearing?,2.6311021210359677,1.9868765729479492,-0.6442255480880186,26.141518354415894
Cory_2013-6-27_sc114_16,222,yes/no,Did Bob give the rose to his sweetheart?,Bob gave the rose to his sweetheart.,Your challenge has been given to the flowers.,2.0068909076110617,1.4109216518700123,-0.5959692557410494,34.59850251674652
Cory_2013-6-27_sc114_16,223,yes/no,Did Bob send the letter?,Bob sent the letter.,You have sent a letter to the mail.,2.483715887367725,1.2143454244803815,-1.2693704628873437,50.3900408744812
Cory_2013-6-27_sc114_16,224,yes/no,Did dad mow the lawn?,Dad mowed the lawn.,"After the hair is finished, the taste is colored.",2.913896942003207,2.1616881523281335,-0.7522087896750733,23.397716879844666
Jonathan_2012-11-27_sc95_15,225,yes/no,Did Donna give the money?,Donna gave the money.,"If you have any questions or questions about what you want to do, you want to give me the money.",1.9597316216677427,1.7156483597037466,-0.2440832619639961,40.73492884635925
Cory_2013-6-27_sc114_16,226,yes/no,Did Donna give you the money?,Donna gave you the money.,Donna has given the money.,1.5153523291150728,1.3120984018135529,-0.20325392730151992,70.27031779289246
Cory_2013-6-27_sc112_17,227,yes/no,Did Father arrive home late at night?,Father arrived home late at night.,He arrived home at night.,1.6587571124301146,0.9031219775123256,-0.755635134917789,60.771822929382324
Cory_2013-6-27_sc112_17,228,yes/no,Did Father really arrive home late at night?,Father really arrived home late at night.,Dad arrived home to Los Angeles at night.,1.6528102008004983,1.1671308324273144,-0.48567936837318393,54.54747676849365
Jonathan_2012-11-27_sc96_17,229,yes/no,Did Father start mowing the lawn?,Father started mowing the lawn.,The future has begun the motorcycle.,1.9149601537296002,1.2331779717933387,-0.6817821819362615,29.485005140304565
Cory_2013-6-27_sc114_16,230,yes/no,Did I already pay the rent?,I already paid the rent.,I have paid monthly rent.,1.904228052124381,0.6004658494889736,-1.3037622026354074,70.07582783699036
Jonathan_2012-11-27_sc96_17,231,yes/no,Did I pay the rent?,I paid the rent.,I have paid the toilet.,2.1612494714558124,1.006629014716429,-1.1546204567393834,40.82549214363098
Rachel_2011-12-08_sc45_13,232,yes/no,Did Jack and Sue already meet?,Jack and Sue already met.,They have not met their responsibilities.,2.3770458068578475,1.8985349316723072,-0.47851087518554025,31.713229417800903
