video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,Boys can burn the fire.,1.9933551118053772,2.033356294160088,0.04000118235471062,39.80100750923157
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,The moon is produced in the box of fire.,2.5274280604940875,2.408075905839602,-0.11935215465448534,34.730106592178345
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,The benfire of the benfire is the benfire.,2.3318926215171816,2.1166334008531913,-0.21525922066399028,33.04842710494995
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,"As a presenter, the linguistics and sex were boring.",1.3685190533134308,1.4168119176508898,0.04829286433745894,32.44607746601105
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,Many experience Deaf people have dealt with voice and their concepts and voices that are complicated.,0.8862296944648466,0.8994820607485066,0.01325236628366,51.93665027618408
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,Many Deaf people use their voice to process their voices as well as their voices.,1.29623257792913,1.2627784630782168,-0.0334541148509131,43.55506896972656
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.","In ancient teachers, no students have learned how to adolescents named the list of adolescents in the laughter and showed the culture of the use of range from voice to age.",1.08939368713103,1.0952703450218777,0.005876657890847792,37.660497426986694
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.","When the president leaves, he will speak with the commander.",1.0384524445980787,1.10396684583975,0.0655144012416713,51.983875036239624
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,The man left together.,1.1464861378901534,1.1530045161289828,0.006518378238829392,60.473889112472534
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,How do deaf people use their voice as a rate?,1.13145345186984,1.2031682476401329,0.07171479577029283,59.543389081954956
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,The strategies of the strategy are about how to compromise the world's experiences.,1.094026619917713,1.1488543361572936,0.05482771623958049,42.26340651512146
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",I have been deaf and hard of hearing people who have late late lipreading have good lip reading and have a good idea that it is almost equal to hearing people.,1.1642962016066791,1.1374164486839535,-0.026879752922725597,36.303871870040894
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",There are several characteristics that can be characteristics and intellectual intellectual agreements from spoken languages.,1.3786784007361061,1.3471777235886249,-0.03150067714748128,41.349852085113525
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,"Now, the bad weather is located in Boston.",1.329443825459158,1.4030038975179195,0.07356007205876147,68.81399154663086
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,Bernick Ebaca is the level of ASL.,1.7054750949610025,1.7159066970149677,0.010431602053965205,27.244043350219727
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,Barman is named the concept of interpreting as the deepest current current current formation.,1.3607027426858742,1.4626798292156309,0.10197708652975668,34.637874364852905
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",The log was recommended by Barnan and other logical neutralities and communication was heard.,1.16309061236208,1.215755760137524,0.052665147775444066,24.331019818782806
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,Brend Bragg explained from Moscow in the classroom.,0.9443688535441955,1.0906550489928362,0.14628619544864063,52.043700218200684
