video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,I'm not his five.,1.3194429573913415,1.3862967823039403,0.06685382491259872,30.883115530014038
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,He was tired.,1.484505095332861,1.5995816798372702,0.11507658450440927,35.51098704338074
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,I am not skilled at all.,1.037117829436765,1.6753771574451373,0.6382593280083724,77.37451791763306
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,Are there rain?,1.435891053949793,1.2338442610842841,-0.20204679286550897,39.17105495929718
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,Non-rain,1.3222603909671307,1.7227467905197824,0.40048639955265175,37.08261251449585
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,He does not see me at all.,1.7007513435557484,2.835165859414981,1.1344145158592325,60.51889657974243
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,Age is not important.,1.7020280758539836,1.526619603443477,-0.17540847241050672,86.51366829872131
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,Personality,2.126515157698166,2.239841984377967,0.11332682667980087,4.329814016819
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,I have not paid monthly payments.,0.6474990431396734,0.894299797506796,0.24680075436712257,65.84531664848328
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,The woman is dogging.,1.7550225202881156,1.643589072757297,-0.11143344753081852,25.707486271858215
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,This is not hard.,1.4630386382341385,1.721591908691658,0.2585532704575195,52.98905968666077
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,You don't understand why you don't take this.,2.2415316670455714,2.398765974574619,0.15723430752904743,27.70928144454956
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,It is not a small room.,1.131730585613034,1.6062142757905855,0.47448369017755154,45.592689514160156
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,Pay rest,1.5351216900348663,1.2367788411390324,-0.29834284889583396,18.98389309644699
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Marin is a non-vegetarian.,1.336049444824457,1.1470766059038313,-0.18897283892062577,52.31345891952515
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,Mom is not sick today.,1.4820392321050166,1.5926502814347094,0.11061104932969279,80.92865347862244
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,Never going home,1.2055346354842187,1.5904476223023314,0.3849129868181127,66.00714921951294
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,They didn't have any information.,1.5501770116388798,1.9562532304097777,0.40607621877089795,31.69708251953125
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,Jack lied and did not get sick.,1.3550113416635072,2.0076193938201126,0.6526080521566053,70.10369300842285
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,They are not sick at all.,1.2636213758243964,1.613038282841444,0.34941690701704764,39.26195502281189
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,My brother couldn't help me.,0.8405115716159344,0.8899528132751584,0.04944124165922403,89.17012810707092
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,My uncle never visited him.,1.1939157145814254,1.3052336873486639,0.11131797276723843,72.2648561000824
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,There was no recent look.,1.58151535289707,1.4332399951914947,-0.14827535770557532,40.42322039604187
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,It was never the beginning of the toy.,1.4137990869305752,1.8371935948019935,0.4233945078714183,29.250389337539673
Cory_2013-6-27_sc110_14,24,negation,The car did not breakdown.,The car did breakdown.,Do not break down cars.,1.3409552469297692,1.646285768598318,0.3053305216685489,45.15370726585388
Cory_2013-6-27_sc110_14,25,negation,The car didn't break down.,The car broke down.,Breakdown vehicles.,1.1991076739849869,1.1834479389712214,-0.015659735013765497,36.21768355369568
