video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.",The company also said it was the first time that the company took office and then the company took office and then said it was the first time that the company took office.,1.2952127736787518,1.2866359897712363,-0.008576783907515484,36.70766055583954
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.",This is the most important thing in the world is the community of the world.,1.4371876135941535,1.4927393614099576,0.055551747815804076,35.424476861953735
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,There was a lot of deaf people in the United States and Canada.,1.1826820907741784,1.1549973085236092,-0.02768478225056925,29.13932204246521
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.",The parents were planning for the future.,1.224319614894405,1.200091619964367,-0.024227994930038133,32.700979709625244
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.",There was a lot of people who were involved in the conference that were involved in the community.,1.4214638940685866,1.4560260013038038,0.03456210723521713,23.86573851108551
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,"In the future, there was a lot of opportunities to do with the future.",1.1928402597550303,1.0956049583107232,-0.09723530144430703,38.29508125782013
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.",There was a lot of people in the United States who were in the United States who were in the United States.,1.5267943142623197,1.5915265277855926,0.06473221352327285,30.107465386390686
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.",It was a beautiful experience.,1.139886710466,1.1984358434328588,0.05854913296685882,38.934457302093506
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.",Captioned by aslcaptions.com,1.4478228722495594,1.4852417404815723,0.0374188682320129,12.502889335155487
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.",The first thing that we have done is we have a lot of things to share with you about the presentation with you.,1.3613038806129345,1.361992804090614,0.0006889234776794595,27.7713805437088
