video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,Boys can burn the fire.,1.9933591384302687,1.5536247304192297,-0.439734408011039,39.80105519294739
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,The moon is produced in the box of fire.,2.527439303834129,2.0127046047537416,-0.5147346990803876,34.73009169101715
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,The benfire of the benfire is the benfire.,2.331845412279169,2.79868743813131,0.4668420258521411,33.04842412471771
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?","When the president leaves, he will speak with the commander.",1.0384199790035684,1.1755590468024215,0.1371390677988531,51.983922719955444
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,The man left together.,1.1465117520204298,1.8824861443135887,0.735974392293159,60.47385334968567
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?","As we previously observed, we observed something wrong with the journey and talked a lot about standards.",1.2258547319459818,1.2666367145138793,0.040781982567897446,43.751442432403564
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,"Now, the bad weather is located in Boston.",1.3293772161611028,1.5295138623565436,0.2001366461954408,68.81388425827026
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,The bad weather is expected to come to the Beachbody.,1.126259809752044,1.6363844672512067,0.5101246574991627,52.07897424697876
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,Bernick Ebaca is the level of ASL.,1.7054732502438128,2.3590790565229125,0.6536058062790997,27.244025468826294
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,Barman is named the concept of interpreting as the deepest current current current formation.,1.3607033150891463,1.8253518610999182,0.4646485460107719,34.6379280090332
