video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,Boys can take the fire.,1.9111194327749588,1.5601849499400016,-0.3509344828349572,40.18564820289612
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,It is produced as a bedfield.,2.522426573490655,2.032073939288104,-0.4903526342025506,33.75048041343689
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,The bonfire of the bonfire is the bonfire of the moon.,2.2558991545190414,2.764634750201367,0.5087355956823254,33.92030894756317
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?",The president left and spoke with the commander.,1.036639838044842,1.164796647367378,0.12815680932253604,50.12322664260864
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,The man left with him.,1.180819242088883,1.9485483677126467,0.7677291256237637,49.08570647239685
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?","As I mentioned, before I previously observed something wrong with the journey, I said a lot about standards.",1.2342791587354676,1.2794376233359799,0.045158464600512316,41.26485586166382
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,"Now, the bad weather is in Boston.",1.3346252917639307,1.501272657047957,0.16664736528402635,67.53734350204468
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,Bad rainfall is coming to Boston.,1.0696797189547826,1.55063740869886,0.48095768974407727,75.92934966087341
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,Bernick Ebanya is the level of A.,1.7413296261802316,2.342739542532298,0.6014099163520665,30.595621466636658
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,Barman is signed as the concept of interpreting as the Deaf Culture Center for the District.,1.4936996141572794,1.9408069376821642,0.4471073235248848,33.19055438041687
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,The log was recommended by Barnan and others who had a long hearing loss.,1.1912338444137875,1.409148123299266,0.21791427888547843,19.96668428182602
5-Ben-Deaf-Grunts_19,369,yes/no-reversed,Benard Bragg explained his experience in class.,Did Benard Bragg explain his experience in class?,My name is Brend Bragg and I will explain from Moscow in the class.,0.8715873077356567,1.5425085867196322,0.6709212789839755,52.37875580787659
8-Ben-Control-of-sound-places_12,370,yes/no-reversed,"Bill Ennis told a great story about ""bubbles"".","Did Bill Ennis tell a great story about ""bubbles""?",Bill Ennies said he did a great story about Buffalos.,1.3826203111638413,1.7740455678134572,0.3914252566496159,44.595760107040405
Cory_2013-6-27_sc114_16,371,yes/no-reversed,Bob frequently gives his sweetheart roses.,Does Bob frequently give his sweetheart roses.,They give them an electric rose.,1.4557044058171815,1.9502002363826365,0.494495830565455,30.399009585380554
Cory_2013-6-27_sc114_16,372,yes/no-reversed,Bob gave a rose to his wife because it's their anniversary today.,Did Bob give a rose to his wife because it's their anniversary today?,Bark has given his marriage because of his celebration.,0.9725630124184218,1.4776330259229455,0.5050700135045237,33.57177674770355
Jonathan_2012-11-27_sc96_17,373,yes/no-reversed,Bob gave roses to his girlfriend.,Did Bob give roses to his girlfriend?,Transportation from the bob is given to the mother.,1.4027673585669083,1.8240148948603554,0.42124753629344713,34.45867300033569
Jonathan_2012-11-27_sc96_17,374,yes/no-reversed,Bob goes to the post office.,Does Bob go to the post office?,Bobby goes to P.E.,1.060282212264579,1.9193060612305999,0.8590238489660209,53.146106004714966
Jonathan_2012-11-27_sc96_17,375,yes/no-reversed,Bob has a big dog.,Does Bob have a big dog?,Bob is a big dog.,1.272063672934708,2.196073844879866,0.9240101719451579,78.21498513221741
Jonathan_2012-11-27_sc97_19,376,yes/no-reversed,Bob hates reading books.,Does Bob hate reading books?,I love reading a book.,1.4461836357414724,2.422256604350846,0.9760729686093739,42.324912548065186
Cory_2013-6-27_sc114_16,377,yes/no-reversed,Bob loves reading books because he can visualize what happens in the stories.,Does Bob love reading books because he can visualize what happens in the stories?,"By reading the book, you can imagine that you can imagine.",0.780382928892206,1.1746183064107487,0.39423537751854276,43.36581230163574
Jonathan_2012-11-27_sc96_17,378,yes/no-reversed,Bob loves reading books because he likes using his imagination.,Does Bob love reading books because he likes using his imagination?,Bob loves to read the book because it is a cool idea.,0.9263065096456558,1.3321437536026626,0.4058372439570068,61.715805530548096
Jonathan_2012-11-27_sc96_17,379,yes/no-reversed,Bob needs to go to the post office because he needs stamps.,Does Bob need to go to the post office because he needs stamps?,Barb needs to go to the post because he needs to mail.,0.8657003060604135,1.364322992740199,0.4986226866797855,49.07904863357544
Cory_2013-6-27_sc114_16,380,yes/no-reversed,Bob needs to go to the post office to buy stamps.,Does Bob need to go to the post office to buy stamps?,The mother needs to go to the Post Office because she needs to buy fun.,0.9432822619378567,1.583062322465358,0.6397800605275012,42.155176401138306
Cory_2013-6-27_sc114_16,381,yes/no-reversed,Bob read a book.,Did Bob read a book?,He read a book.,1.5637216147254496,2.6989025860315277,1.135180971306078,61.2271785736084
