video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,The boys were magically burned.,1.5320754575508613,1.5493341267660812,0.0172586692152199,34.16672348976135
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,The boy was made of burning bone fire.,1.5667105457848973,1.5824485316320702,0.015737985847172897,37.57563829421997
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,The burning of the Ben Fire is considered a burning fire.,2.0008954369773466,2.2328459509881213,0.2319505140107747,36.217957735061646
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?",The president will be able to speak with the reporter.,0.9844454885149996,1.0891473674525818,0.1047018789375822,53.11000943183899
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,The man left together.,1.213225495070219,1.6178900205995888,0.4046645255293697,60.473889112472534
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?",I also talked about before the observation of an adult and a misunderstanding of the mistakes of the standard deviation.,1.318600386140808,1.3382386173761915,0.019638231235383552,38.016366958618164
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,"Now, the bad news that Jesus went into Boston.",1.5505064892003666,1.6386790987104178,0.08817260951005124,45.66044807434082
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,Bad snowflakes came to Brown.,1.1381358259210461,1.6463376600295305,0.5082018341084844,37.69354224205017
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,Bernie Kebaca is a language level of athlete.,2.1001645976211876,2.1702420167211027,0.07007741909991516,26.723068952560425
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,"Barman mentioned about the concept of interpreting, also known as the cromotion.",1.30233056306839,1.5682655213424912,0.2659349582741013,36.41984462738037
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,The opposite side of the leg is offered by Barran and other opposite sides of the ear and speaks for us here.,1.1463046492655067,1.1358829601035443,-0.0104216891619624,33.09333920478821
5-Ben-Deaf-Grunts_19,369,yes/no-reversed,Benard Bragg explained his experience in class.,Did Benard Bragg explain his experience in class?,Fend Brush explained to his experience in class.,0.8547718765524527,1.3701125063747168,0.5153406298222641,59.64324474334717
8-Ben-Control-of-sound-places_12,370,yes/no-reversed,"Bill Ennis told a great story about ""bubbles"".","Did Bill Ennis tell a great story about ""bubbles""?","Bill Ennies told his great comments about buffles ""Buffles"".",1.385585068229665,1.7726645699026538,0.38707950167298866,44.46358680725098
Cory_2013-6-27_sc114_16,371,yes/no-reversed,Bob frequently gives his sweetheart roses.,Does Bob frequently give his sweetheart roses.,Bacteria gave them the electricity of the water.,1.5455008625637654,2.0133567853493894,0.46785592278562405,16.87473952770233
Cory_2013-6-27_sc114_16,372,yes/no-reversed,Bob gave a rose to his wife because it's their anniversary today.,Did Bob give a rose to his wife because it's their anniversary today?,Bobbie gave him a light because his wife celebrated now.,0.9176020700145852,1.2809998165283885,0.3633977465138033,50.29391646385193
Jonathan_2012-11-27_sc96_17,373,yes/no-reversed,Bob gave roses to his girlfriend.,Did Bob give roses to his girlfriend?,"After he comes back, Bob gave him flowers.",1.3250607153510345,1.748326643321075,0.42326592797004037,50.90482831001282
Jonathan_2012-11-27_sc96_17,374,yes/no-reversed,Bob goes to the post office.,Does Bob go to the post office?,Born went to Pennsylvania.,1.1225419987378449,1.939272310351953,0.816730311614108,28.87648344039917
Jonathan_2012-11-27_sc96_17,375,yes/no-reversed,Bob has a big dog.,Does Bob have a big dog?,Bob has a big dog.,0.9016851106364476,2.012780408859253,1.1110952982228053,97.47175574302673
Jonathan_2012-11-27_sc97_19,376,yes/no-reversed,Bob hates reading books.,Does Bob hate reading books?,Cob did not like to read the book.,1.132580120265484,2.0522966676488004,0.9197165473833164,52.953946590423584
Cory_2013-6-27_sc114_16,377,yes/no-reversed,Bob loves reading books because he can visualize what happens in the stories.,Does Bob love reading books because he can visualize what happens in the stories?,"Because you love to read the book, you can explosively explosively explosively.",0.9111361836489195,1.243815179914236,0.3326789962653166,36.97753548622131
Jonathan_2012-11-27_sc96_17,378,yes/no-reversed,Bob loves reading books because he likes using his imagination.,Does Bob love reading books because he likes using his imagination?,Bob loved the book because of his ideas.,1.1023360265535302,1.4581962779493016,0.3558602513957714,62.270063161849976
Jonathan_2012-11-27_sc96_17,379,yes/no-reversed,Bob needs to go to the post office because he needs stamps.,Does Bob need to go to the post office because he needs stamps?,Bob needed to go to the post because he needed to remember.,0.9168382301305731,1.4208516934886575,0.5040134633580844,49.14405345916748
Cory_2013-6-27_sc114_16,380,yes/no-reversed,Bob needs to go to the post office to buy stamps.,Does Bob need to go to the post office to buy stamps?,They will need to go to the Postal Service because they can buy a secretary.,0.9891365956515074,1.6049033341308434,0.615766738479336,38.69072198867798
Cory_2013-6-27_sc114_16,381,yes/no-reversed,Bob read a book.,Did Bob read a book?,Click read the book.,1.1312676264959223,2.270399315194005,1.1391316886980827,55.31456470489502
Jonathan_2012-11-27_sc96_17,382,yes/no-reversed,Bob read a book.,Did Bob read a book?,Books and books,1.2621283930014162,2.229514806753113,0.967386413751697,20.640861988067627
