video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,Until they were 7 and half years old.,0.8856887707343468,0.8967963156384834,0.011107544904136568,49.485886096954346
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""","Her uncle lived at home, right?",1.3849973808018825,1.3996207670226126,0.014623386220730117,40.72108268737793
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,The benfire of the benfire is the benfire.,2.331846212844054,2.48508691873688,0.1532407058928258,33.048444986343384
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.",What if a person is speaking or speaking mute?,1.3342503959637717,1.2172013090325977,-0.117049086931174,35.819852352142334
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.",The man looks at the money and sees the money on the side of the side.,1.3858965315801255,1.4174471319448658,0.03155060036474033,50.52799582481384
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After the exercise, they entered the locker room with two deaf people next to the neighborhood, they heard that there were greater morarts than the other.",1.1646155490632262,1.209216098605909,0.04460054954268289,37.6057505607605
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.","After the exercise, they entered the locker room with two deaf people next to the neighborhood, they heard that there were greater morarts than the other.",1.1646155490632262,1.1625661535339582,-0.002049395529267972,37.6057505607605
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.","After the exercise, they entered the locker room with two deaf people next to the neighborhood, they heard that there were greater morarts than the other.",1.1646155490632262,1.1611585563199747,-0.003456992743251508,37.6057505607605
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.","It is not expensive, but if it is expensive, I am stuck because the transition of the beach floor is only a part of the floor.",0.882792978219583,1.0099998947028836,0.12720691648330062,36.49400174617767
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,How do deaf people use their voice as a rate?,1.131361026909541,1.201443281105679,0.0700822541961379,59.543436765670776
8-Ben-Control-of-sound-places_12,1135,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate kernels of popcorn pretty slowly.","In the movie, there are many foods that are composed of red and food that are directly changed into the movie.",1.3525536142882297,1.3046038697727702,-0.047949744515459525,41.735368967056274
8-Ben-Control-of-sound-places_12,1136,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he dropped kernels of popcorn pretty loudly.","In the movie, there are many foods that are composed of red and food that are directly changed into the movie.",1.3525536142882297,1.2544172628904167,-0.09813635139781307,41.735368967056274
