video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,Male,2.888808519244194,2.085886759608984,-0.8029217596352098,12.700150907039642
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,Captioning,2.2287428575754165,1.803268966972828,-0.42547389060258856,6.039368361234665
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,This is the sign for light.,2.0728771559661254,1.6009392137639225,-0.471937942202203,23.689010739326477
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,Mountain Tree,1.8450839049010366,1.5030868733646694,-0.3419970315363672,8.183293044567108
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,This is the largest part of the world.,1.6774359160267256,1.4275374846423374,-0.24989843138438816,33.519524335861206
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,The forest has been the western hair.,1.6808650909744678,1.5921116158729647,-0.08875347510150311,27.382883429527283
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,Flowers,1.5040564931785831,1.2510396881888692,-0.2530168049897139,3.6139100790023804
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,Go to women.,1.69106910081909,1.231474142302485,-0.4595949585166048,22.526955604553223
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,This is a part of the party.,1.6141366360611038,1.1861825194209814,-0.4279541166401224,43.7041699886322
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,northern land,1.5423380709770653,1.233400433220797,-0.30893763775626826,2.4291813373565674
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,The mouth of the mouth is the mouth.,2.287101936319636,1.7891010304447263,-0.4980009058749095,17.239849269390106
Rachel_2011-12-08_sc46_14,219,yes/no,Did Bill move to New York?,Bill moved to New York.,He proposes to the world.,2.097251091014456,1.5676616341806948,-0.5295894568337611,20.490972697734833
Cory_2013-6-27_sc114_16,220,yes/no,Did Bob arrive at the post office?,Bob arrived at the post office.,The mother is right in the air.,2.1884638821440086,1.2768899821676314,-0.9115738999763772,19.93754208087921
Jonathan_2012-11-27_sc96_17,221,yes/no,Did Bob give someone roses?,Bob gave someone roses.,There are many different meanings for the world.,3.081931290083698,2.1024473290890455,-0.9794839609946524,21.30487561225891
Cory_2013-6-27_sc114_16,222,yes/no,Did Bob give the rose to his sweetheart?,Bob gave the rose to his sweetheart.,The first one is the first one in the second place.,2.1209695456413233,1.455661980485594,-0.6653075651557294,23.9944189786911
Cory_2013-6-27_sc114_16,223,yes/no,Did Bob send the letter?,Bob sent the letter.,Michael Anger,2.6660222283005712,1.9389052174630619,-0.7271170108375093,10.828348994255066
Cory_2013-6-27_sc114_16,224,yes/no,Did dad mow the lawn?,Dad mowed the lawn.,The father is one of the theories.,3.153096664358269,2.5650302808731795,-0.5880663834850894,35.989296436309814
Jonathan_2012-11-27_sc95_15,225,yes/no,Did Donna give the money?,Donna gave the money.,The first thing I want to share with you is that we are going to share with you all about the deaf community.,2.4782524213481407,2.2057024223560635,-0.2725499989920772,27.24958062171936
Cory_2013-6-27_sc114_16,226,yes/no,Did Donna give you the money?,Donna gave you the money.,This is the first time that we have been doing this for the first time in the first time.,2.1935707608858745,1.8273680062534718,-0.3662027546324027,29.976677894592285
Cory_2013-6-27_sc112_17,227,yes/no,Did Father arrive home late at night?,Father arrived home late at night.,The father dropped for the first time.,2.0225924849510193,1.4405942631619317,-0.5819982217890876,33.15238356590271
Cory_2013-6-27_sc112_17,228,yes/no,Did Father really arrive home late at night?,Father really arrived home late at night.,The father of the father is also the latest one.,1.9186086588435702,1.5298411049658345,-0.38876755387773576,28.920048475265503
Jonathan_2012-11-27_sc96_17,229,yes/no,Did Father start mowing the lawn?,Father started mowing the lawn.,God is the most commonly known for the world.,2.188492745051489,1.625614567194134,-0.562878177857355,19.89802122116089
Cory_2013-6-27_sc114_16,230,yes/no,Did I already pay the rent?,I already paid the rent.,This is the most common thing in the world.,2.375003846229187,1.3721156395971774,-1.0028882066320097,30.692008137702942
Jonathan_2012-11-27_sc96_17,231,yes/no,Did I pay the rent?,I paid the rent.,Captioned by aslcaptions.com,2.560666636005044,1.7283026606721037,-0.8323639753329404,15.831264853477478
Rachel_2011-12-08_sc45_13,232,yes/no,Did Jack and Sue already meet?,Jack and Sue already met.,The right part of the screen is the blue.,2.5956178853108036,2.2651082215687404,-0.33050966374206325,12.565605342388153
Cory_2013-6-27_sc109_21,233,yes/no,Did Jack see something weird while he was waiting outside?,Jack saw something weird while he was waiting outside.,"In the future, the future of the presentation is beautiful.",1.6491951374179226,1.3593188543888655,-0.2898762830290571,25.047165155410767
Cory_2013-6-27_sc107_19,234,yes/no,Did John buy milk?,John bought milk.,Captioned by aslcaptions,3.121996898792292,2.845549028573765,-0.2764478702185271,10.00547781586647
Cory_2013-6-27_sc112_17,235,yes/no,Did mom already walk to the store?,Mom already walked to the store.,Both sides of the forehead,2.2130979423012054,1.4520448458691437,-0.7610530964320616,13.257098197937012
Cory_2013-6-27_sc112_17,236,yes/no,Did mother already walk to the store?,Mother already walked to the store.,Here is an example of the sign for her.,2.0320695715123103,1.4910743905024395,-0.5409951810098708,32.27207362651825
Cory_2013-6-27_sc112_17,237,yes/no,Did mother clean the kitchen?,Mother cleaned the kitchen.,Most of the cultures,2.214147633810838,1.883965508081019,-0.3301821257298192,19.130007922649384
Jonathan_2012-11-27_sc90_12,238,yes/no,Did Mother go to the store?,Mother went to the store.,The mouth of the water is strong.,2.0500417411593452,1.44206043991905,-0.6079813012402953,19.57368403673172
Jonathan_2012-11-27_sc90_12,239,yes/no,Did Mother walk to the store?,Mother walked to the store.,The first thing that I want to share with you is the farmers.,1.9415652760614952,1.5524803008884192,-0.38908497517307605,21.98493182659149
Cory_2013-6-27_sc113_13,240,yes/no,Did my friend drive?,My friend drove.,The first thing that you want to do is you want to see is you want to go to the website.,2.6588091190372194,2.6670527944670006,0.008243675429781216,22.61483669281006
Cory_2013-6-27_sc114_16,241,yes/no,Did my friend go ahead with crashing the party?,My friend went ahead with crashing the party.,The largest part of the world is the world.,1.9442691790560882,1.4844582501150991,-0.45981092894098907,20.642289519309998
Rachel_2011-12-08_sc45_13,242,yes/no,Did someone win the lottery?,Someone won the lottery.,Orange,2.2768563471477608,1.8249979650974273,-0.45185838205033346,9.196951985359192
Cory_2013-6-27_sc112_17,243,yes/no,Did the boy feed the fire?,The boy fed the fire.,Father,2.1554086630543074,1.889103208414533,-0.2663054546397745,9.160363674163818
Jonathan_2012-11-27_sc90_12,244,yes/no,Did the boy make the bonfire?,The boy made the bonfire.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.5534152939915655,1.9617111814709811,-0.5917041125205844,36.987608671188354
Cory_2013-6-27_sc114_16,245,yes/no,Did the bride and groom like their wedding?,The bride and groom liked their wedding.,This is the first time that the mother and father have the second time in the first time.,2.060945056294176,1.8370552604518287,-0.22388979584234714,31.926631927490234
Cory_2013-6-27_sc112_17,246,yes/no,Did the family adopt small puppies?,The family adopted small puppies.,Elephants,2.2458728045846024,1.634488321183359,-0.6113844834012434,14.172632992267609
Jonathan_2012-11-27_sc90_12,247,yes/no,Did the family adopt the puppies?,The family adopted the puppies.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.1589310276595985,1.4217100470559672,-0.7372209806036314,36.23627424240112
Cory_2013-6-27_sc112_17,248,yes/no,Did the family adopt the small puppies?,The family adopted the small puppies.,"For example, there are many different types of things like this.",1.9187924973666668,1.3879102759651447,-0.5308822214015221,28.667551279067993
Cory_2013-6-27_sc112_17,249,yes/no,Did the friends dye their whole heads together?,The friends dyed their whole heads together.,Long crash,1.9470540501642972,1.5353898373742898,-0.4116642127900074,9.416583180427551
Cory_2013-6-27_sc112_17,250,yes/no,Did the friends go camping?,The friends went camping.,Campus,2.65157027037016,1.9957436787394376,-0.6558265916307224,4.195386171340942
Cory_2013-6-27_sc112_17,251,yes/no,Did the friends go out together?,The friends went out together.,Charlottesville,1.678132948776086,1.3223151223313423,-0.3558178264447438,10.923811048269272
Cory_2013-6-27_sc114_16,252,yes/no,Did the group of friends arrive at the movie theater?,The group of friends arrived at the movie theater.,Large properties of history,1.630593356365959,1.313971993896891,-0.3166213624690679,9.026528894901276
Jonathan_2012-11-27_sc90_12,253,yes/no,Did the kid play at the park?,The kid played at the park.,"The first thing that you can do is you can talk about the name of the person who is deaf, deafblind, or hard of hearing.",2.001656528065602,1.644422410055995,-0.357234118009607,29.786479473114014
Jonathan_2012-11-27_sc90_12,254,yes/no,Did the kids play at the park?,The kids played at the park.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.9901056794389602,1.6544552752426986,-0.3356504041962616,39.77830410003662
Cory_2013-6-27_sc112_17,255,yes/no,Did the roommates go out together?,The roommates went out together.,Computers,1.8752853968313763,1.4877091452027813,-0.387576251628595,2.9011383652687073
Jonathan_2012-11-27_sc96_17,256,yes/no,Did the students actually obey and listen to the teacher?,The students actually obeyed and listened to the teacher.,The language is successful.,1.3624855843854362,1.1002037352400607,-0.26228184914537556,25.662678480148315
Cory_2013-6-27_sc114_16,257,yes/no,Did the students really listen to the teacher?,The students really listened to the teacher.,Presenter,1.3828827715776069,1.1961762827303675,-0.1867064888472394,7.4569568037986755
Cory_2013-6-27_sc114_16,258,yes/no,Did the teacher clean the classroom?,The teacher cleaned the classroom.,Captioned by aslcaptions,1.7022501035920672,1.3116030265178,-0.39064707707426716,16.530653834342957
Jonathan_2012-11-27_sc90_12,259,yes/no,Did those friends go camping?,Those friends went camping.,The first thing I want to share with you is that the first thing I want to share with you is that I want to share with you all about the future of the future.,2.7098314739763736,2.0501769300816313,-0.6596545438947423,33.51513743400574
Cory_2013-6-27_sc107_19,260,yes/no,Did those girls arrive on time?,Those girls arrived on time.,Arrival,2.092102833557874,1.3824212955760544,-0.7096815379818195,20.412874221801758
Cory_2013-6-27_sc114_16,261,yes/no,Did you already move to San Diego?,You already moved to San Diego.,The fingers move away from the canal.,1.7886221521667072,1.344382546376437,-0.4442396057902702,19.326597452163696
Cory_2013-6-27_sc114_16,262,yes/no,Did you buy a book?,You bought a book.,This is the second part of the book.,2.437111295759678,2.114049126835246,-0.32306216892443196,37.382179498672485
Cory_2013-6-27_sc113_13,263,yes/no,Did you graduate high school?,You graduated high school.,Witnesses,1.5433429948985578,1.1534939502124433,-0.3898490446861145,6.768515706062317
Jonathan_2012-11-27_sc98_14,264,yes/no,Did you not pass out?,You did not pass out.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.4767488574778493,1.7098192552273923,-0.766929602250457,40.40960669517517
Cory_2013-6-27_sc107_19,265,yes/no,Did you take an introduction to linguistics class?,You took an introduction to linguistics class.,The first thing that you can do is you can do is you can do this is you can use the sign for the second time in the second time.,1.651401075735396,1.3573604488467916,-0.29404062688860444,30.849716067314148
Jonathan_2012-11-27_sc94_17,266,yes/no,Did your friend drive?,Your friend drove.,This is the sign for the first time in the first time.,2.3542194609408793,2.589834220315281,0.23561475937440157,25.50540864467621
Jonathan_2012-11-27_sc96_17,267,yes/no,Did your friends watch a movie at the theater?,Your friends watched a movie at the theater.,There are two different meanings for the world.,1.7672918983437913,1.4019571041067442,-0.36533479423704707,32.94469118118286
Cory_2013-6-27_sc114_16,268,yes/no,Do I look good in this plaid shirt?,I looked good in this plaid shirt.,Congregations,2.604303624274002,1.7830785014799664,-0.8212251227940357,1.506228744983673
Jonathan_2012-11-27_sc96_17,269,yes/no,Do the bride and groom like their wedding?,The bride and groom liked their wedding.,The first thing that I want to share with you is that there are a lot of people who are deaf and hard of hearing.,2.046723157340704,1.841190630797206,-0.20553252654349818,28.158682584762573
Cory_2013-6-27_sc107_19,270,yes/no,Do you all agree?,You all agreed.,This is the first time that we are going to take the care of our community.,2.0103896032604904,2.0927506806328893,0.08236107737239884,25.843340158462524
Cory_2013-6-27_sc114_16,271,yes/no,Do you commute to work by bike?,You commuted to work by bike.,History,2.343217939021997,2.1038566899796325,-0.23936124904236467,6.406198441982269
Cory_2013-6-27_sc114_16,272,yes/no,Do you enjoy talking with them two?,You enjoyed talking with them two.,My name is Martin Luther King.,1.7170283794403076,1.5672623280967986,-0.14976605134350907,25.98816454410553
Rachel_2012-01-27_sc56_9,273,yes/no,Do you have class tomorrow?,You have class tomorrow.,This is the sign for captioning.,2.01619511084365,1.907683982849121,-0.108511127994529,16.18427336215973
