video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc107_19,1006,numbers,Demi Moore's first husband was Bruce Willis.,Demi Moore's second husband was Bruce Willis.,Demimore's first husband is Bucceria.,1.3566246517002583,1.4445349822711686,0.08791033057091036,43.18106174468994
Cory_2013-6-27_sc107_19,1007,numbers,The movie starts at 7.,The movie starts at 8,The movie started at 7:00 PM.,1.2586163910834685,1.278007640757344,0.01939124967387551,77.13533639907837
Cory_2013-6-27_sc107_19,1008,numbers,"When you get the book, read chapter two.","When you get the book, read chapter three.",He finally received two books.,1.2565325350477927,1.334377283880184,0.07784474883239123,47.38196134567261
Cory_2013-6-27_sc107_19,1009,numbers,Do you think Obama will be elected again for his second term as president?,Do you think Obama will be elected again for his third term as president?,Capital Colombia was the second president.,0.9673906592528025,1.0356086555465653,0.0682179962937628,16.939419507980347
Jonathan_2012-11-27_sc95_15,1010,numbers,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.","Last night, I played a close game of basketball with my friend. The score was 30-29 when it ended.","Last night, I played with my friends and I went to the game and last night I was 50 years old.",1.1394235090249114,1.1675822559104423,0.028158746885530883,45.30043005943298
Cory_2013-6-27_sc107_19,1011,numbers,Wow! That watch costs three thousand dollars!,Wow! That watch costs two thousand dollars!,"English costs $3,000.",1.286649967422304,1.3492405627938835,0.06259059537157952,30.592137575149536
Rachel_2011-12-08_sc44_15,1012,numbers,"""There's no homework for History class right?"" ""No, we have homework, We have to write a three page paper.""","""There's no homework for History class right?"" ""No, we have homework, We have to write a four page paper.""",He did not have any homework and he had to write a two-page document.,1.2199749451613537,1.2198265887727247,-0.0001483563886290895,54.516226053237915
Rachel_2012-02-14_sc66_27,1013,numbers,There is one interesting study. What the study did they grouped people together and have them watch a video clip of car accident.,There are two interesting studies. What the studies did they grouped people together and have them watch a video clip of car accident.,The dream shows that an interesting study is to see the three-hour vehicle crash.,1.1703369644112311,1.190076957422274,0.0197399930110429,46.03968262672424
Rachel_2012-02-14_sc66_27,1014,numbers,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or five different words/groups.,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or six different words/groups.,"The word ""hin"" is the word ""smashed"" and ""follided"" and ""followed"".",1.3001877044805803,1.2911559566602009,-0.00903174782037941,31.64229393005371
Rachel_2012-02-14_sc66_27,1015,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty to forty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,"It is only a vocabulary that shows how languages are used, and they will respond to their agreements.",1.2027867153046592,1.2026503016180419,-0.00013641368661732045,39.978086948394775
Rachel_2012-02-14_sc66_27,1016,numbers,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".","The second thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".","The doctor often apologized with his father and published the second word, ""I apologize that I have been negative to his deaf child.""",1.0539720468223095,1.0860045788515555,0.03203253202924605,45.99162936210632
Rachel_2012-02-14_sc66_27,1017,numbers,"The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are seven specialists for only two parents. Wow.","The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are eight specialists for only two parents. Wow.","The professionals and other filmmakers, nurses, and nurses influenced the social work of the four farmers.",1.01159840738891,1.0057783853507747,-0.005820022038135253,36.363816261291504
Rachel_2012-02-14_sc66_27,1018,numbers,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".","It is very intimidating. There will be six professionals informing the two parents that their child seem to be sick or have the ""cancer"".",It is a very rivary report that it appears to be sick and cancer.,1.070296753384173,1.1040638825869646,0.03376712920279168,46.86640501022339
Rachel_2012-02-14_sc66_27,1019,numbers,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".","It is very intimidating. There will be seven professionals informing the one parent that their child seem to be sick or have the ""cancer"".",It is a very rivary report that it appears to be sick and cancer.,1.070296753384173,1.1137558449354532,0.04345909155128025,46.86640501022339
Rachel_2012-02-14_sc66_27,1020,numbers,"It seems that parents must choose one between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options.","It seems that parents must choose two between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options.","It appears that they have to choose from Hawaii, Cochlear Implants, Cued Speech, and Cued Speech.",0.8484684738109438,0.8670401467586593,0.018571672947715445,45.86329460144043
Rachel_2012-02-14_sc66_27,1021,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty-five to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,"It is only a vocabulary that shows how languages are used, and they will respond to their agreements.",1.2027867153046592,1.1906032250495628,-0.012183490255096352,39.978086948394775
Rachel_2012-02-14_sc66_27,1022,numbers,"The car was going around 20 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all.","The car was going around 30 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all.","When he went to the drive-through, MassHe said, ""Yes, there was a break in the hearing world, but the car was not broken.""",1.1779512780171537,1.1819733796572243,0.004022101640070552,31.88197612762451
Rachel_2012-02-14_sc66_27,1023,numbers,That makes it to seem like an opportunity to do more than one.,That makes it to seem like an opportunity to do more than two.,It seems like the permission to grow up under one.,0.8336787589840473,0.8655101800603526,0.03183142107630532,39.986348152160645
Rachel_2012-02-14_sc66_27,1024,numbers,The researches have proven that a child with a Deaf mentor often perform better. There is a research that studies two groups from Utah and Tennessee.,The researches have proven that a child with a Deaf mentor often perform better. There is a research that studies three groups from Utah and Tennessee.,Often researchers found that the risk of perceiving an elderly child has been studied by two groups: Utah and Iron.,0.9733437336732944,0.9940401668366241,0.020696433163329697,36.37306094169617
Rachel_2012-02-14_sc66_27,1025,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty to thirty-five MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,"It is only a vocabulary that shows how languages are used, and they will respond to their agreements.",1.2027867153046592,1.2164476844714955,0.013660969166836345,39.978086948394775
Rachel_2011-12-08_sc45_13,1026,numbers,Does the party tonight start at 8 or 9?,Does the party tonight start at 8 or 8:30?,The party will begin at 8:00 pm to 8:00 pm.,1.916172946896404,1.9316552226799866,0.015482275783582633,63.15695643424988
Rachel_2012-02-14_sc66_27,1027,numbers,"Except for Utah group, the child had a Deaf mentor, while the group from Tennessee did not.","Except for Utah group, the child had two Deaf mentors, while the group from Tennessee did not.",Special information about the tash is added to the Deaf mentor and the DIS clearly.,1.2464762821631588,1.2929134569670024,0.046437174803843684,35.780829191207886
Rachel_2012-02-14_sc66_27,1028,numbers,"There are two groups with same guidelines. One group has Deaf professionals being involved, while another group did not.","There are three groups with same guidelines. One group has Deaf professionals being involved, while another group did not.",There are several different groups of deaf people involved.,0.9550544446842237,0.9583155338357134,0.0032610891514897045,54.478299617767334
Cory_2013-6-27_sc113_13,1029,numbers,My friends got together and planned to surprise Bob for his 21st.,My friends got together and planned to surprise Bob for his 31st.,The friends of the plan woke up in the class because he was three years old.,1.147397330030799,1.1457329712469468,-0.0016643587838520713,39.87853527069092
