video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,Foxes can take the fire.,1.5821093660261896,1.9445735613505046,0.36246419532431506,32.70304203033447
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,"Okay, the boy was made and waited for the benefits of the boy.",1.570890764395396,1.8555888830235712,0.2846981186281752,40.944600105285645
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,The Ben Fire is the opinion that the body movement is difficult to move.,1.869925714780887,2.1619301204336807,0.29200440565279373,34.72999930381775
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?","Although the president has been talking with the responders,",0.8174877575288216,0.9206902267411351,0.10320246921231346,46.12451195716858
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,The man left together.,1.1613357038133674,1.468894763616845,0.30755905980347764,60.47385334968567
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?","Also, we said before observing the impact of the advancement and observation of something wrong with the website, we need a lot of voice about the standards.",1.285041697804005,1.2824475614179391,-0.0025941363860657596,40.89614152908325
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,"Now that the bad weather is out of the business, the business is confusing.",1.4940439971113526,1.655394360050559,0.16135036293920635,40.84751605987549
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,Bad weather is going to be going to Brown.,1.1472894213113345,1.7511067894336425,0.603817368122308,53.07108163833618
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,Bernie Rebecca is the level of ASL.,1.966250050580129,2.0082951821386814,0.042045131558552384,21.507205069065094
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,Barman mentioned about the theory of interpreters as well as the distance between the climate distance.,1.4432059408227602,1.7801950591338145,0.33698911831105427,35.38756966590881
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,The lap is offered by the barriers that are separated from the back and forth to the back of the back and forth to the back of the back and forth.,1.24333768870823,1.2862911883419679,0.04295349963373796,33.06070566177368
