video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,"Not those who are voiced, they can hear that they are confused.",1.1888346470187645,1.2518478032402895,0.06301315622152504,35.55830121040344
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...","It is not a quiet voice, but a specific thing to say is that I have a basic assumption.",0.9473926186885523,1.0245755713352624,0.07718295264671016,46.36147618293762
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",The worst is the voice of the voice of the voice.,1.2374326888720195,1.2073526844382285,-0.030080004433790997,37.758684158325195
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,I have to ask you to describe where it is.,1.5458001382648945,1.6599651849405332,0.11416504667563876,53.07804346084595
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,Sensitive conversations with the thressica and density,1.3283866009928964,1.4380536998537454,0.10966709886084902,36.29850745201111
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,Clothing on style,1.5230545246553036,1.6427377292822147,0.11968320462691118,38.44503164291382
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,Where is your clothing clothing?,1.2191641804762186,1.394005850153534,0.1748416696773154,39.926132559776306
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,When did he arrive home?,1.2410092163702537,1.36053408762174,0.11952487125148625,75.28204321861267
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,Father arrived home and when he arrived.,1.3834036706850446,1.4060981023524488,0.022694431667404258,52.95310616493225
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,"John lived last year in Louisville, California.",1.4164730393357816,1.396909914782335,-0.019563124553446665,61.034148931503296
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,Mary is buying a car and when is it?,1.45733888198932,1.3212983651229968,-0.13604051686632324,52.80468463897705
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,What are your friends doing?,1.3163440398251016,1.6535463906500651,0.3372023508249635,69.04847025871277
