video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,This is the first time that we were able to communicate with others.,2.8031460513119346,2.679820165534814,-0.12332588577712045,23.36680442094803
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,This is the first time that we were able to communicate with each other.,2.995235120670663,2.790117297321558,-0.2051178233491049,26.264765858650208
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,The first thing I want to share with you is that I want to share with you some of your family members.,3.148199169958631,2.744975975475141,-0.4032231944834903,25.632810592651367
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,That's what I want to say.,1.4624218188308098,1.488191212428377,0.025769393597567136,23.641696572303772
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,The world is with the man and the world.,0.9767587443211061,0.9825957050992989,0.005836960778192846,29.908853769302368
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,Anything...,1.524429355848294,1.452530554744979,-0.07189880110331504,11.51333600282669
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.","In the past, there were so many people in the United States that were loved by adolescents.",1.4785403123453316,1.4748631776533883,-0.0036771346919433068,30.46135902404785
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.",Love...,1.4632285786171755,1.4494864350999705,-0.01374214351720493,10.923288762569427
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,God shows us...,1.8619959442703813,1.7257740376251085,-0.13622190664527278,16.15241914987564
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,The first thing I want to share with you is that I want to share with you all about the next time.,1.6127035827799276,1.6198312761634588,0.007127693383531142,27.829790115356445
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,This is what I want to say about the world.,1.1505427234418069,1.1928849597968678,0.04234223635506096,36.897069215774536
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",I want to tell you about your story and your dreams.,1.2987102757039837,1.2773825349725878,-0.021327740731395872,36.2493634223938
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",This is the first time in the world that we are going to learn the signs for the world.,1.4448001383950835,1.4569863899804578,0.012186251585374341,25.338715314865112
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,You can see that there is a lot of things in the world.,1.7949830592685454,1.805865014437586,0.010881955169040669,33.49111080169678
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,This is my sign name.,1.7677508210763335,1.7500728831077232,-0.01767793796861028,18.68205964565277
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,When God saved his life,1.7501642427345117,1.702084630727768,-0.04807961200674371,8.027733117341995
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",When you were back there...,1.24488380617356,1.3121042958505096,0.06722048967694949,13.666392862796783
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,I believe in God's rescue.,1.3494992374132078,1.321167249583973,-0.02833198782923474,25.559106469154358
8-Ben-Control-of-sound-places_12,122,negation-reversed,"Bill Ennis told a great story about ""bubbles"".","Bill Ennis didn't tell a great story about ""bubbles"".",The first thing that I want to share with you is that I want to share with you all about the years.,1.9338336560003302,1.7753721182407052,-0.15846153775962502,27.57439911365509
Cory_2013-6-27_sc114_16,123,negation-reversed,Bob frequently gives his sweetheart roses.,Bob doesn't frequently give his sweetheart roses.,You can see that there is a lot of people in the world.,1.7662045359611511,1.6028385658562183,-0.1633659701049328,25.170043110847473
Cory_2013-6-27_sc114_16,124,negation-reversed,Bob gave a rose to his wife because it's their anniversary today.,Bob didn't give a rose to his wife because it's not their anniversary today.,I want to tell you about the festival.,1.359544147539771,1.3273333638132392,-0.032210783726531744,30.68249821662903
Jonathan_2012-11-27_sc96_17,125,negation-reversed,Bob gave roses to his girlfriend.,Bob didn't give roses to his girlfriend.,This is the first time that you're going to be able to communicate with each other.,1.5385043718578184,1.449799259988273,-0.08870511186954544,24.718651175498962
Jonathan_2012-11-27_sc96_17,126,negation-reversed,Bob goes to the post office.,Bob doesn't go to the post office.,It's strange.,1.4847746735502934,1.3063880970435484,-0.17838657650674494,21.736866235733032
Jonathan_2012-11-27_sc96_17,127,negation-reversed,Bob has a big dog.,Bob doesn't have a big dog.,That's what I'm saying.,2.171349696815014,1.6504552895203233,-0.5208944072946906,20.263049006462097
Jonathan_2012-11-27_sc97_19,128,negation-reversed,Bob hates reading books.,Bob doesn't hate reading books.,Thank you for an amazing time!,2.3618920654058457,1.8268793423194438,-0.5350127230864019,23.496994376182556
Jonathan_2012-11-27_sc96_17,129,negation-reversed,Bob needs to go to the post office because he needs stamps.,Bob doesn't need to go to the post office because he doesn't need stamps.,The first thing I want to share with you is that I want to share with you.,1.2401994155098994,1.112885157049105,-0.12731425846079447,32.37479627132416
Cory_2013-6-27_sc114_16,130,negation-reversed,Bob needs to go to the post office to buy stamps.,Bob doesn't need to go to the post office to buy stamps.,I believe that.,1.4284109012782573,1.33902851727448,-0.0893823840037773,19.32341754436493
Cory_2013-6-27_sc114_16,131,negation-reversed,Bob read a book.,Bob didn't read a book.,For the last five years.,2.312099251677008,1.8908579118239384,-0.42124133985306966,17.718735337257385
Jonathan_2012-11-27_sc96_17,132,negation-reversed,Bob read a book.,Bob didn't read a book.,I love you.,2.2474205024978695,1.8117834410319726,-0.43563706146589687,22.91513979434967
Cory_2013-6-27_sc114_16,133,negation-reversed,Bob sent a letter.,Bob didn't send a letter.,This is my sign name.,2.00388348533919,1.7045585854122272,-0.29932489992696265,19.262157380580902
Cory_2013-6-27_sc114_16,134,negation-reversed,Bob went to the post office.,Bob didn't go to the post office.,This is my sign name.,1.2999670395049556,1.3240423688993734,0.02407532939441781,19.218674302101135
Rachel_2012-01-27_sc52_11,135,negation-reversed,Bob works at the bike store.,Bob doesn't work at the bike store.,Why do you love me?,1.8340209365404885,1.698136896101965,-0.13588404043852353,19.558250904083252
Cory_2013-6-27_sc107_19,136,negation-reversed,Boston is a great city.,Boston isn't a great city.,Thank you for your support.,1.7247954541817307,1.7446611645045105,0.019865710322779728,29.97930645942688
7-Ben-Social-Msg_7,137,negation-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Both of these cases don't basically involve the range of cultural acceptance for making noise.,Save your love,1.3127880433804533,1.231396633857175,-0.08139140952327839,9.413489699363708
2-Ben-Voice-Identity_15,138,negation-reversed,but the interpreter is speaking with a very high pitched voice.,but the interpreter isn't speaking with a very high pitched voice.,I showed you growing up...,1.3983612549491227,1.4308625615354795,0.03250130658635686,8.310534805059433
Rachel_2012-01-27_sc51_11,139,negation-reversed,"Cousin John's car broke down, do you remember?","Cousin John's car didn't break down, do you remember?",God is the only one who calls you.,1.6865743569078597,1.7033658588512077,0.016791501943347997,17.115789651870728
Rachel_2012-01-27_sc50_10,140,negation-reversed,Dad is like me. He likes chocolate cereal.,Dad is not like me. He likes chocolate cereal.,God I love...,1.7732534666740618,1.6089000747083348,-0.16435339196572696,23.16550314426422
Cory_2013-6-27_sc110_14,141,negation-reversed,"Dad likes chocolate cereal, like me.","Dad doesn't like chocolate cereal, like me.",I love him.,1.843179179607211,1.7034863111647693,-0.13969286844244166,29.81817126274109
Rachel_2012-01-27_sc50_10,142,negation-reversed,Dad likes chocolate cereal.,Dad doesn't like chocolate cereal.,God loves us.,1.9843716210286533,1.693601199558803,-0.2907704214698503,22.538697719573975
Cory_2013-6-27_sc107_19,143,negation-reversed,Demi Moore's first husband was Bruce Willis.,Demi Moore's first husband wasn't Bruce Willis.,He is a believer.,2.012654831426011,2.0720823539886624,0.05942752256265127,18.38715374469757
5-Ben-Deaf-Grunts_19,144,negation-reversed,"Each time they hit the ball, the players grunt, it happens often throughout the game.","Each time they don't hit the ball, the players grunt, it happens often throughout the game.",He saved his life from the world.,1.3686503089617852,1.338350248887487,-0.030300060074298196,18.615922331809998
4-Ben-Deaf-Speech_19,145,negation-reversed,Even when Deaf people are working or involved with business tasks.,Even when Deaf people are not working or involved with business tasks.,I believe in you.,1.2270242406138734,1.2050677938780314,-0.02195644673584196,20.791956782341003
Rachel_2012-02-14_sc63_13,146,negation-reversed,Everyone knows that John left to drive to Maine.,Everyone doesn't know that John left to drive to Maine.,With God...,1.7171924803025869,1.6017539139304842,-0.1154385663721027,14.619816839694977
Jonathan_2012-11-27_sc90_12,147,negation-reversed,Father arrived home late at night.,Father didn't arrive home late at night.,I believe in you.,1.7329448976687023,1.6079378096250498,-0.12500708804365246,13.32855373620987
Jonathan_2012-11-27_sc96_17,148,negation-reversed,Father is currently mowing the lawn.,Father isn't currently mowing the lawn.,What is your father looking for?,1.6530689122910436,1.7249912858940661,0.07192237360302256,38.136088848114014
Cory_2013-6-27_sc114_16,149,negation-reversed,Father is mowing the grass.,Father isn't mowing the grass.,This is God's sign name.,1.9153156692960434,1.9089937562183026,-0.006321913077740771,24.469801783561707
4-Ben-Deaf-Speech_19,150,negation-reversed,"First, nasal, second, high pitch, and third, loud. Deaf speech tends to have these same 3 irritating characteristics.","First, nasal, second, high pitch, and third, loud. Deaf speech doesn't tend to have these same 3 irritating characteristics.",You can see that you are the only deaf person in the world.,1.5594151766055215,1.5443950388133525,-0.015020137792169042,30.384671688079834
5-Ben-Deaf-Grunts_19,151,negation-reversed,For example Howard Dean ran for President as a Democrat candidate in the 2004 Iowa Caucus.,For example Howard Dean didn't run for President as a Democrat candidate in the 2004 Iowa Caucus.,The most announcement is the God of the love.,1.5694323051925545,1.5627260520217978,-0.006706253170756682,15.451070666313171
5-Ben-Deaf-Grunts_19,152,negation-reversed,"For example, Bauhman shared his locker room experience.","For example, Bauhman didn't share his locker room experience.",That's beautiful...,1.641492823205356,1.6222912348927028,-0.019201588312653284,9.343776106834412
