video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.",There is a lot of different things that we can see.,1.2126557728299847,1.2086047008633614,-0.004051071966623354,35.86042523384094
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.",They wrote two wrong words and they were removed.,1.2148236083014616,1.2424696757816351,0.02764606748017351,42.9560124874115
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,How do I feel interested in this?,1.208943912908435,1.2109753029564252,0.0020313900479902447,42.31069087982178
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.",I don't think he plans to come and I don't think he would call him.,0.8810227361943903,0.8543323905747614,-0.026690345619628908,62.741756439208984
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.","I'm feeling like if I'm studying it in, I'm fine.",1.2769332813213066,1.4428255588692778,0.1658922775479712,42.92803406715393
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,I'm thrilled to see a friend tomorrow.,0.7620110479183495,0.6369530321657657,-0.1250580157525838,79.34448719024658
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.",If your friends gather together and sat down with me.,1.2798433709340018,1.3345671115177018,0.0547237405837,50.584250688552856
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.","If you got to a very strange situation,",0.8744849007772771,0.8899574048690877,0.015472504091810557,44.64649558067322
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.",Facebook has to take over a big dog and you have to accept it.,1.1291007423109707,1.2271593601934696,0.09805861788249892,38.22551965713501
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.",What do you want to do in Florida?,1.0577377336742604,1.110232866231514,0.052495132557253577,23.342180252075195
Jonathan_2012-11-27_sc97_19,811,conditional,"If Bob goes to the post office, I will give him all of my mail so he can drop it off.","When Bob goes to the post office, I will give him all of my mail so he can drop it off.","If you were to go to the home, I would send it to my letter, why could you type it?",1.190909540583921,1.2595611598596654,0.06865161927574448,38.781189918518066
Cory_2013-6-27_sc115_17,812,conditional,"If Bob goes to the post office, I will give him my letters to drop off.","When Bob goes to the post office, I will give him my letters to drop off.","If you were to go to high school, I would take the opportunity to give them an opportunity to recognize that they were off for me.",1.1921610275490417,1.3105015361530554,0.11834050860401368,36.37078404426575
Jonathan_2012-11-27_sc92_13,813,conditional,"If Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.","When Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.",ICP Bob successfully announced that we must watch the bonfire and make sure that we continue.,1.099853827882754,1.171350626486171,0.07149679860341696,51.16782784461975
Cory_2013-6-27_sc112_17,814,conditional,"If Bob is successful with the fire, I will have to watch it.","When Bob is successful with the fire, I will have to watch it.","If it was finally successful, it would be a fire that I had to watch.",0.911310583963746,1.0366413285807958,0.12533074461704985,53.6706268787384
Cory_2013-6-27_sc115_17,815,conditional,"If Bob sends his resume, he is guaranteed the job.","When Bob sends his resume, he is guaranteed the job.","If you graduate and send your resume, you get a few.",1.423780721411401,1.5664581141241316,0.1426773927127305,43.666112422943115
Jonathan_2012-11-27_sc97_19,816,conditional,"If Bob sends his resume, he will get the job.","When Bob sends his resume, he will get the job.","And if you get the resume, you will get it.",1.3503784565659969,1.4518566654684644,0.1014782089024675,52.50213146209717
Cory_2013-6-27_sc115_17,817,conditional,"If Bob studies for his literature test, he will pass it for sure.","When Bob studies for his literature test, he will pass it for sure.","If you actually studied 30 tests, you would pass.",1.2779966215179726,1.3891893449403785,0.11119272342240594,41.76087975502014
Jonathan_2012-11-27_sc97_19,818,conditional,"If Bob studies literature, he will pass his final exam.","When Bob studies literature, he will pass his final exam.",The club will be running for a hao.,1.496912311163864,1.5516159654562842,0.05470365429242019,27.067652344703674
Jonathan_2012-11-27_sc97_19,819,conditional,"If clothes are on sale, my friends and I are definitely going to the mall.","When clothes are on sale, my friends and I are definitely going to the mall.","After that, SAV graduated from there and went to the campus.",1.329910358140866,1.3192990310973935,-0.010611327043472452,33.602672815322876
Cory_2013-6-27_sc115_17,820,conditional,"If clothes are on sale, my friends and I will go over to the mall.","When clothes are on sale, my friends and I will go over to the mall.",I wear a passal and I am a friend of the iceland.,1.139858942756902,1.169514241695836,0.029655298938934038,34.42836403846741
Cory_2013-6-27_sc112_17,821,conditional,"If dad arrives home late, he won't know we aren't there.","When dad arrives home late, he won't know we aren't there.","If you arrive home at night, you don't know, I'm not here.",1.799598549803098,1.819423680904053,0.019825131100954962,58.108049631118774
Jonathan_2012-11-27_sc92_13,822,conditional,If dad doesn't get home too late then he can help us with our homework.,When dad doesn't get home too late then he can help us with our homework.,"That doesn't stop me, I know that toels can help me with our own uniqueness.",1.0266527581649523,1.1644917343415924,0.1378389761766401,33.84296894073486
