video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,Jen and Yoe are married?,2.092905356884003,1.220981850773096,-0.8719235061109067,74.79703426361084
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,Clothes are all on the left side.,1.9282552140951157,1.430850874632597,-0.4974043394625187,41.947102546691895
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,Clothes on sales are actually clothed.,1.3765604419168085,1.0014931374462321,-0.37506730447057635,42.39693284034729
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,The first thing that we were going to do was we were going to take the first time to go out.,1.5257734239653304,1.1721007788070925,-0.35367264515823793,39.68130946159363
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,The kids are currently parked.,1.4648158179924768,0.9828787106363213,-0.4819371073561556,42.95256733894348
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,Agriculture is the only horse in the farm.,1.1667065083029422,1.09635295682564,-0.07035355147730216,35.65410077571869
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,Tomorrow will be a beautiful university interpreter.,1.2195252751788268,0.9213469097963892,-0.2981783653824376,43.48310828208923
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,He will go to school tomorrow.,1.2077184056534487,0.5837300193002996,-0.6239883863531491,64.71605896949768
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,Do you go to a party next week?,1.17054832305171,0.6399015549962458,-0.5306467680554642,83.69168639183044
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,Are you watching football games?,1.0442649224359128,0.7420123856928613,-0.3022525367430515,85.3775680065155
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,The Bartick Ebaca is a 10-year-old person.,2.210708537035518,1.8975698580034077,-0.31313867903211046,27.644050121307373
