video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,And that's until I speak half.,1.2034905539109158,1.2493310002205165,0.04584044630960071,29.445505142211914
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""","Firefighters live in the home, right? North Carolina lives in the smaller 11th century.",1.2994374333856962,1.3416335677987412,0.04219613441304504,30.96851110458374
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,The Ben Fire is the opinion that the body movement is difficult to move.,1.869925150523583,1.7689089485659049,-0.10101620195767813,34.72999930381775
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.","The reactor is always wondering if the minority of the person is speaking, the minority of the person is speaking.",1.1621582252101614,1.03073084009987,-0.1314273851102914,31.494450569152832
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.",The man asked him to see what he wanted to do.,1.378136133271105,1.368196960811208,-0.009939172459897172,33.761441707611084
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After the workout, after the workout completed, the location of the location was replaced, the location of the location was replaced by the location of the location of the location and the location of the location of the location of the location, the location of the location of the location of the location of the location of the location was the smallest person who heard the smallest person in the smallest person and the smallest person in the smallest person was the smallest person in the smallest person and the smallest person in the smallest person and the smallest person in the smallest person in the smallest person and the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the person in the person and the person in the person and the person in the person in the person in the person in the person in the person in the person in the person in the person in the person in the person).",1.1434965766462926,1.1907154169272294,0.047218840280936814,36.03951930999756
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.","After the workout, after the workout completed, the location of the location was replaced, the location of the location was replaced by the location of the location of the location and the location of the location of the location of the location, the location of the location of the location of the location of the location of the location was the smallest person who heard the smallest person in the smallest person and the smallest person in the smallest person was the smallest person in the smallest person and the smallest person in the smallest person and the smallest person in the smallest person in the smallest person and the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the person in the person and the person in the person and the person in the person in the person in the person in the person in the person in the person in the person in the person in the person in the person).",1.1434965766462926,1.1102812552807835,-0.03321532136550909,36.03951930999756
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.","After the workout, after the workout completed, the location of the location was replaced, the location of the location was replaced by the location of the location of the location and the location of the location of the location of the location, the location of the location of the location of the location of the location of the location was the smallest person who heard the smallest person in the smallest person and the smallest person in the smallest person was the smallest person in the smallest person and the smallest person in the smallest person and the smallest person in the smallest person in the smallest person and the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the smallest person, and the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the smallest person in the person in the person and the person in the person and the person in the person in the person in the person in the person in the person in the person in the person in the person in the person in the person).",1.1434965766462926,1.1299420922390513,-0.013554484407241274,36.03951930999756
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.",The app is not actually available because the airport is only available because the airport is stuck because the brown flags are only available.,0.949835095659528,1.0482778081236637,0.09844271246413572,30.122017860412598
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,Almost all deaf people are voicing and under the United States.,1.4628074695779518,1.3454685245195162,-0.11733894505843567,43.58695149421692
8-Ben-Control-of-sound-places_12,1135,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate kernels of popcorn pretty slowly.",You can go to the paper and then you can go to the temperature and then you can go to the top of the restaurant and then you can go to the top of the restaurant and then you can go to the top of the restaurant and then you can change it into the color of the sugar.,1.4118908874013207,1.3455045198683033,-0.06638636753301741,29.02933955192566
8-Ben-Control-of-sound-places_12,1136,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he dropped kernels of popcorn pretty loudly.",You can go to the paper and then you can go to the temperature and then you can go to the top of the restaurant and then you can go to the top of the restaurant and then you can go to the top of the restaurant and then you can change it into the color of the sugar.,1.4118908874013207,1.4196436322982544,0.007752744896933672,29.02933955192566
Jonathan_2012-11-27_sc90_12,1137,classifiers,Are the friends going out?,Is the friend going out?,"When I was going to go outside, I was going to go outside.",1.442580637142614,1.7285281959176064,0.28594755877499245,37.41647005081177
Jonathan_2012-11-27_sc96_17,1138,classifiers,Are there only horses playing on the farmland?,Are there only horses resting on the farmland?,The farmers were playing their only horses in Australia.,1.314190592379012,1.4193547639123938,0.10516417153338176,41.55431389808655
4-Ben-Deaf-Speech_19,1139,classifiers,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my phone screen, I thought well I'm deaf but that doesn't matter because my phone screen says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","In the history of self-esteem, deaf and hard of hearing people have their own speech, they have a good speech that means that they have a good idea to have equal access to hearing people with disabilities.",1.1737385386116967,1.0934105018015512,-0.08032803681014555,41.188132762908936
Cory_2013-6-27_sc114_16,1140,classifiers,Bad weather is coming to Boston because the city is close to the ocean.,Bad weather is leaving Boston because the city is close to the ocean.,Bad auctions were gathered in Brown Korea in 1919 to Ocean.,1.1017160209206243,1.1443428031568017,0.04262678223617744,30.249226093292236
Jonathan_2012-11-27_sc96_17,1141,classifiers,Bad weather is in Boston because the ocean is near.,Bad weather is over in Boston because the ocean is near.,Bad social interactions in Boston because the October 15th century is a baby.,1.0090348138832128,1.0709780310198926,0.06194321713667983,34.513092041015625
2-Ben-Voice-Identity_15,1142,classifiers,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman mentioned the concept of combining interpreting and ventriloquism.,Barman mentioned about the theory of interpreters as well as the distance between the climate distance.,1.4432061201830706,1.441316318975107,-0.0018898012079635595,35.38756966590881
2-Ben-Voice-Identity_15,1143,classifiers,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman mentioned the concept of separating interpreting and mimicry.,Barman mentioned about the theory of interpreters as well as the distance between the climate distance.,1.4432061201830706,1.345869686562514,-0.09733643362055666,35.38756966590881
3-Ben-Voice-Life_21,1144,classifiers,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman presented the idea that there is a line between the mouth and the ears,",The lap is offered by the barriers that are separated from the back and forth to the back of the back and forth to the back of the back and forth.,1.2433374698120583,1.1237927581879157,-0.1195447116241426,33.06070566177368
Cory_2013-6-27_sc114_16,1145,classifiers,Bob has a big dog because he loves to wrestle with it.,Bob has a big dog because he loves to cuddle with it.,Barbara has a big introduction to one because he loves to break down.,1.150606625594876,1.2400177530944347,0.08941112749955882,34.33938920497894
8-Ben-Control-of-sound-places_12,1146,classifiers,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and if it goes over the spectrum, people would ignore it.",There is a light in the deaf community where the hearing aids are added to the hearing aids and the hearing aids will be recognized.,1.1708104179857612,1.232539852331211,0.06172943434544975,47.913163900375366
8-Ben-Control-of-sound-places_12,1147,classifiers,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people whisper and if it goes under the spectrum, people would notice it.",There is a light in the deaf community where the hearing aids are added to the hearing aids and the hearing aids will be recognized.,1.1708104179857612,1.2183578085107138,0.047547390524952604,47.913163900375366
6-Ben-Control-of-Sound_4,1148,classifiers,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go above or below.,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go in between.,Many people have experienced their experiences with managing the decision in the Arkansas Department of Culture and Expectations for the Deaf and Hard of Hearing community.,1.0296080161199392,1.0193718678184918,-0.010236148301447479,43.889546394348145
Cory_2013-6-27_sc112_17,1149,classifiers,Did mom already walk to the store?,Did mom already drive to the store?,The mother didn't want to call the store.,1.4234669989773205,1.5893394803214405,0.16587248134411992,42.8757905960083
Cory_2013-6-27_sc112_17,1150,classifiers,Did mother already walk to the store?,Did mom already drive to the store?,Mother had already gone to the store.,1.3103206182192815,1.569567027501762,0.25924640928248044,76.83395743370056
Jonathan_2012-11-27_sc90_12,1151,classifiers,Did Mother walk to the store?,Did Mother bike to the store?,Are you already going to go to the store?,1.4772949529190857,1.6597962005684772,0.18250124764939146,47.8020966053009
Cory_2013-6-27_sc112_17,1152,classifiers,Did the family adopt small puppies?,Did the family adopt big puppies?,Families are taking smaller than 11 x.,1.7323551925106182,1.8485796103144394,0.1162244178038212,38.038790225982666
Cory_2013-6-27_sc112_17,1153,classifiers,Did the family adopt the small puppies?,Did the family adopt big puppies?,The two families took over.,1.5549429426901042,1.6877664598252844,0.13282351713518015,38.45906853675842
