video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,Who is the voice of the voice or the voice of the person who is deaf or hard of hearing?,1.2069941744510386,1.287978768751428,0.08098459430038929,39.49211835861206
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...","Deeper than one quarter voice is specifically not, but I do tell that I have not accepted the basic estimates.",1.2114968880255153,1.2841537920155113,0.07265690398999602,38.64845335483551
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.","It is completely completely complete, and it does not have a straight vision of the general service provider.",1.266789513727029,1.1849010295172533,-0.08188848420977579,30.02793788909912
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,"Later, he explained that he was Deaf.",1.8423253781029156,1.8756195947979435,0.033294216695027856,27.88492441177368
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,Sensitiveness was talked with the Sica Hoden.,1.3556278723884712,1.3851506082171743,0.02952273582870313,28.71990203857422
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,Where are the clothes on the air?,1.7250743544390124,1.3117978426403012,-0.41327651179871117,42.0693039894104
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,She threw her clothes out and she threw her clothes.,1.5047954993322492,1.18496340454409,-0.3198320947881592,28.20391058921814
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,The father arrived at home.,1.3186512362083485,1.0582391863156642,-0.2604120498926843,63.29077482223511
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,Father arrived at home.,1.4160240027925064,1.138875162228942,-0.2771488405635645,66.9221818447113
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,Where did he live last year?,1.4162245023875468,1.147527093388911,-0.2686974089986358,78.9871096611023
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,When does the car buy an object?,1.6616158090807773,1.3716403271716375,-0.2899754819091398,34.81551706790924
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,Friends are going to do this.,1.5098848667306204,1.4747966696386752,-0.03508819709194522,53.55916619300842
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,What do you do with your friends?,1.544711794083317,1.4906429415163787,-0.054068852566938386,61.70604228973389
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,Friends and friends were headed together because of the rainfall.,1.196072335789601,1.1131316694948408,-0.08294066629476027,34.57130789756775
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,Where do you buy a car?,1.176387005796035,1.0218059152364731,-0.15458109055956193,82.75136351585388
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,You graduated from high school.,1.0278793754322189,0.7950859169530518,-0.2327934584791671,69.07160878181458
Jonathan_2012-11-27_sc94_17,524,wh-question,When did you graduate high school?,How did you graduate high school?,You graduated from high school.,1.1306335017085076,0.8624553720959846,-0.2681781296125231,69.07160878181458
Cory_2013-6-27_sc115_17,525,wh-question,Why did you pass out last night?,How did you pass out last night?,And why did you fail last night?,1.0660918904750636,0.9382828399538994,-0.1278090505211642,48.01654815673828
Cory_2013-6-27_sc113_13,526,wh-question,Where did you put the tree?,How did you put the tree?,You put the tree in the tree.,1.349338951786714,1.1140499281195493,-0.23528902366716475,51.016539335250854
Jonathan_2012-11-27_sc94_17,527,wh-question,When did your friend start driving?,How did your friend start driving?,Friends started driving the hotel.,1.5363134381671746,1.2572373752083097,-0.2790760629588649,39.240142703056335
Rachel_2012-02-09_sc57_9,528,wh-question,Where do we go if there's an emergency?,How do we go if there's an emergency?,"Okay, okay, beautiful several kinds of things.",1.6763927372172476,1.4639557745111615,-0.21243696270608603,21.099013090133667
Cory_2013-6-27_sc113_13,529,wh-question,When do you finish work?,How do you finish work?,You have worked when?,1.698420897424221,1.1109757449788351,-0.5874451524453859,39.11697864532471
Cory_2013-6-27_sc113_13,530,wh-question,Why do you hate video games?,How do you hate video games?,You don't like to text the light.,1.3536195539194962,1.2104103808002225,-0.14320917311927372,28.991085290908813
Cory_2013-6-27_sc113_13,531,wh-question,Where do you plan to travel?,How do you plan to travel?,You plan to travel where?,1.1957639072989594,0.8291922985679574,-0.36657160873100203,83.18435549736023
Jonathan_2012-11-27_sc98_14,532,wh-question,When do you want the BBQ to be?,How do you want the BBQ to be?,What do you want your app to do?,1.8563896246487275,1.4582707308713467,-0.39811889377738074,30.422011017799377
Jonathan_2012-11-27_sc94_17,533,wh-question,Why do you work all night?,How do you work all night?,Why are you working overnight?,1.0689737497380487,1.0534189804284662,-0.01555476930958255,77.22139358520508
Cory_2013-6-27_sc113_13,534,wh-question,Why do you work all night?,How do you work all night?,Why do you work overnight overnight?,0.9857057843495298,0.9060117770676259,-0.0796940072819039,56.271564960479736
Rachel_2011-12-08_sc45_13,535,wh-question,Why is dad upset? I have no idea...,How is dad upset? I have no idea...,The father pulled his hair out of his hands and pulled him out.,1.7878197328084044,1.7228119507845905,-0.06500778202381396,34.642493724823
Cory_2013-6-27_sc109_21,536,wh-question,Why is father upset?,How is father upset?,And I'm upset because I'm here.,1.9182671748456501,1.8399181692373185,-0.07834900560833158,30.97866177558899
Cory_2013-6-27_sc115_17,537,wh-question,Who is he/she?,How is he/she?,This is the metal.,2.425696362555027,2.5680185238520306,0.14232216129700337,25.235149264335632
Cory_2013-6-27_sc109_21,538,wh-question,Why is Jack nauseated?,How is Jack nauseated?,"And the jeans are going to go up and down, because they are going to go up and down.",2.492199232072934,2.3311696243674858,-0.16102960770544827,27.51789093017578
Jonathan_2012-11-27_sc95_15,539,wh-question,Where is the food store?,How is the food store?,The grocery store comes into the distance.,1.6552882182598114,1.5245940183167872,-0.13069419994302423,45.73889970779419
Cory_2013-6-27_sc113_13,540,wh-question,Where is the grocery store?,How is the grocery store?,Where is the food store?,1.2489662782422133,1.1348120326606126,-0.1141542455816007,74.97732043266296
Cory_2013-6-27_sc107_19,541,wh-question,Why is the teacher upset?,How is the teacher upset?,The teacher was upset because the teacher was happy.,1.2821131884478605,1.2159725979257088,-0.06614059052215171,52.72676944732666
Jonathan_2012-11-27_sc94_17,542,wh-question,Where is the video phone that you want?,How is the video phone that you want?,Where are you or where?,1.3867346119135617,1.2966097759965218,-0.0901248359170399,34.873390197753906
Cory_2013-6-27_sc113_13,543,wh-question,Why is your friend addicted to surfing the internet?,How is your friend addicted to surfing the internet?,What is your friend saying on the Internet?,1.1989658655563615,1.0465134394196969,-0.15245242613666465,42.14242696762085
Jonathan_2012-11-27_sc94_17,544,wh-question,Why is your friend addicted to the Internet?,How is your friend addicted to the Internet?,Why are your friends necklaced on the internet?,1.1421965527037778,0.9817978288564417,-0.1603987238473361,47.79624938964844
Rachel_2012-01-27_sc50_10,545,wh-question,Why isn't there any pineapple cream cheese?,How isn't there any pineapple cream cheese?,There is no light in the movie.,1.3910019041293047,1.4738923605870118,0.0828904564577071,32.105785608291626
Cory_2013-6-27_sc113_13,546,wh-question,What's your job?,How’s your job?,What is your work?,1.3526685290476854,1.6963368811541133,0.3436683521064279,78.30856442451477
Rachel_2012-01-27_sc50_10,547,wh-question,I like chocolate cereal but there isn't any. Why is that?,I like chocolate cereal but there isn't any. How is that?,I like the forensic forensic forensic forensic forensics.,0.9476040943429388,1.025495993037676,0.07789189869473712,20.942795276641846
Cory_2013-6-27_sc111_12,548,wh-question,"If there's an emergency, where will you go?","If there's an emergency, how will you go?","If there is an emergency response, where do you go?",0.9426950882612304,1.1162942717117923,0.1735991834505619,78.45905423164368
Jonathan_2012-11-27_sc98_14,549,wh-question,Mother looks sick? How?,Mother looks sick? Why?,How do you get sick?,2.1884061650683484,2.2948251546670995,0.10641898959875107,37.832680344581604
Cory_2013-6-27_sc109_21,550,wh-question,"No, I'm not scared of heights. What makes you think that?","No, I'm not scared of heights. Who makes you think that?","No, I don't be afraid of the highest and want to make you think of that.",1.0030766948415288,1.09007767071588,0.08700097587435107,55.09399175643921
1-Ben-Introduction_20,551,wh-question,"Now, on a related topic, how do the deaf people's experiences were included in that world?","Now, on a related topic, when do the deaf people's experiences were included in that world?",It is more connected to how Deaf people have experienced in this world.,0.9068679619212072,0.9454304846003652,0.03856252267915794,64.78562951087952
Rachel_2011-12-08_sc45_13,552,wh-question,Someone bought the car. Who was it?,Someone bought the car. When was it?,Someone bought a car with a car.,1.3919711128498118,1.5058659247651294,0.11389481191531758,47.084593772888184
Cory_2013-6-27_sc109_21,553,wh-question,"Someone found my keys, who was it?","Someone found my keys, where was it?",The reason for you to find my impression is because which one you are going to want to do is find you.,1.8227171733975411,1.729136063037692,-0.09358111035984917,36.96925640106201
