video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,The father of the father is also the father of the father.,2.7685699949937836,1.9699035256549164,-0.7986664693388672,30.85210621356964
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,Here are some of the questions you may have.,2.946064763185051,2.444910265781261,-0.5011544974037898,26.158392429351807
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",3.05401819969217,3.204803191125393,0.15078499143322288,31.508389115333557
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?",For the dreams of the world.,1.3903660023584963,1.4891337621336183,0.09876775977512198,23.730355501174927
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,God is far away,1.6533909354496885,2.1138639176497236,0.4604729822000351,19.181089103221893
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?","In the past, there are many different ways to communicate with each other.",1.3932887989006215,1.4041956122091506,0.01090681330852905,28.036335110664368
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,Thank you for watching my video.,1.7728943969752338,1.9049734550528228,0.13207905807758902,29.30060625076294
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.7750218792965538,2.1737319229072645,0.3987100436107107,38.367316126823425
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,Captioned by aslcaptions.com,1.8101467420347035,2.2507313597533436,0.4405846177186401,13.948117196559906
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,The concept of the concept is that the concept of the language is the first time in the world.,1.6216085817913215,2.1126589280154024,0.49105034622408095,29.553258419036865
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,"In the middle of the school, there are many different schools for the deaf and hard of hearing.",1.263339618480281,1.4950882754760024,0.23174865699572145,24.78983849287033
5-Ben-Deaf-Grunts_19,369,yes/no-reversed,Benard Bragg explained his experience in class.,Did Benard Bragg explain his experience in class?,This is the first time that I have been in the course of my cousin.,1.2831203543270628,1.9567545554041863,0.6736342010771235,40.54770469665527
8-Ben-Control-of-sound-places_12,370,yes/no-reversed,"Bill Ennis told a great story about ""bubbles"".","Did Bill Ennis tell a great story about ""bubbles""?","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.9526752916739343,2.3048185613371577,0.3521432696632234,35.98483204841614
Cory_2013-6-27_sc114_16,371,yes/no-reversed,Bob frequently gives his sweetheart roses.,Does Bob frequently give his sweetheart roses.,The first thing that I want to share with you is I want to share with you is I want to share with you all about the first time with you.,1.7257301817799724,2.1534226002528314,0.427692418472859,34.73243713378906
