video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,631,fingerspelling,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute in Technology.",The third one is the third one.,1.0969480644037695,1.1031740106596255,0.006225946255856041,24.033211171627045
Rachel_2011-12-08_sc44_15,632,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for Bill Clinton? ""No, I wasn't even old enough to vote when he ran for office.""",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family members.,1.7571555360030102,1.7261178728113784,-0.031037663191631815,29.634293913841248
Rachel_2011-12-08_sc44_15,633,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for George Bush? ""No, I wasn't that old to vote when he ran for office.""",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family members.,1.7571555360030102,1.7671409827592068,0.009985446756196614,29.634293913841248
Rachel_2011-12-08_sc44_15,634,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed John McCain.""",I want to take a look at this video and take a look at this video and take a look at it.,1.7185398399829865,1.6373758709989488,-0.08116396898403777,32.932835817337036
Rachel_2011-12-08_sc44_15,635,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Tina Fey. ""No, he didn't interview her he interviewed Sarah Palin.""",I want to take a look at this video and take a look at this video and take a look at it.,1.7185398399829865,1.7955940030515194,0.07705416306853285,32.932835817337036
Rachel_2011-12-08_sc44_15,636,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night Stephen Colbert interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""",I want to take a look at this video and take a look at this video and take a look at it.,1.7185398399829865,1.6823687712714923,-0.036171068711494225,32.932835817337036
Rachel_2011-12-08_sc45_13,637,fingerspelling,"I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Miami.""","I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Chicago.""",There are so many different things that you can do with your hearing aids.,1.188997823585564,1.1751101680646532,-0.013887655520910869,26.782307028770447
Rachel_2012-02-14_sc66_27,638,fingerspelling,"Intervention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","Prevention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.",The first thing that I want to share with you is that I want to share with you is that I want to share a little bit more about myself.,1.3197825430314751,1.396591785698174,0.07680924266669886,29.479846358299255
Rachel_2011-12-08_sc44_15,639,fingerspelling,"""Mary is a vegetarian isn't she?"" ""No, she had a bbq last month.""","""Steph is a vegetarian isn't she?"" ""No, she had a bbq last month.""",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,2.1695073583360873,2.0637754894125817,-0.10573186892350561,27.092617750167847
Rachel_2011-12-08_sc44_15,640,fingerspelling,"“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","“Governor Adams is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”",There are two different meanings for the world.,1.7129413378959308,1.576826864099207,-0.13611447379672392,32.1722149848938
Rachel_2011-12-08_sc45_13,641,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers for home.""",The first thing I want to share with you is that I want to share with you is that I want to share with you all of your stories with you.,1.6935749444546122,1.7426923176646232,0.04911737321001097,33.049434423446655
Rachel_2011-12-08_sc45_13,642,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""John doesn't know how to use a computer."" ""No, John is a genius. He has three computers at home.""",The first thing I want to share with you is that I want to share with you is that I want to share with you all of your stories with you.,1.6935749444546122,1.4938331535744547,-0.19974179088015753,33.049434423446655
Rachel_2011-12-08_sc44_15,643,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Greg Abbott is a Mormon."" ""No, Mitt Romney is a Mormon, not Greg Abbott.”",There are so many different things that you can do with your hearing aids.,2.288937933028561,2.572049744040161,0.2831118110116,32.21520781517029
Rachel_2011-12-08_sc44_15,644,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Rick Perry is a Mormon."" ""No, John Curtis is a Mormon, not Rick Perry.""",There are so many different things that you can do with your hearing aids.,2.288937933028561,2.0253401452752007,-0.2635977877533602,32.21520781517029
Rachel_2011-12-08_sc44_15,645,fingerspelling,"""Today is the last day of the semester right?"" ""No next week is. We still have one more week of class.""","""Today is the last day for the semester right?"" ""No next week is. We still have one more week of class.""",The first thing that I want to share with you is that I want to share with you is that I want to share a little bit more about the first time in my life with you.,1.3673787458011737,1.3823255672341301,0.014946821432956447,33.128997683525085
Rachel_2011-12-08_sc44_15,646,fingerspelling,"You're going to run in the Boston Marathon right? ""No I haven't ran and I don't plan on starting""","You're going to run in the Boston Competition right? ""No I haven't ran and I don't plan on starting""",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family members.,1.5493856399719204,1.501905330779529,-0.047480309192391434,31.610959768295288
Jonathan_2012-11-27_sc90_12,647,fingerspelling,A boy is making a bonfire.,A boy is making a snowman.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",3.011954295552439,2.707524796464929,-0.30442949908751027,36.640116572380066
Jonathan_2012-11-27_sc90_12,648,fingerspelling,A boy maintained the bonfire.,A boy maintained the snowman.,THIS IS THE FIRST TIME I WANT TO SHARE WITH YOU ALL THE DIFFERENT PEOPLE IN THE UNITED STATES.,3.1188772009064754,2.780425714577238,-0.3384514863292374,24.609750509262085
2-Ben-Voice-Identity_15,649,fingerspelling,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person approches you and they don't talk, suppose they're quiet, and you're trying to figure them out.",Captioned by aslcaptions.com,1.450895851665954,1.4179926377467134,-0.03290321391924067,9.927994012832642
6-Ben-Control-of-Sound_4,650,fingerspelling,A different area is the control of sounds.,A different area is the control on sounds.,That's what I'm going to show you about today.,1.706684190866559,1.8864187972490178,0.17973460638245875,31.77180290222168
4-Ben-Deaf-Speech_19,651,fingerspelling,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the semantics linguistics class is boring.,I want to let you know that you are the only deaf person in the world.,1.4633242538260234,1.511108506272765,0.04778425244674156,28.425782918930054
4-Ben-Deaf-Speech_19,652,fingerspelling,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people use speaking. I'd say there is a range.,That's what I want to do with my family and my family.,1.5302480834034773,1.6022103157688359,0.07196223236535859,19.618335366249084
2-Ben-Voice-Identity_15,653,fingerspelling,"Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...","Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's shape, height, weight, age, race, gender, sexual orientation...",There are two different meanings for the world.,1.2476902319677174,1.2802906658741373,0.03260043390641987,34.404581785202026
