video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,358,yes/no-reversed,A boy is feeding the fire.,Is a boy feeding the fire?,Generations,1.7638047265785712,1.6895959324858807,-0.07420879409269054,2.1871358156204224
Jonathan_2012-11-27_sc90_12,359,yes/no-reversed,A boy is making a bonfire.,Is a boy making a bonfire?,This is the first thing that we can do is we can talk about the communication between American Sign Language and ASL.,1.976077170283706,2.128698861847321,0.15262169156361494,21.092981100082397
Jonathan_2012-11-27_sc90_12,360,yes/no-reversed,A boy maintained the bonfire.,Did a boy maintain the bonfire?,The company also said that it was not the first time that there were some people who were involved with the conference in the community and that it was not the first time that they were able to communicate.,2.35245375285546,2.6625669468194246,0.31011319396396475,20.102614164352417
Rachel_2012-02-14_sc63_13,361,yes/no-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, will I talk with the reporters?",This is the first time that you have a dream that you have been working with your children.,1.3287712775170804,1.4276743614425262,0.09890308392544589,23.716720938682556
Rachel_2012-02-14_sc63_13,362,yes/no-reversed,All the men left together.,Did all the men leave together?,And that's what the most important thing is about the God of the Lord.,1.6250980965517186,1.8633438595570624,0.23824576300534384,32.731083035469055
7-Ben-Social-Msg_7,363,yes/no-reversed,"As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. This tells a lot about status.","As I said earlier. Deaf people making noise are regarded as ""off"", as if something is wrong. Does this tell a lot about status?",The company also said that it was not the first time that they were able to provide access to the commercial experience.,1.4948337426288956,1.4893564830999821,-0.005477259528913425,16.029061377048492
Jonathan_2012-11-27_sc96_17,364,yes/no-reversed,Bad weather is coming to Boston now.,Is bad weather is coming to Boston now?,There was a lot of people in the United States who were in the United States and the United States.,1.63709732487395,1.725471984781325,0.08837465990737492,30.29381036758423
Cory_2013-6-27_sc114_16,365,yes/no-reversed,Bad weather will come to Boston soon.,Will bad weather come to Boston soon?,There was a lot of people in the United States in the United States.,1.5980302274815346,1.8970411538489556,0.299010926367421,28.823071718215942
Jonathan_2012-11-27_sc90_12,366,yes/no-reversed,Barack Obama swam at the beach.,Did Barack Obama swim at the beach?,The first thing I want to share with you about is I want to share with you about this is I want to share with you about the community with you about the community.,1.914308036211878,2.079144984483719,0.1648369482718408,36.008673906326294
2-Ben-Voice-Identity_15,367,yes/no-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Did Bauman mention the concept of separating interpreting and ventriloquism?,The company also said that it was the first time that there were several people who were involved in the shooting and killing themselves in the shooting and killing themselves in the shooting and killing themselves in the house.,1.55400456721584,1.9236856217604954,0.3696810545446554,28.534454107284546
3-Ben-Voice-Life_21,368,yes/no-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,",Did Bauman present the idea that there is a loop between the mouth and the ears?,The company also said they were able to communicate with the community through Video Relay Services and Programs for the Deaf.,1.3222817763969112,1.5092647433924822,0.18698296699557093,18.854132294654846
5-Ben-Deaf-Grunts_19,369,yes/no-reversed,Benard Bragg explained his experience in class.,Did Benard Bragg explain his experience in class?,He was the first to know that he was the first to know the deaf community.,1.3622231539338827,1.7197560044378042,0.3575328505039215,31.37320876121521
8-Ben-Control-of-sound-places_12,370,yes/no-reversed,"Bill Ennis told a great story about ""bubbles"".","Did Bill Ennis tell a great story about ""bubbles""?",The first thing I want to share with you about is I want to share with you about some of your thoughts with you about the presentation with you.,2.0348484856175615,2.1907282388385605,0.155879753220999,34.42077040672302
Cory_2013-6-27_sc114_16,371,yes/no-reversed,Bob frequently gives his sweetheart roses.,Does Bob frequently give his sweetheart roses.,That's where the community was found in the United States.,1.778230286961378,2.20541514820875,0.4271848612473721,19.00266408920288
Cory_2013-6-27_sc114_16,372,yes/no-reversed,Bob gave a rose to his wife because it's their anniversary today.,Did Bob give a rose to his wife because it's their anniversary today?,There was a lot of people in the United States who were in the United States and the United States.,1.3130143508315086,1.624044974467584,0.31103062363607537,26.569771766662598
Jonathan_2012-11-27_sc96_17,373,yes/no-reversed,Bob gave roses to his girlfriend.,Did Bob give roses to his girlfriend?,Commercial,1.432847604265108,1.9608323060368236,0.5279847017717156,2.3476004600524902
Jonathan_2012-11-27_sc96_17,374,yes/no-reversed,Bob goes to the post office.,Does Bob go to the post office?,Communication,1.3641851099914517,2.016723482636735,0.6525383726452831,2.134080231189728
Jonathan_2012-11-27_sc96_17,375,yes/no-reversed,Bob has a big dog.,Does Bob have a big dog?,Captioned by aslcaptions.ca,1.9081653780058812,2.5446080484986306,0.6364426704927495,13.392014801502228
Jonathan_2012-11-27_sc97_19,376,yes/no-reversed,Bob hates reading books.,Does Bob hate reading books?,There is a lot of difference between the two deaf and hard of hearing children.,1.8954315847158432,2.5047896879500358,0.6093581032341926,26.977211236953735
Cory_2013-6-27_sc114_16,377,yes/no-reversed,Bob loves reading books because he can visualize what happens in the stories.,Does Bob love reading books because he can visualize what happens in the stories?,"The first time they were able to communicate with each other, they were able to communicate with each other.",1.1954411840400634,1.4754865215864124,0.28004533754634897,34.48181748390198
Jonathan_2012-11-27_sc96_17,378,yes/no-reversed,Bob loves reading books because he likes using his imagination.,Does Bob love reading books because he likes using his imagination?,This is the most important thing to share with you about the community is your dreams.,1.3062963066622615,1.6476652950924986,0.3413689884302371,32.083719968795776
Jonathan_2012-11-27_sc96_17,379,yes/no-reversed,Bob needs to go to the post office because he needs stamps.,Does Bob need to go to the post office because he needs stamps?,Audience,1.279739390934507,1.7485771746723913,0.4688377837378843,0.23746639490127563
Cory_2013-6-27_sc114_16,380,yes/no-reversed,Bob needs to go to the post office to buy stamps.,Does Bob need to go to the post office to buy stamps?,The country believes that the country was the only one who believed in him.,1.4841118398308755,1.9785016959326134,0.4943898561017379,26.124489307403564
Cory_2013-6-27_sc114_16,381,yes/no-reversed,Bob read a book.,Did Bob read a book?,History,2.053373305236592,2.690819183985392,0.6374458787488,3.2731354236602783
Jonathan_2012-11-27_sc96_17,382,yes/no-reversed,Bob read a book.,Did Bob read a book?,Privacy,2.088128314298742,2.700470943181288,0.612342628882546,0.0639796257019043
Cory_2013-6-27_sc114_16,383,yes/no-reversed,Bob sent a letter.,Did Bob send a letter?,Beliefs,1.7391229028764523,2.4511072724733665,0.7119843695969141,1.0577932000160217
Cory_2013-6-27_sc114_16,384,yes/no-reversed,Bob went to the post office.,Did Bob go to the post office?,They were able to communicate with Deaf people.,1.2458262561724103,1.9257810025686217,0.6799547463962115,26.564571261405945
Rachel_2012-01-27_sc52_11,385,yes/no-reversed,Bob works at the bike store.,Does Bob work at the bike store?,"In the future, there were many people in the world.",1.7827050208017743,2.359505440926913,0.5768004201251389,27.633625268936157
Cory_2013-6-27_sc107_19,386,yes/no-reversed,Boston is a great city.,Is Boston a great city?,History,1.8034167258689802,2.443983732101818,0.6405670062328379,0.8683696389198303
Rachel_2012-02-14_sc66_27,387,yes/no-reversed,Both locations had the same number of meetings; same occurences of home visits; same kind of school; and the same resources.,Did Both locations have the same number of meetings; same occurences of home visits; same kind of school; and the same resources?,The company says it will be the first time that it will be the first time that it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time it will be the first time to get the first time to get the first time to get the first time to get the first time to get the first time to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to get the first to go.,1.426911788403988,1.4903252167197374,0.06341342831574948,33.321914076805115
7-Ben-Social-Msg_7,388,yes/no-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Do both of these cases basically involve the range of cultural acceptance for making noise?,The company also said they were able to communicate with their community and they were able to communicate with their friends and families.,1.2476541839037718,1.3673920011471794,0.1197378172434076,27.261722087860107
2-Ben-Voice-Identity_15,389,yes/no-reversed,but the interpreter is speaking with a very high pitched voice.,but is the interpreter speaking with a very high pitched voice?,I was born deaf and raised here in Minnesota.,1.321437727077864,1.4242172970552929,0.10277956997742876,24.00476634502411
Rachel_2012-02-14_sc66_27,390,yes/no-reversed,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Was car going only twenty to thirty MPH? It shows how the language influences individuals' answers even though they all were watching the same video clip.,The company also said it was the first time that there were several people who were killed in the shooting and killed by the shooting and killed by the shooting and killed by the shooting and killing himself.,1.4489316962419017,1.4837433358113612,0.03481163956945954,26.21327042579651
Cory_2013-6-27_sc110_14,391,yes/no-reversed,"Dad likes chocolate cereal, like me.","Does dad like chocolate cereal, like me?",This is the concept of the Canadian Republic of Canada.,1.9747149194213185,2.152058235028895,0.17734331560757632,22.95425832271576
