video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,Not,1.7063998465736707,2.1401894434609194,0.4337895968872487,19.47992295026779
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,Today we are not doing anything.,1.7802454123894373,2.027781241319396,0.24753582892995873,38.234108686447144
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,That's why I love them.,1.7261504335876774,2.1647535920716248,0.4386031584839474,25.397732853889465
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,This is the first time that we are going to be doing this for the Deaf community.,2.096170352357957,2.239439201142107,0.14326884878415003,27.750462293624878
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,She said she didn't know anything about her family.,1.9055125810619857,2.099976757807391,0.19446417674540517,21.993091702461243
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,He doesn't need,2.2619635781273244,3.275958994260201,1.0139954161328766,17.63465851545334
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,There are no different ways to sign.,2.092331725217047,1.9239381957385275,-0.1683935294785195,32.144924998283386
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,They are not allowed to do the same thing.,2.184068480595237,2.4174199956986637,0.2333515151034269,48.86566400527954
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,Captioned by aslcaptions.com,1.742602182640916,1.7197056913541422,-0.022896491286773735,8.22029635310173
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,There are several different types of things like that.,1.9720298450972353,1.9615102091597185,-0.010519635937516814,39.60964381694794
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,Captioned by aslcaptions.com,2.1487426745394864,2.0814751328693495,-0.06726754167013693,11.976149678230286
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.6508383205668493,2.738175423194965,0.08733710262811556,40.40966033935547
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,They are not allowed to do the same thing.,1.700133696875789,2.050225814597474,0.35009211772168514,27.44389772415161
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,Communication,1.6649736741185188,1.5292299812516341,-0.1357436928668847,0.3703400492668152
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Captioned by aslcaptions.com,2.266304988414049,2.1683545644310387,-0.09795042398301046,9.706905484199524
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,Her name is Martin Luther King.,2.36506636723876,2.2559130020778286,-0.10915336516093133,20.10074555873871
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,"Never, never",1.8082565248012543,2.0598446852282475,0.25158816042699317,24.649861454963684
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,He doesn't have anything to do.,1.5793767117250423,1.8292012417122074,0.2498245299871651,30.044448375701904
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,This is the first time that we are not going to be able to communicate with others.,2.339059145977864,2.682523837482387,0.3434646915045234,23.37159812450409
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,Captioned by aslcaptions.com,2.103036289031689,2.2690607961267233,0.16602450709503414,10.885298252105713
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,My brother cannot do this.,1.2093465394125535,1.2196532480108242,0.010306708598270653,67.33663082122803
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,This is my sign name.,2.1848603860976605,2.2753214213997124,0.09046103530205185,24.81083571910858
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,Deaf people,1.8690484010235027,1.6958798834433157,-0.17316851758018692,6.429200619459152
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,She was the only deaf person who was in the hearing world.,2.123390041567661,2.331579846463033,0.2081898048953721,23.025214672088623
Cory_2013-6-27_sc110_14,24,negation,The car did not breakdown.,The car did breakdown.,Sign Language,1.9198513141384832,2.1215940772191337,0.20174276308065053,5.537579953670502
Cory_2013-6-27_sc110_14,25,negation,The car didn't break down.,The car broke down.,Sign language,1.659756342018092,1.7348554922267794,0.0750991502086873,6.715980917215347
Rachel_2012-01-27_sc51_11,26,negation,The car didn't break down.,The car broke down.,She doesn't know what to do.,1.5032854845954313,1.6201018156483769,0.11681633105294553,34.46410596370697
Rachel_2011-12-01_sc43_12,27,negation,Alcohol is not always good.,Alcohol is always good.,Love is not always the same.,1.7925463212387902,2.1128831511984267,0.3203368299596365,39.604759216308594
Cory_2013-6-27_sc115_17,28,negation,Bob hasn't sent the letter.,Bob has sent the letter.,Captioned by aslcaptions.com,1.8257328877225518,1.8770205196738243,0.051287631951272505,10.807707905769348
Cory_2013-6-27_sc115_17,29,negation,I don't want to buy shorts.,I want to buy shorts.,Captioned by aslcaptions.com,1.2994460563308425,1.5209587204524062,0.22151266412156367,12.420102953910828
Jonathan_2012-11-27_sc98_14,30,negation,I don't want to buy shorts.,I want to buy shorts.,Thank you for watching this video.,1.3018160135086094,1.5700952031395652,0.26827918963095576,28.135809302330017
Rachel_2012-02-09_sc58_12,31,negation,John didn't buy the turkey.,John bought the turkey.,He doesn't say that,1.9369890822895937,2.2851936609173813,0.34820457862778764,23.616421222686768
Rachel_2012-02-09_sc58_12,32,negation,John didn't buy the turkey.,John bought the turkey.,Father does not,1.9900474682716387,2.339824276044965,0.3497768077733261,11.76668256521225
Rachel_2012-01-27_sc50_10,33,negation,Mom doesn't like surprises.,Mom likes surprises.,She does not hear anything.,1.7632917084598116,2.313927830329963,0.5506361218701514,31.576156616210938
Cory_2013-6-27_sc115_17,34,negation,The clothes aren't on sale.,The clothes are on sale.,My name is Martha Anger.,1.939783460061465,1.7362842708826065,-0.20349918917885845,24.870911240577698
Jonathan_2012-11-27_sc98_14,35,negation,The clothes are not on sale.,The clothes are on sale.,Communication access,1.7419924707762127,1.7873100888729097,0.04531761809669699,5.186624825000763
Cory_2013-6-27_sc107_19,36,negation,That dress is not my favorite.,That dress is my favorite.,"Growing up, I grew up in the United States.",1.4673130110867563,1.4992608118940283,0.031947800807272,29.21767830848694
Cory_2013-6-27_sc115_17,37,negation,Friends didn't crash the party.,Friends did crash the party.,This is the first time that we are going to be doing this for the first time in our community.,1.656142235500738,1.8333488237755051,0.1772065882747671,21.710416674613953
Rachel_2012-02-09_sc57_9,38,negation,"If I don't read, I will be bored.","If I do read, I will be bored.",He doesn't have anything like that.,1.5816271326997702,1.919442851697245,0.33781571899747487,27.459070086479187
Cory_2013-6-27_sc107_19,39,negation,My friend doesn't want to go out.,My friend wants to go out.,Thank you for an amazing time!,1.4194351183798384,1.6370345972202442,0.21759947884040587,23.454612493515015
Cory_2013-6-27_sc115_17,40,negation,The bride and groom didn't dance.,The bride and groom danced.,The God of the Lord.,1.9471208391820682,2.108047204358237,0.16092636517616876,22.76507019996643
Cory_2013-6-27_sc115_17,41,negation,Bob hasn't gone to the post office.,Bob has gone to the post office.,Captioned by aslcaptions.com,1.5161329274997115,1.5479155839844183,0.031782656484706795,9.287390112876892
Jonathan_2012-11-27_sc98_14,42,negation,I don't like asking for directions.,I like asking for directions.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.2282974259513948,1.3678888014207284,0.13959137546933365,43.430036306381226
