video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,The voice can be voiced to the hearing person who is disaster.,1.2976702282557617,1.3730221941966463,0.07535196594088456,44.352883100509644
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...","The deeper voice of the speech is not the speech, but I say that I haven't accepted the basic beautiful flag.",1.0871798269504653,1.1737338908874302,0.08655406393696485,40.013742446899414
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",And the worst thing is that the person who is stuck with the vision of the person is the person who is stuck in the vision of the person.,1.3081794923047225,1.277517682760954,-0.030661809543768515,50.15014410018921
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,He explained that LGBTQ+ deaf people were both deaf and hard of hearing.,1.5618142481361117,1.7387395471786007,0.176925299042489,18.28044503927231
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,It depends on what you want to do with the thesical holes.,1.2576537703925914,1.3184193447232246,0.06076557433063323,24.024611711502075
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,The clothes are on the area of the Arkansas Region.,1.7508791026569182,1.7032221486342365,-0.047656954022681663,50.43279528617859
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,Where do you wear a clothes and you return to the airport?,1.4289649189449847,1.4277627059307538,-0.0012022130142308463,42.18244552612305
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,When dad arrived home when?,1.4016656505650487,1.358047109895519,-0.04361854066952975,66.61064624786377
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,He arrived at his father and arrived at his home.,1.6546227118835366,1.5423674688541464,-0.11225524302939016,39.53703045845032
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,Johnson lived there last year.,1.6796425674711504,1.6743902427882984,-0.005252324682851972,53.57427000999451
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,When driving there is a much more than one million million million million million million million million million miles away from the car.,1.6224835404643305,1.5463623971893237,-0.07612114327500685,26.646757125854492
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,"Friends, what do you do?",1.6506799108659227,1.7227090108005896,0.07202909993466688,64.62939977645874
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,"Friends, what do you do?",1.627150101121515,1.7152726724743843,0.08812257135286927,64.62939977645874
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,The friends came together and went together and went together and went together together.,1.4864249707096153,1.4056241701874468,-0.08080080052216854,36.68155074119568
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,Where do you buy a car?,1.2459768204501382,1.1073783592879771,-0.13859846116216112,82.75136351585388
