video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,Who can hear?,1.2563677989953272,1.2995353496658641,0.0431675506705369,30.63638210296631
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...",It is not just the QR voice but the SPEC is not the same.,1.182426784835432,1.2188820879129196,0.03645530307748768,29.720383882522583
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",And they are stuck in the terms of the terminology.,1.4535332483549912,1.3643873969713847,-0.08914585138360653,32.22549557685852
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,I need to explain that you are Deaf.,1.719600471109152,1.8305358576277893,0.11093538651863732,31.672602891921997
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,I was sensitive to talking with Jessica Hoddon.,1.347453557361256,1.438184561783617,0.09073100442236104,38.40844929218292
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,I was wearing an exciting holiday on Allegations.,1.5448312470989842,1.7066674936434318,0.16183624654444762,20.958232879638672
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,Where are your clothes?,1.3206860343925655,1.4697004268436056,0.1490143924510401,53.93372178077698
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,When did you get home?,1.4385148674763482,1.637464324278491,0.19894945680214282,61.18242144584656
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,When did you get home?,1.4998116051328594,1.6312488607530082,0.13143725562014885,61.18242144584656
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,Johnson lived 11 I.,1.6635606427106164,1.6136444538574795,-0.04991618885313698,25.15392303466797
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,When did Mary buy it?,1.4234108773094636,1.394146859072722,-0.02926401823674163,76.0763943195343
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,"Friends, what do you do?",1.4280099757015705,1.7212525437707487,0.29324256806917814,64.62939977645874
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,Friends do a little bit.,1.4059994880420466,1.6334455372846646,0.22744604924261802,43.13310980796814
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,Friends looked at me and thought about why.,1.4208060612281164,1.3983743265271187,-0.022431734700997685,38.91562223434448
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,Where do you buy a driver?,1.2280029487554673,1.1996062938868999,-0.02839665486856746,54.17548418045044
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,When did you graduate from high school?,0.8636808105877467,0.9724763258195975,0.10879551523185083,89.05817866325378
