video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,Captioned by aslcaptions.com,1.9065675179163615,2.0337047058750284,0.1271371879586669,14.962255954742432
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,This is not the case.,1.71794883882006,2.0504346083511007,0.3324857695310406,47.27222919464111
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,Captions by aslcaptions.com,1.8733612399767428,2.3263902036616435,0.45302896368490075,9.045176953077316
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,Thank you for watching the video.,2.072130630206731,2.243427010519164,0.171296380312433,31.684738397598267
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,This is not a good thing.,1.9643819342470832,2.2289270846439257,0.26454515039684257,43.92242431640625
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,This is not the case.,2.205720475688577,3.2561351181222844,1.0504146424337075,35.2443665266037
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,There are so many different things that we can do in our community.,2.1258329949563457,1.9497364850507841,-0.17609650990556158,33.275794982910156
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,Thank you for your support.,2.267092862831695,2.426980188737313,0.15988732590561794,26.52876079082489
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,Captioned by aslcaptions.com,1.721233491386686,1.7135539340476196,-0.007679557339066445,8.220313489437103
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,There are many different things that you can do in your life.,1.9827110444506009,1.953302301466465,-0.02940874298413587,35.48051416873932
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,There are two different meanings for the world.,2.089720817548888,2.015480333732234,-0.07424048381665393,33.90886187553406
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,THE SAME THING WITH ALL THE DIFFERENT PEOPLE IN THE WORLD.,2.620991327207197,2.698858997060193,0.07786766985299609,20.582012832164764
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,Captioned by aslcaptions.com,1.7426153729585083,1.917403619736433,0.1747882467779247,12.423945218324661
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,The first thing that you want to do is you want to know is that you want to know that you are in the first place.,1.6294884368777276,1.4966529662219377,-0.13283547065578993,29.606133699417114
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,There are two different meanings for the world.,2.2993739055097104,2.1196933520788495,-0.17968055343086098,25.427180528640747
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,Captioned by aslcaptions.com,2.357266792654991,2.2500374012372713,-0.10722939141771981,8.491132408380508
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,That's not the case.,1.7786601968109608,1.812591143344578,0.03393094653361728,32.67609477043152
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,That's not true.,1.568593454762147,1.8318564175911571,0.2632629628290102,45.76557278633118
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,HERE ARE YOUR TOP STORIES FOR TODAY.,2.3721481426977196,2.6230756249278784,0.2509274822301588,19.26317811012268
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,That's what I want to do with my family.,2.096651485046515,2.2675558011978865,0.17090431615137147,26.80063545703888
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,Captioned by aslcaptions.com,1.692485502276283,1.6976025559318562,0.005117053655573134,14.442640542984009
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your stories.,2.2974246320529628,2.4141582012176515,0.11673356916468869,36.9553804397583
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,No.,1.9085805342981108,1.7769567565992475,-0.13162377769886335,19.709478318691254
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,There are two different meanings for the world.,2.127901237871912,2.3133828508711995,0.18548161299928756,21.170493960380554
Cory_2013-6-27_sc110_14,24,negation,The car did not breakdown.,The car did breakdown.,CAPTIONED by aslcaptions.com,1.872063181190579,2.0765404856723286,0.2044773044817496,8.100013434886932
Cory_2013-6-27_sc110_14,25,negation,The car didn't break down.,The car broke down.,The first thing I want to share with you is that we are going to share with you all about the world.,1.598966920265445,1.6639275133609772,0.06496059309553215,27.850186824798584
Rachel_2012-01-27_sc51_11,26,negation,The car didn't break down.,The car broke down.,This is not the same thing.,1.4841370237646279,1.5822881750762463,0.09815115131161845,46.52405381202698
