video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,631,fingerspelling,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute in Technology.","After two years of high school, I graduated from Rochester Institute of Technology.",0.8242707269979112,0.8263284536653462,0.002057726667435089,65.12300372123718
Rachel_2011-12-08_sc44_15,632,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for Bill Clinton? ""No, I wasn't even old enough to vote when he ran for office.""","He voted for George 1340, and he didn't even go out enough to vote until he runs.",1.2681516361252596,1.2793163155463148,0.011164679421055146,38.217657804489136
Rachel_2011-12-08_sc44_15,633,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for George Bush? ""No, I wasn't that old to vote when he ran for office.""","He voted for George 1340, and he didn't even go out enough to vote until he runs.",1.2681516361252596,1.482797292775886,0.2146456566506263,38.217657804489136
Rachel_2011-12-08_sc44_15,634,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed John McCain.""","Last night, Honskevin interviewed Although Although Fagard and he did not interview Martha Palin.",1.3672871611391504,1.4182580188848077,0.05097085774565735,35.64077019691467
Rachel_2011-12-08_sc44_15,635,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Tina Fey. ""No, he didn't interview her he interviewed Sarah Palin.""","Last night, Honskevin interviewed Although Although Fagard and he did not interview Martha Palin.",1.3672871611391504,1.3161805250371497,-0.051106636102000724,35.64077019691467
Rachel_2011-12-08_sc44_15,636,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night Stephen Colbert interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Last night, Honskevin interviewed Although Although Fagard and he did not interview Martha Palin.",1.3672871611391504,1.3641700021680292,-0.0031171589711211922,35.64077019691467
Rachel_2011-12-08_sc45_13,637,fingerspelling,"I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Miami.""","I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Chicago.""",It is not expensive for the students to be alone with their flights.,1.0158515241765327,1.0121939229458916,-0.003657601230641072,29.7122061252594
Rachel_2012-02-14_sc66_27,638,fingerspelling,"Intervention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","Prevention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","When the children don't behave in their words, they will be able to use the words like the LGBTQ+ drug and they will stop something that they don't behave in their children.",1.1079156441684765,1.166331316010119,0.058415671841642425,39.33176398277283
Rachel_2011-12-08_sc44_15,639,fingerspelling,"""Mary is a vegetarian isn't she?"" ""No, she had a bbq last month.""","""Steph is a vegetarian isn't she?"" ""No, she had a bbq last month.""",Mavrick has one month ago and has one month ago.,2.1146026159439124,2.00752644274217,-0.10707617320174245,19.939255714416504
Rachel_2011-12-08_sc44_15,640,fingerspelling,"“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","“Governor Adams is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”",Mayor Bloomberg is above 14 years old and is ugly above.,1.5829497998977293,1.55815644008069,-0.02479335981703934,40.662264823913574
