video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,"AND THAT'S WHAT I WAS TALKING ABOUT, AND THAT'S WHAT I WAS SAYING.",1.7034619530593906,1.8397541411221028,0.13629218806271215,26.102516055107117
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,THIS BOY WAS PRODUCED IN THE BURNING OF BONE FIRE.,1.6549882870857362,1.7648890420794487,0.10990075499371255,33.65602195262909
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,What do you think of the beneficial properties that you want to do with the beneficiency?,2.0229644597818455,1.6949574700423649,-0.3280069897394806,29.38118278980255
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,THE FIRST PRESENTATION WAS WHEN I WAS TALKING WITH JAPANESE PEOPLE WHO WERE BORED IN THE SCHOOL FOR THE DEAF.,1.410661871289159,1.4451392845032698,0.0344774132141108,23.31548184156418
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,MANY EXPERIENCES THAT DEAF PEOPLE HAVE ADMINISTRATIONS WITH VOICE OR VOICE OR WHATEVER THEIR VOICES ARE.,0.8237466444809209,0.8391781374025093,0.015431492921588408,32.74931311607361
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,MANY DEAF PEOPLE USE VOICE TO USE VOICE OR VOICE.,1.1263031562933554,1.1407665418802013,0.0144633855868459,38.467538356781006
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.",THERE'S A LOT OF DIFFERENT THINGS TO DO IN THE PRESENTATION BETWEEN THE PRESENTATIONS AND THE TEACHERS OF THE DEAF CHILDREN.,1.42923267051745,1.4217018818145968,-0.007530788702853286,20.752836763858795
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.",&gt;&gt; CHRISTOPHER JOHNSON: I'm the president and I'm talking to you with the answer.,0.9656318427373966,1.0313512246357277,0.06571938189833115,43.95000338554382
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,I like to be perfect with you.,1.323973890531946,1.3195138764168535,-0.004460014115092559,25.24206042289734
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,THERE'S A LOT OF DIFFERENT THINGS THAT WE CAN DO TO DEAF PEOPLE IN THE UNITED STATES.,1.5573713696477087,1.6725805231928825,0.1152091535451738,35.68651080131531
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,"Thank you, thank you, thank you, thank you, thank you!",1.056887566888084,1.1511090876958747,0.09422152080779078,26.786023378372192
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.",I was reading and writing and I was really good about it.,1.3286627854675974,1.2916591653816178,-0.03700362008597957,41.93530082702637
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",THEY DON'T KNOW WHERE THEY WERE TALKING AND WHERE THEY WERE.,1.2854301337740923,1.3806017538772362,0.09517162010314384,14.848396182060242
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,Today we're going to talk about bad meetings and we're going to be going to be going to be going to be going to be out of the B and B.,1.6228536364395876,1.6652493055909872,0.042395669151399584,24.824124574661255
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,"Barrier Rebaca, who was standing on the left side of the left side of the left side of the ten.",1.9279394015902653,1.7902236625743218,-0.13771573901594358,32.18280076980591
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,"THE NAME OF THE SIGN FOR ""BARMAN"" IS THE NAME SIGN FOR ""BARMAN"" WHEN YOU KNOW WHERE TO INTERPRET.",1.3795149610439936,1.3728124252520502,-0.006702535791943465,22.0043808221817
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",INNOCENT LANGUAGE DEAF PEOPLE HAVE HEARING AIDS THAT THEY HAVE HEARING AIDS.,1.176896605829272,1.2790697630760925,0.10217315724682052,11.047373712062836
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,THERE'S A LOT OF DIFFERENT EXPERIENCES THAT WE HAVE BEEN DOING HERE.,1.2689144903173049,1.2924950994410604,0.02358060912375559,28.009724617004395
8-Ben-Control-of-sound-places_12,122,negation-reversed,"Bill Ennis told a great story about ""bubbles"".","Bill Ennis didn't tell a great story about ""bubbles"".",BURLENESS TOLD ME A GREAT CONNECTION TO THE BURLENESS.,1.3656102724848909,1.3438447908394866,-0.02176548164540426,24.035289883613586
Cory_2013-6-27_sc114_16,123,negation-reversed,Bob frequently gives his sweetheart roses.,Bob doesn't frequently give his sweetheart roses.,OUR GAME IS THE WATER MUSIC.,1.6894409003299335,1.5508057138323783,-0.13863518649755524,8.328654617071152
Cory_2013-6-27_sc114_16,124,negation-reversed,Bob gave a rose to his wife because it's their anniversary today.,Bob didn't give a rose to his wife because it's not their anniversary today.,The back of the board was fluent in ASL because of their sign language.,1.139795810266426,1.1585059797318724,0.018710169465446347,22.21277356147766
Jonathan_2012-11-27_sc96_17,125,negation-reversed,Bob gave roses to his girlfriend.,Bob didn't give roses to his girlfriend.,This is all about Brob where I'm going to show you how to do this.,1.3921171385137474,1.3748940951758768,-0.017223043337870614,31.664910912513733
Jonathan_2012-11-27_sc96_17,126,negation-reversed,Bob goes to the post office.,Bob doesn't go to the post office.,Bobby is four shoes.,1.2970477593099248,1.2615059797252928,-0.035541779584632005,31.17263913154602
Jonathan_2012-11-27_sc96_17,127,negation-reversed,Bob has a big dog.,Bob doesn't have a big dog.,Bob has four big boxes.,1.1871456892082566,1.0366039936031615,-0.15054169560509512,35.86690425872803
Jonathan_2012-11-27_sc97_19,128,negation-reversed,Bob hates reading books.,Bob doesn't hate reading books.,THIS IS A BOOK OF READING THE BOOK.,1.3368703727424145,1.2397457992192358,-0.09712457352317871,19.7310209274292
Jonathan_2012-11-27_sc96_17,129,negation-reversed,Bob needs to go to the post office because he needs stamps.,Bob doesn't need to go to the post office because he doesn't need stamps.,"THIS IS A FOURTH GRADE, AND THIS IS A FOURTH GRADE, AND THIS IS A FOURTH GRADE.",1.1280410361786684,1.090033478128749,-0.03800755804991929,33.77300798892975
Cory_2013-6-27_sc114_16,130,negation-reversed,Bob needs to go to the post office to buy stamps.,Bob doesn't need to go to the post office to buy stamps.,THIS IS THE PERSONAL OFFICE OF THE DEAF COMMUNITY OF THE DEAF COMMUNITY OF THE DEAF COMMUNITY AND THE DEAF COMMUNITY OF THE DEAF COMMUNITY.,1.1414244613051414,1.1327811782820183,-0.008643283023123116,19.25811767578125
Cory_2013-6-27_sc114_16,131,negation-reversed,Bob read a book.,Bob didn't read a book.,YOU CAN READ THE BOOK.,1.2933845318415587,1.405964797983567,0.11258026614200833,45.39104104042053
Jonathan_2012-11-27_sc96_17,132,negation-reversed,Bob read a book.,Bob didn't read a book.,Take a look at this book.,1.4302434504908674,1.5373308286070824,0.10708737811621494,51.62091851234436
