video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,Catalysis,1.8258255968491237,2.4141468439589846,0.5883212471098609,3.1748197972774506
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,Captioned by aslcaptions.com,1.9105036303400993,2.2577933736822824,0.3472897433421831,10.043264925479889
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,This is the first time that I was able to communicate with my family and friends.,1.8030113608521574,2.333098723911322,0.5300873630591647,26.080071926116943
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,Deaf people are not allowed to communicate with each other.,2.067790554215511,2.1570500944341933,0.08925954021868243,27.429020404815674
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,Captioned by aslcaptions.com,2.0126292618612447,2.003260771610907,-0.00936849025033748,12.413190305233002
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,The company also said they were not sure if they were going to be able to communicate with the company.,2.3404922505840657,2.851579852975332,0.511087602391266,18.07553917169571
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,"In this case, there was a conflict between the women.",1.8564838302277384,1.6415941249579191,-0.21488970526981932,25.09479820728302
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,"This is the first time that there are many people who are deaf, hard of hearing, or hearing.",2.463855962668146,2.580342167781459,0.11648620511331265,26.24775767326355
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,Resistance,1.9287443962835131,1.9905940550896857,0.06184965880617255,-0.7876858115196228
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,Captioned by aslcaptions.com,2.008837448344344,2.011628697729773,0.002791249385428962,14.88952487707138
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,History,2.1890321494567964,2.2075320014523134,0.01849985199551707,1.1175915598869324
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,This is the first thing I want to share with you about.,2.0240139436315405,1.7718861705313127,-0.2521277731002278,32.34366774559021
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,There was a lot of deaf people in the United States and Canada.,1.7531485157934101,1.938925542144312,0.18577702635090176,22.835880517959595
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,Collaboration,1.8821641671657563,1.605075398603311,-0.27708876856244524,1.075129210948944
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Language deprivation,2.177127185165882,2.2289660886268723,0.05183890346099007,2.8525464236736298
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,It was a long time ago.,2.148806580007076,2.152239006859335,0.003432426852258974,26.202261447906494
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,The company also said they were not sure what to do with the company.,1.6685558781027794,1.758442069746946,0.08988619164416667,25.813984870910645
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,And that's what I'm going to talk about.,1.6707943273851504,1.6100960843588994,-0.06069824302625104,33.348965644836426
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,"In the United States, the United States and Canada",2.4679856710135937,2.666234291073951,0.19824862006035726,14.18934017419815
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,This is the presentation of the presentation.,2.067463842435525,2.199297997931188,0.13183415549566302,22.343605756759644
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,My husband was the only one who was in the late 19th century.,1.6029190679009144,1.7115755680327613,0.10865650013184691,25.826072692871094
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,My history.,2.1187447000008364,2.1823176354169846,0.06357293541614828,25.056564807891846
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,Eyebrows,2.025307347929036,1.9634158949678142,-0.06189145296122178,4.155803471803665
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,The first thing I want to share with you is that there is a lot of people in the community.,1.9723348073937275,1.9392025871645837,-0.03313222022914375,22.12778627872467
