video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.75693724428614,2.6180209115147592,-0.1389163327713807,32.29652643203735
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",3.011948519144897,2.8247743020455043,-0.18717421709939286,36.640119552612305
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,THIS IS THE FIRST TIME I WANT TO SHARE WITH YOU ALL THE DIFFERENT PEOPLE IN THE UNITED STATES.,3.118888547147314,2.70337642707995,-0.4155121200673637,24.609722197055817
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,I want to let you know that you are the only deaf person in the world.,1.4633166823167723,1.4912671243098188,0.027950441993046526,28.425776958465576
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,The first thing that I want to share with you is that I want to share with you is that I want to share a little bit more about you.,0.9664191859774292,0.9773187836448491,0.010899597667419991,35.240304470062256
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,That's what I want to do with my family and my family.,1.5302421636306323,1.4672199429970392,-0.06302222063359308,19.61841881275177
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.",The first thing I want to share with you is that I want to share with you is that there are a lot of people who are deaf and hard of hearing and hard of hearing people who are deaf.,1.4447000187015935,1.4409316118352968,-0.0037684068662966475,30.410414934158325
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.",There are two different meanings for the world.,1.341462772898376,1.3502100777695887,0.00874730487121278,28.240051865577698
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,Thank you for watching my video.,1.766682557347748,1.6412916219660214,-0.12539093538172663,27.535897493362427
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,The first thing I want to share with you is I want to share with you is I want to tell you about the first thing I want to share with you about the first time.,1.5862810882655056,1.6078388901799918,0.021557801914486197,40.05241394042969
