video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,John Yoe and I were married?,2.392466569840908,1.5288761508464814,-0.8635904189944266,35.920143127441406
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,I dressed all the way up.,1.939620179235935,1.557713672220707,-0.3819065070152281,25.80127716064453
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,I was walking along the style and I was really inspired.,1.780738347908482,1.372777325916104,-0.40796102199237794,35.58798432350159
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,"First of all, I want to explain to you.",1.7893603762818708,1.3968458050103099,-0.392514571271561,35.49022376537323
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,Now we are going to take a look at this.,1.6072057676227653,1.2066390737891197,-0.4005666938336456,41.57966375350952
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,There was no one to play in the farm.,1.3604185962455069,1.417127750450518,0.0567091542050111,44.5664644241333
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,Tomorrow I will be watching a few interpreters.,1.2099407532324011,0.952229977800296,-0.2577107754321052,43.2276725769043
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,I went to school tomorrow.,1.1186948152368559,0.6523093644748715,-0.46638545076198434,76.88901424407959
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,"When you go to a party, you understand?",1.4355959397201474,1.065763589779013,-0.36983234994113445,45.26478052139282
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,I look forward to football challenges.,1.1492399405688047,0.7933620820856757,-0.35587785848312903,42.51809120178223
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,It's a bacteria level.,2.102898636418912,1.8338481388054788,-0.26905049761343314,11.975237727165222
Rachel_2011-12-08_sc46_14,219,yes/no,Did Bill move to New York?,Bill moved to New York.,Are you not new?,2.0763771808533757,1.5937606079193454,-0.4826165729340304,25.63023567199707
Cory_2013-6-27_sc114_16,220,yes/no,Did Bob arrive at the post office?,Bob arrived at the post office.,Bob arrived in Pennsylvania.,1.9321971583579267,0.744705333490856,-1.1874918248670707,45.66696286201477
Jonathan_2012-11-27_sc96_17,221,yes/no,Did Bob give someone roses?,Bob gave someone roses.,What do you like about Bob?,2.9846924653808986,2.0543616504097977,-0.9303308149711009,38.06052803993225
Cory_2013-6-27_sc114_16,222,yes/no,Did Bob give the rose to his sweetheart?,Bob gave the rose to his sweetheart.,They have already given me the challenge.,2.0794425834788055,1.3749155088050946,-0.7045270746737109,25.006702542304993
Cory_2013-6-27_sc114_16,223,yes/no,Did Bob send the letter?,Bob sent the letter.,We have sent a letter to you.,2.5473960168659686,1.3306430090396177,-1.2167530078263509,49.18214678764343
Cory_2013-6-27_sc114_16,224,yes/no,Did dad mow the lawn?,Dad mowed the lawn.,I was shocked and tasted.,3.181431843475862,2.353901664540172,-0.8275301789356901,15.52930623292923
Jonathan_2012-11-27_sc95_15,225,yes/no,Did Donna give the money?,Donna gave the money.,DONA has already been a good buyer.,2.227601107496482,2.0745561947538094,-0.1530449127426725,32.90029168128967
Cory_2013-6-27_sc114_16,226,yes/no,Did Donna give you the money?,Donna gave you the money.,DOTA has given money.,1.7479433611035347,1.4517087536649063,-0.2962346074386284,40.09146690368652
Cory_2013-6-27_sc112_17,227,yes/no,Did Father arrive home late at night?,Father arrived home late at night.,He arrived home tonight.,1.8860409709771997,1.0540648620043482,-0.8319761089728515,52.47609615325928
Cory_2013-6-27_sc112_17,228,yes/no,Did Father really arrive home late at night?,Father really arrived home late at night.,"When you arrived home, you went home.",1.9397440010474787,1.1749432941100426,-0.7648007069374361,29.79336380958557
Jonathan_2012-11-27_sc96_17,229,yes/no,Did Father start mowing the lawn?,Father started mowing the lawn.,"You know, we already have started this project.",2.2645790120038916,1.59292631293647,-0.6716526990674216,43.219780921936035
Cory_2013-6-27_sc114_16,230,yes/no,Did I already pay the rent?,I already paid the rent.,I have already paid a monthly ballot.,1.789509994643075,0.6817442624270916,-1.1077657322159835,48.662519454956055
Jonathan_2012-11-27_sc96_17,231,yes/no,Did I pay the rent?,I paid the rent.,I have already paid for him.,2.271889476105571,1.2113783022060114,-1.0605111738995594,42.878323793411255
Rachel_2011-12-08_sc45_13,232,yes/no,Did Jack and Sue already meet?,Jack and Sue already met.,Have you met them?,2.6144508010437413,2.118131491427238,-0.4963193096165033,49.08836483955383
Cory_2013-6-27_sc109_21,233,yes/no,Did Jack see something weird while he was waiting outside?,Jack saw something weird while he was waiting outside.,"Okay, I understand two strange things.",1.5841492327971984,1.279023312912746,-0.3051259198844525,42.0690655708313
Cory_2013-6-27_sc107_19,234,yes/no,Did John buy milk?,John bought milk.,John buys a little bit.,2.5918567264942745,2.122251314835416,-0.4696054116588586,37.31108903884888
Cory_2013-6-27_sc112_17,235,yes/no,Did mom already walk to the store?,Mom already walked to the store.,We've already been sold.,2.2405283503234386,1.332358177186865,-0.9081701731365737,23.54513108730316
Cory_2013-6-27_sc112_17,236,yes/no,Did mother already walk to the store?,Mother already walked to the store.,My mom had already gone to the store.,1.6244600162302192,1.0510334149003029,-0.5734266013299163,74.48917031288147
Cory_2013-6-27_sc112_17,237,yes/no,Did mother clean the kitchen?,Mother cleaned the kitchen.,It will be a nice fall.,2.3548857666552068,1.7324662583747081,-0.6224195082804986,20.716819167137146
Jonathan_2012-11-27_sc90_12,238,yes/no,Did Mother go to the store?,Mother went to the store.,I was about 5 years old.,2.313583123896803,1.6738995797932148,-0.6396835441035882,27.20600664615631
Jonathan_2012-11-27_sc90_12,239,yes/no,Did Mother walk to the store?,Mother walked to the store.,My mom has already gone there.,1.9800168100744486,1.4706734347024135,-0.5093433753720351,53.28189730644226
Cory_2013-6-27_sc113_13,240,yes/no,Did my friend drive?,My friend drove.,Friends have already been strong.,2.462640361239513,2.1147051493034645,-0.34793521193604837,24.603182077407837
Cory_2013-6-27_sc114_16,241,yes/no,Did my friend go ahead with crashing the party?,My friend went ahead with crashing the party.,Friends decided to crash in a party.,1.59569540930291,0.9878558857447427,-0.6078395235581674,54.778969287872314
Rachel_2011-12-08_sc45_13,242,yes/no,Did someone win the lottery?,Someone won the lottery.,Are you black winners?,1.9434206472902462,1.6208262255787849,-0.32259442171146135,26.359224319458008
Cory_2013-6-27_sc112_17,243,yes/no,Did the boy feed the fire?,The boy fed the fire.,The boys were taken away and they were shocked.,2.293153640848619,1.88843214715069,-0.40472149369792887,34.94829535484314
Jonathan_2012-11-27_sc90_12,244,yes/no,Did the boy make the bonfire?,The boy made the bonfire.,What happened?,2.1687935267885528,1.7482722501915235,-0.4205212765970292,29.473596811294556
Cory_2013-6-27_sc114_16,245,yes/no,Did the bride and groom like their wedding?,The bride and groom liked their wedding.,I know that it is bad and I like the wedding.,1.8465660464187914,1.5655802175766085,-0.2809858288421829,42.69058108329773
Cory_2013-6-27_sc112_17,246,yes/no,Did the family adopt small puppies?,The family adopted small puppies.,Are you taking over the world?,2.021375060909324,1.5971172560444649,-0.4242578048648593,31.026822328567505
Jonathan_2012-11-27_sc90_12,247,yes/no,Did the family adopt the puppies?,The family adopted the puppies.,My family has already adopted PHD.,2.0476632143425593,1.1669052202487364,-0.8807579940938228,44.65211629867554
Cory_2013-6-27_sc112_17,248,yes/no,Did the family adopt the small puppies?,The family adopted the small puppies.,Six families have been taking over.,1.8245386673137545,1.1844227415950674,-0.640115925718687,37.106382846832275
Cory_2013-6-27_sc112_17,249,yes/no,Did the friends dye their whole heads together?,The friends dyed their whole heads together.,Friends were raining together.,1.8856963111708562,1.294693309482601,-0.5910030016882553,37.36952543258667
Cory_2013-6-27_sc112_17,250,yes/no,Did the friends go camping?,The friends went camping.,Friends were camping.,2.1322520250188455,1.078850940299722,-1.0534010847191235,71.48852944374084
Cory_2013-6-27_sc112_17,251,yes/no,Did the friends go out together?,The friends went out together.,Friends are going together?,1.419909856987722,1.1618197551898417,-0.2580901017978803,56.69996738433838
Cory_2013-6-27_sc114_16,252,yes/no,Did the group of friends arrive at the movie theater?,The group of friends arrived at the movie theater.,Friends gathered together and arrived.,1.3075097825516153,0.7915072099981355,-0.5160025725534798,53.84414196014404
Jonathan_2012-11-27_sc90_12,253,yes/no,Did the kid play at the park?,The kid played at the park.,My kids are now here.,2.0180511434872943,1.5128960689263684,-0.5051550745609259,38.94696235656738
Jonathan_2012-11-27_sc90_12,254,yes/no,Did the kids play at the park?,The kids played at the park.,Now we are going to be having a garden.,1.972084479586732,1.5186618814437554,-0.4534225981429767,30.767440795898438
Cory_2013-6-27_sc112_17,255,yes/no,Did the roommates go out together?,The roommates went out together.,Do you feel afraid to go to competition?,1.7033163828509195,1.4325086245256844,-0.27080775832523507,29.04856503009796
Jonathan_2012-11-27_sc96_17,256,yes/no,Did the students actually obey and listen to the teacher?,The students actually obeyed and listened to the teacher.,The students do really great information.,1.3629688730399157,0.9794189491919403,-0.38354992384797537,40.22705554962158
Cory_2013-6-27_sc114_16,257,yes/no,Did the students really listen to the teacher?,The students really listened to the teacher.,The students were home.,1.413202571583555,1.0272926795813773,-0.38590989200217773,31.843465566635132
Cory_2013-6-27_sc114_16,258,yes/no,Did the teacher clean the classroom?,The teacher cleaned the classroom.,The teacher already had a nice class.,1.6420636506298103,0.9103303440979549,-0.7317333065318554,40.98602533340454
Jonathan_2012-11-27_sc90_12,259,yes/no,Did those friends go camping?,Those friends went camping.,My friends and friends were in Camp.,2.074787513911724,1.2214705850929022,-0.8533169288188218,50.39067268371582
Cory_2013-6-27_sc107_19,260,yes/no,Did those girls arrive on time?,Those girls arrived on time.,And then the girl arrived at the time.,1.8222354663303122,0.9982694986051527,-0.8239659677251595,56.51312470436096
Cory_2013-6-27_sc114_16,261,yes/no,Did you already move to San Diego?,You already moved to San Diego.,"You have already given up, okay?",1.5006099799914019,0.9545300579629838,-0.546079922028418,37.52104640007019
Cory_2013-6-27_sc114_16,262,yes/no,Did you buy a book?,You bought a book.,Do you have been buying a book?,1.8002411322668195,1.0851494807161783,-0.7150916515506411,66.9297993183136
Cory_2013-6-27_sc113_13,263,yes/no,Did you graduate high school?,You graduated high school.,Have you graduated from high school?,1.4522048911700647,0.8995155668644993,-0.5526893243055654,80.62235116958618
Jonathan_2012-11-27_sc98_14,264,yes/no,Did you not pass out?,You did not pass out.,"You don t understand that, you don t understand.",2.556521136991002,1.5654650046066805,-0.9910561323843217,32.015299797058105
Cory_2013-6-27_sc107_19,265,yes/no,Did you take an introduction to linguistics class?,You took an introduction to linguistics class.,You have already taken an introduction to a Japanese class.,0.9196859041557592,0.603379275174217,-0.31630662898154227,46.68417572975159
Jonathan_2012-11-27_sc94_17,266,yes/no,Did your friend drive?,Your friend drove.,My friend already had sign language.,2.4658312774870708,2.230690219684651,-0.23514105780241978,30.33854365348816
Jonathan_2012-11-27_sc96_17,267,yes/no,Did your friends watch a movie at the theater?,Your friends watched a movie at the theater.,My friend saw the performance.,1.6968603860190574,1.1721130969623725,-0.5247472890566849,55.56260347366333
Cory_2013-6-27_sc114_16,268,yes/no,Do I look good in this plaid shirt?,I looked good in this plaid shirt.,"Wow, that was a good thing.",2.424432944816848,1.7231891188238349,-0.7012438259930129,37.82520294189453
Jonathan_2012-11-27_sc96_17,269,yes/no,Do the bride and groom like their wedding?,The bride and groom liked their wedding.,Biden and I don't like to add that.,1.9883268431348855,1.6511229916316708,-0.33720385150321475,27.96691060066223
Cory_2013-6-27_sc107_19,270,yes/no,Do you all agree?,You all agreed.,I agree.,1.556283373799589,1.6926960297860205,0.1364126559864316,65.28487205505371
Cory_2013-6-27_sc114_16,271,yes/no,Do you commute to work by bike?,You commuted to work by bike.,Do you like to work?,2.276060938835144,1.99263515000542,-0.283425788829724,35.46905517578125
Cory_2013-6-27_sc114_16,272,yes/no,Do you enjoy talking with them two?,You enjoyed talking with them two.,How do you feel about chatting with them?,1.4988826903411083,1.3291182817092964,-0.16976440863181197,70.07460594177246
Rachel_2012-01-27_sc56_9,273,yes/no,Do you have class tomorrow?,You have class tomorrow.,There are already tomorrow.,1.4716078116159355,1.3606092993915082,-0.11099851222442725,39.94857668876648
Jonathan_2012-11-27_sc94_17,274,yes/no,Do you have to work all night?,You have to work all night.,You have to take the care of yourself.,1.639950024985498,1.4358963290495532,-0.2040536959359447,42.35312342643738
Jonathan_2012-11-27_sc96_17,275,yes/no,Do you know where to go?,You know where to go.,I don't know what to do.,1.1749253287911414,1.1211854964494705,-0.0537398323416709,62.16328144073486
