video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,631,fingerspelling,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute in Technology.","After two years of high school, I graduated from Rochester Institute of Technology (RIT).",0.776970428403145,0.8129792105820444,0.03600878217889936,65.49513339996338
Rachel_2011-12-08_sc44_15,632,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for Bill Clinton? ""No, I wasn't even old enough to vote when he ran for office.""","They voted for the face of March 1960 and 1961, and they did not have enough tea to operate.",1.2387955621766147,1.2703690886735282,0.03157352649691347,24.3355929851532
Rachel_2011-12-08_sc44_15,633,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for George Bush? ""No, I wasn't that old to vote when he ran for office.""","They voted for the face of March 1960 and 1961, and they did not have enough tea to operate.",1.2387955621766147,1.407619643046759,0.16882408087014422,24.3355929851532
Rachel_2011-12-08_sc44_15,634,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed John McCain.""",Last night the Martha Anger interviewed Sarah Anger in an interview with Sarah Palein.,1.210132299332569,1.290420269065847,0.08028796973327812,36.76449954509735
Rachel_2011-12-08_sc44_15,635,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Tina Fey. ""No, he didn't interview her he interviewed Sarah Palin.""",Last night the Martha Anger interviewed Sarah Anger in an interview with Sarah Palein.,1.210132299332569,1.245294245891273,0.03516194655870408,36.76449954509735
Rachel_2011-12-08_sc44_15,636,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night Stephen Colbert interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""",Last night the Martha Anger interviewed Sarah Anger in an interview with Sarah Palein.,1.210132299332569,1.279044441697074,0.06891214236450516,36.76449954509735
Rachel_2011-12-08_sc45_13,637,fingerspelling,"I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Miami.""","I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Chicago.""","The suggestion is that not if the student is traveling directly to Brown or Brown, it is extremely different if the student is trapped, it does not matter if the student is the only one that is traveling directly from Brown to Brown.",1.0462455255512133,1.0273519699753022,-0.018893555575911103,34.94446277618408
Rachel_2012-02-14_sc66_27,638,fingerspelling,"Intervention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","Prevention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.",The kids study using terms like the other drugs and then they need to stop something that happens and the kids are not behaving in the school.,1.108344827601804,1.1128917934659581,0.004546965864154151,47.223907709121704
Rachel_2011-12-08_sc44_15,639,fingerspelling,"""Mary is a vegetarian isn't she?"" ""No, she had a bbq last month.""","""Steph is a vegetarian isn't she?"" ""No, she had a bbq last month.""",There is a second month of applications in the United States of Alabama.,1.9642484125991662,2.0528100701187975,0.0885616575196313,20.22409290075302
Rachel_2011-12-08_sc44_15,640,fingerspelling,"“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","“Governor Adams is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”",Mayor Bloomberg is the fourth outside of the dry sun and fourth in the dry sun.,1.5320436589297701,1.6174445702147877,0.08540091128501759,35.88284254074097
Rachel_2011-12-08_sc45_13,641,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers for home.""","Pennsylvania does not know what to do with computer materials, but Pennsylvania does not know what to do at home.",1.2164293117821217,1.2480856298282743,0.031656318046152654,37.74605393409729
Rachel_2011-12-08_sc45_13,642,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""John doesn't know how to use a computer."" ""No, John is a genius. He has three computers at home.""","Pennsylvania does not know what to do with computer materials, but Pennsylvania does not know what to do at home.",1.2164293117821217,1.3068375115593274,0.09040819977720571,37.74605393409729
Rachel_2011-12-08_sc44_15,643,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Greg Abbott is a Mormon."" ""No, Mitt Romney is a Mormon, not Greg Abbott.”",The flight of Perry's experiences and the perspectives of the person was the one who experienced themselves as a person or a person of color.,1.9155712016437152,2.1247941579718095,0.2092229563280943,30.594053864479065
