video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.",There is a lot of people who are deaf or hard of hearing and hard of hearing people who are deaf or hard of hearing and hard of hearing.,1.1929833804825685,1.189429743191864,-0.00355363729070457,41.93075895309448
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.",It's nice to have something wrong with you buying your words.,1.399427581874151,1.409598961357887,0.01017137948373592,29.46784496307373
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,I DON'T KNOW HISTORY.,0.9610198719799519,0.9251690915284249,-0.03585078045152701,40.82712531089783
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.",I don't think you're planning to answer this question if you want to answer this question.,0.9400621918089027,0.9536071007174475,0.013544908908544762,44.87529993057251
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.","I like it, I like it, I like it, I like it, I read it inside.",1.1901859355216124,1.2888055107026708,0.09861957518105835,44.77537274360657
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,I see your friends tomorrow and I'm thrilled.,0.8522152667089055,0.7812762878090144,-0.07093897889989109,70.70664763450623
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.",IF YOUR FRIENDS GET TOGETHER AND GET TOGETHER AND GET TOGETHER AND GET TOGETHER.,1.2390895925584386,1.3670125400854483,0.1279229475270096,30.399656295776367
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.","JOEL: If the interpreter is going to be proven, it is a strange situation a little bit stranger.",0.961498899548723,1.0465130567298098,0.08501415718108674,39.20105695724487
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU K, YOU K, YOU K, YOU K, YOU KNOW, YOU KNOW, YOU KNOW, YOU K, YOU K, YOU K, YOU K, YOU K, YOU K, YOU K, YOU K, YOU K, YOU K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K, K",1.2676856543483406,1.3659370368283785,0.09825138248003795,40.68834185600281
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","IF YOUR ROAD TAKES SOMETHING, SOMETHING THAT HAS TO DO WITH SOMETHING, SOMETHING THAT HAS TO DO WITH SOMETHING, SOMETHING THAT HAS TO DO WITH SOMETHING, SOMETHING THAT HAS TO BE FEEDING.",1.1703787726572656,1.2237804339631744,0.05340166130590873,13.46924901008606
Jonathan_2012-11-27_sc97_19,811,conditional,"If Bob goes to the post office, I will give him all of my mail so he can drop it off.","When Bob goes to the post office, I will give him all of my mail so he can drop it off.",I'm going to tell you all my letters because you can send it to me.,1.1013933213990788,1.1943230553191493,0.09292973392007053,47.37880229949951
Cory_2013-6-27_sc115_17,812,conditional,"If Bob goes to the post office, I will give him my letters to drop off.","When Bob goes to the post office, I will give him my letters to drop off.",I want to share my letter with you if you are a BBD for me.,1.176964012440294,1.308442784070566,0.13147877163027188,39.030641317367554
Jonathan_2012-11-27_sc92_13,813,conditional,"If Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.","When Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.",ICEP BOB WAS ONE OF THE FAMOUS APPROACHES THAT I HAD TO DO WITH THE BEEFIE TO MAKE SURE THAT IT WAS CONTINUING.,1.1708364982354014,1.2801018178309362,0.10926531959553487,33.31937491893768
