video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,The boys were burning.,2.1219798131949372,2.141744566336274,0.019764753141336744,40.40667414665222
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,The concept is made of beefying.,2.73020553768233,2.5641689497977493,-0.16603658788458064,28.284448385238647
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,The benfire is the most difficult thing to do with the benfire.,2.5869832530617716,2.3305892250367575,-0.2563940280250141,38.97691369056702
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,"When he was presenting in Japan, he was bored and was looking at him.",1.4482267243930926,1.4981488417834044,0.049922117390311715,23.821502923965454
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,Many Deaf people have dealt with voice and their concept of voicing.,0.8805586741963292,0.9060189972670984,0.025460323070769286,54.232949018478394
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,Many Deaf people use their voice and documentation to voice as well.,1.1861242931049603,1.1895005516183208,0.0033762585133605416,47.2980797290802
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.","In the past, the teachers of the panel learned that the students acquired the laughter lessons in laughter showed that the culture was based on the ideas of using range of voice used from spoken to laughter.",1.1715915636595493,1.1738534854704383,0.0022619218108890227,46.02283835411072
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.","When the president leaves, he will speak with the commander.",0.9954358891273538,1.0555452777189203,0.06010938859156645,51.983851194381714
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,The man leaves with him.,1.2260632508054927,1.2132926521556717,-0.012770598649820997,51.32341384887695
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,How does Deaf people voice rather than that?,1.2192506751214915,1.268846376463771,0.04959570134227942,48.65100383758545
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,How do you feel through it?,1.1306752557866275,1.1988562016498925,0.06818094586326495,39.06102180480957
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","I read that myself, and I really didn t have a good lip reading, but it started to mean that I had a good idea that it was equal to hearing people.",1.159000995696116,1.1372271967580134,-0.021773798938102606,41.04272723197937
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",There are many characteristics that do not know these types of characteristics from speaking knowledge.,1.4549471620274217,1.4708440077334348,0.01589684570601313,40.657973289489746
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,This is a bad weather part of the Boston storm.,1.3743170548129726,1.4220786897465587,0.047761634933586095,52.93852686882019
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,Bernick Ebaca is a language level base.,1.7024237734731287,1.7399721552546208,0.03754838178149211,24.161729216575623
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,Barman is named the sign for interpretation as the climate distance.,1.4657220662633579,1.4984952874481678,0.032773221184809964,32.99197554588318
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",The leg suggests that Farnish and others are hearing.,1.1640080790259415,1.2186875702103688,0.054679491184427276,20.16831636428833
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,My name is Crend Bragg and I will explain to you about his experience in class.,0.8232664774016788,0.9809110109817307,0.15764453358005193,68.49886775016785
8-Ben-Control-of-sound-places_12,122,negation-reversed,"Bill Ennis told a great story about ""bubbles"".","Bill Ennis didn't tell a great story about ""bubbles"".",Bill Ennies said in a great discussion about burbles.,1.3486660058669588,1.3828219763796639,0.034155970512705025,61.84074878692627
Cory_2013-6-27_sc114_16,123,negation-reversed,Bob frequently gives his sweetheart roses.,Bob doesn't frequently give his sweetheart roses.,The ball gives him a delicious eye.,1.5202784894337489,1.439822783023119,-0.08045570641062993,28.003203868865967
Cory_2013-6-27_sc114_16,124,negation-reversed,Bob gave a rose to his wife because it's their anniversary today.,Bob didn't give a rose to his wife because it's not their anniversary today.,Back had been passed back to Dentist's wife because of his festival.,0.9227425602800918,0.9625865172643167,0.039843956984224826,37.36216127872467
Jonathan_2012-11-27_sc96_17,125,negation-reversed,Bob gave roses to his girlfriend.,Bob didn't give roses to his girlfriend.,Turn to Cob and give him a dog.,1.4746838306241177,1.3984277194774732,-0.07625611114664443,22.204822301864624
Jonathan_2012-11-27_sc96_17,126,negation-reversed,Bob goes to the post office.,Bob doesn't go to the post office.,Bobby goes to P.E.,1.111882833699728,1.111526376328298,-0.00035645737142986356,53.146183490753174
Jonathan_2012-11-27_sc96_17,127,negation-reversed,Bob has a big dog.,Bob doesn't have a big dog.,Bob is a big dog.,1.2581898779853393,1.2157235302563225,-0.04246634772901681,78.21496725082397
Jonathan_2012-11-27_sc97_19,128,negation-reversed,Bob hates reading books.,Bob doesn't hate reading books.,I love reading a book.,1.6044061081111431,1.427859915071167,-0.1765461930399761,42.32487082481384
Jonathan_2012-11-27_sc96_17,129,negation-reversed,Bob needs to go to the post office because he needs stamps.,Bob doesn't need to go to the post office because he doesn't need stamps.,Why do you need to go to the home?,0.9699736539895336,0.8939683372909958,-0.07600531669853783,34.515488147735596
Cory_2013-6-27_sc114_16,130,negation-reversed,Bob needs to go to the post office to buy stamps.,Bob doesn't need to go to the post office to buy stamps.,Mother needs to go to the Postal Service because she needs to buy purchases.,0.9205786641687155,0.8632362428725812,-0.057342421296134316,52.61331796646118
Cory_2013-6-27_sc114_16,131,negation-reversed,Bob read a book.,Bob didn't read a book.,Read the book.,1.6129559751819162,1.615801374738415,0.002845399556498762,61.654675006866455
Jonathan_2012-11-27_sc96_17,132,negation-reversed,Bob read a book.,Bob didn't read a book.,Books,1.5122595449142597,1.637647431033353,0.12538788611909335,17.828035354614258
Cory_2013-6-27_sc114_16,133,negation-reversed,Bob sent a letter.,Bob didn't send a letter.,Back to the mail.,1.0393995221116041,1.12212788944061,0.08272836732900579,28.50305438041687
Cory_2013-6-27_sc114_16,134,negation-reversed,Bob went to the post office.,Bob didn't go to the post office.,The company goes to the post office.,0.8324632848901995,0.9792509202790611,0.14678763538886164,42.66595244407654
Rachel_2012-01-27_sc52_11,135,negation-reversed,Bob works at the bike store.,Bob doesn't work at the bike store.,He works at a bicycling store.,0.9505972131316004,1.0019941854601104,0.05139697232851004,68.91788840293884
Cory_2013-6-27_sc107_19,136,negation-reversed,Boston is a great city.,Boston isn't a great city.,Boston is a wonderful town.,0.8921068026684225,1.150357554908152,0.2582507522397295,85.7130229473114
7-Ben-Social-Msg_7,137,negation-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Both of these cases don't basically involve the range of cultural acceptance for making noise.,These are basically made in cultural acceptance of range.,1.025066090391928,1.0164939990953394,-0.008572091296588535,44.00530457496643
2-Ben-Voice-Identity_15,138,negation-reversed,but the interpreter is speaking with a very high pitched voice.,but the interpreter isn't speaking with a very high pitched voice.,"From the interpreter, there is a high period of time.",1.214407543069683,1.276757176798671,0.06234963372898794,42.563462257385254
Rachel_2012-01-27_sc51_11,139,negation-reversed,"Cousin John's car broke down, do you remember?","Cousin John's car didn't break down, do you remember?",Why does California facilitate the car?,1.2686051176266466,1.3450166676883344,0.07641155006168776,22.19485640525818
Rachel_2012-01-27_sc50_10,140,negation-reversed,Dad is like me. He likes chocolate cereal.,Dad is not like me. He likes chocolate cereal.,Why do you like touching the codes?,1.6623822535539783,1.5561791226426338,-0.10620313091134448,20.454321801662445
Cory_2013-6-27_sc110_14,141,negation-reversed,"Dad likes chocolate cereal, like me.","Dad doesn't like chocolate cereal, like me.",Dad likes chocolate too.,1.1623196414596326,1.1379475956782699,-0.02437204578136276,60.970354080200195
Rachel_2012-01-27_sc50_10,142,negation-reversed,Dad likes chocolate cereal.,Dad doesn't like chocolate cereal.,Dad tends to touch the forest.,1.5548494750899928,1.4620474589722496,-0.09280201611774319,27.17195749282837
Cory_2013-6-27_sc107_19,143,negation-reversed,Demi Moore's first husband was Bruce Willis.,Demi Moore's first husband wasn't Bruce Willis.,"Demimore's first husband, Bulceria.",1.4125849439038172,1.7146578514172386,0.3020729075134214,37.443119287490845
5-Ben-Deaf-Grunts_19,144,negation-reversed,"Each time they hit the ball, the players grunt, it happens often throughout the game.","Each time they don't hit the ball, the players grunt, it happens often throughout the game.",All the voices have been taken away and driven regularly.,1.263016168114751,1.2791957799345255,0.016179611819774564,35.395747423172
4-Ben-Deaf-Speech_19,145,negation-reversed,Even when Deaf people are working or involved with business tasks.,Even when Deaf people are not working or involved with business tasks.,Even including deaf employees who work in business activities.,0.8508093654553393,0.8809400765933622,0.030130711138022903,70.57132124900818
Rachel_2012-02-14_sc63_13,146,negation-reversed,Everyone knows that John left to drive to Maine.,Everyone doesn't know that John left to drive to Maine.,"With his knowledge, he left the mire.",1.3818004345711397,1.4038425917471093,0.02204215717596969,31.27593994140625
Jonathan_2012-11-27_sc90_12,147,negation-reversed,Father arrived home late at night.,Father didn't arrive home late at night.,"At night, his father arrived late.",1.1570274646793093,1.331709460696069,0.17468199601675982,63.1511390209198
