video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,631,fingerspelling,"... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute of Technology.","... for two years, when I was a junior and then a senior in high school. After I graduated from high school, I went to R.I.T., Rochester Institute in Technology.","Two years later, I graduated from Rochester Institute of Technology (RIT).",0.8117372940673873,0.8441364492209237,0.03239915515353642,61.22419238090515
Rachel_2011-12-08_sc44_15,632,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for Bill Clinton? ""No, I wasn't even old enough to vote when he ran for office.""","&gt;&gt; CHRISTOPHER JOHNSON: The election day is October 3, 2012, 2016 and 2016, we have Annie and I have a little bit of exposure to the running road.",1.3275732425672393,1.3300738049314378,0.0025005623641984887,18.440528213977814
Rachel_2011-12-08_sc44_15,633,fingerspelling,"Did you vote for George Bush? ""No, I wasn't even old enough to vote when he ran for office.""","Did you vote for George Bush? ""No, I wasn't that old to vote when he ran for office.""","&gt;&gt; CHRISTOPHER JOHNSON: The election day is October 3, 2012, 2016 and 2016, we have Annie and I have a little bit of exposure to the running road.",1.3275732425672393,1.4456888376626857,0.11811559509544645,18.440528213977814
Rachel_2011-12-08_sc44_15,634,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed John McCain.""","&gt;&gt; CHRISTOPHER JOHNSON DERNIE: Hi, I'm Jonathan Cagard, and this is Martha Anger.",1.3060835179251928,1.3100983812473714,0.004014863322178597,15.978212654590607
Rachel_2011-12-08_sc44_15,635,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night John Stewart interviewed Tina Fey. ""No, he didn't interview her he interviewed Sarah Palin.""","&gt;&gt; CHRISTOPHER JOHNSON DERNIE: Hi, I'm Jonathan Cagard, and this is Martha Anger.",1.3060835179251928,1.4199907430275172,0.11390722510232432,15.978212654590607
Rachel_2011-12-08_sc44_15,636,fingerspelling,"Hey last night John Stewart interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","Hey last night Stephen Colbert interviewed Sarah Jessica Parker. ""No, he didn't interview her he interviewed Sarah Palin.""","&gt;&gt; CHRISTOPHER JOHNSON DERNIE: Hi, I'm Jonathan Cagard, and this is Martha Anger.",1.3060835179251928,1.3741483721670096,0.06806485424181674,15.978212654590607
Rachel_2011-12-08_sc45_13,637,fingerspelling,"I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Miami.""","I suggest that you don't fly with American Airlines because their plane tickets are expensive. ""No. Well, yes, they are probably expensive but if they are really expensive, I'm stuck because they are the only one with a direct flight from Boston to Chicago.""","JENNIFER: So, if you feel like you're a straight song, you're not going to feel like you're a straight song, you're not going to feel like you're a straight song, you're not going to feel like you're a straight song, you're not going to feel like you're a straight song.",1.0453959196689993,1.016016433166491,-0.029379486502508323,28.720813989639282
Rachel_2012-02-14_sc66_27,638,fingerspelling,"Intervention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","Prevention implies the need of intervening such as an intervention for drug addicts, stopping something from happening, or when a kid is not behaving well.","JOHN TOMKOWIAK: President Schulz, it",1.1637739235228752,1.1586184803014383,-0.005155443221436906,-1.1257320642471313
Rachel_2011-12-08_sc44_15,639,fingerspelling,"""Mary is a vegetarian isn't she?"" ""No, she had a bbq last month.""","""Steph is a vegetarian isn't she?"" ""No, she had a bbq last month.""","JOHN TOMKOWIAK: President Schulz, it",1.9487814580400784,2.0277039192394533,0.07892246119937485,-0.25334954261779785
Rachel_2011-12-08_sc44_15,640,fingerspelling,"“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","“Governor Adams is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","This is Mayor Blamberg, and this is the summer of October 4th.",1.656752576593493,1.6194261642219114,-0.03732641237158152,30.64439296722412
Rachel_2011-12-08_sc45_13,641,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers for home.""",There are seven people who are six years old and six years old and they have nine children.,1.3213861828500575,1.370822507366538,0.04943632451648061,27.1994411945343
Rachel_2011-12-08_sc45_13,642,fingerspelling,"""Pete doesn't know how to use a computer."" ""No, Pete is a genius. He has three computers at home.""","""John doesn't know how to use a computer."" ""No, John is a genius. He has three computers at home.""",There are seven people who are six years old and six years old and they have nine children.,1.3213861828500575,1.3861656327440282,0.06477944989397066,27.1994411945343
Rachel_2011-12-08_sc44_15,643,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Greg Abbott is a Mormon."" ""No, Mitt Romney is a Mormon, not Greg Abbott.”","JOHN TOMKOWIAK: President Schulz, it",1.864641805523879,2.0671175763785063,0.20247577085462742,3.139246255159378
Rachel_2011-12-08_sc44_15,644,fingerspelling,"""Rick Perry is a Mormon."" ""No, Mitt Romney is a Mormon, not Rick Perry.""","""Rick Perry is a Mormon."" ""No, John Curtis is a Mormon, not Rick Perry.""","JOHN TOMKOWIAK: President Schulz, it",1.864641805523879,1.843475859561195,-0.02116594596268384,3.139246255159378
Rachel_2011-12-08_sc44_15,645,fingerspelling,"""Today is the last day of the semester right?"" ""No next week is. We still have one more week of class.""","""Today is the last day for the semester right?"" ""No next week is. We still have one more week of class.""",&gt;&gt; CHRISTOPHER JOHNSON: Come and join us for the next two weeks.,1.2844672548011518,1.3114993390228067,0.02703208422165493,19.732287526130676
Rachel_2011-12-08_sc44_15,646,fingerspelling,"You're going to run in the Boston Marathon right? ""No I haven't ran and I don't plan on starting""","You're going to run in the Boston Competition right? ""No I haven't ran and I don't plan on starting""","Jennifer: Your game is Bomaridge, yourself, yourself, so I haven't played a game yet, so I haven't played a game yet.",1.3736085917192453,1.3397453691773484,-0.03386322254189689,24.670083820819855
Jonathan_2012-11-27_sc90_12,647,fingerspelling,A boy is making a bonfire.,A boy is making a snowman.,THIS BOY WAS PRODUCED IN THE BURNING OF BONE FIRE.,1.6549901053033493,2.1790185635564505,0.5240284582531012,33.65600109100342
Jonathan_2012-11-27_sc90_12,648,fingerspelling,A boy maintained the bonfire.,A boy maintained the snowman.,What do you think of the beneficial properties that you want to do with the beneficiency?,2.0229646078000467,1.984348353619377,-0.03861625418066983,29.381218552589417
2-Ben-Voice-Identity_15,649,fingerspelling,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person approches you and they don't talk, suppose they're quiet, and you're trying to figure them out.",THE DEAF PERSON IS ALWAYS TALKING ABOUT MORE ABOUT SOMETHING.,1.3074572362142418,1.2863051890988242,-0.021152047115417627,22.517363727092743
6-Ben-Control-of-Sound_4,650,fingerspelling,A different area is the control of sounds.,A different area is the control on sounds.,AND I WANT TO TALK ABOUT THE MUSIC AND THE OTHER POSITIONS THAT WE HAVE IN THE POSITION.,1.4504067148406838,1.648856938491727,0.19845022365104326,38.20139169692993
4-Ben-Deaf-Speech_19,651,fingerspelling,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the semantics linguistics class is boring.,THE FIRST PRESENTATION WAS WHEN I WAS TALKING WITH JAPANESE PEOPLE WHO WERE BORED IN THE SCHOOL FOR THE DEAF.,1.410659384473667,1.4317896102574912,0.021130225783824175,23.315486311912537
4-Ben-Deaf-Speech_19,652,fingerspelling,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people use speaking. I'd say there is a range.,MANY DEAF PEOPLE USE VOICE TO USE VOICE OR VOICE.,1.1263020062102722,1.2730143167322776,0.1467123105220054,38.46762180328369
2-Ben-Voice-Identity_15,653,fingerspelling,"Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...","Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's shape, height, weight, age, race, gender, sexual orientation...",SOMETIMES THERE IS A SEXUAL ORIENTATION OR A SEXUAL ORIENTATION.,1.1729533045180143,1.1823698875508202,0.009416583032805903,20.44130116701126
2-Ben-Voice-Identity_15,654,fingerspelling,"Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...","Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, ethnicity, gender, sexual orientation...",SOMETIMES THERE IS A SEXUAL ORIENTATION OR A SEXUAL ORIENTATION.,1.1729533045180143,1.1580961820737619,-0.014857122444252413,20.44130116701126
2-Ben-Voice-Identity_15,655,fingerspelling,"Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...","Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual preferences...",SOMETIMES THERE IS A SEXUAL ORIENTATION OR A SEXUAL ORIENTATION.,1.1729533045180143,1.2445929822698236,0.07163967775180935,20.44130116701126
2-Ben-Voice-Identity_15,656,fingerspelling,and an interpreter over here and they feel the experience of tracking who is speaking.,and an interpreter over here and they feel the experience at tracking who is speaking.,"THE INTERPRETER WAS THERE, AND THE INTERPRETER WAS THERE, AND THE INTERPRETER WAS THERE, AND THE INTERPRETER WAS THERE.",1.0575045020929699,1.1666804731919849,0.109175971099015,39.68317210674286
2-Ben-Voice-Identity_15,657,fingerspelling,"and even worse, whose is the voice that you're associating with a persona.","and even worse, whose is the voice that you're associating with a character.",THERE'S A LOT OF DIFFERENT THINGS THAT WE CAN DO IN THE SAME WAY.,1.389809878518184,1.3261978305489213,-0.06361204796926279,27.49791145324707
6-Ben-Control-of-Sound_4,658,fingerspelling,and how Deaf people form their voice range.,and how Deaf people form their voice variety.,THERE'S A LOT OF DIFFERENT THINGS THAT WE CAN DO TO DEAF PEOPLE IN THE UNITED STATES.,1.5573710692538456,1.568165251256331,0.010794182002485497,35.6865257024765
Cory_2013-6-27_sc107_19,659,fingerspelling,Ann hates fish but likes chicken.,Beth hates fish but likes chicken.,AND THEN THE BIRD LEFT THE GUITAR AND THEN THE GUITAR LEFT THE GUITAR.,2.0192183711949516,1.9136347646159786,-0.10558360657897303,22.38299250602722
8-Ben-Control-of-sound-places_12,660,fingerspelling,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate pieces of popcorn pretty loudly.",AND THEN WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL AND WE WERE GOING TO GO BACK TO SCHOOL.,1.715982743581249,1.4877068335725658,-0.22827591000868308,26.776856184005737
Rachel_2011-12-08_sc45_13,661,fingerspelling,Are Jen and Joe married?,Are Lisa and Joe married?,"When you're married, you're keeping your hands up.",2.5049583128094675,2.1634103501072297,-0.34154796270223775,24.607807397842407
Rachel_2011-12-08_sc45_13,662,fingerspelling,Are Jen and Joe married?,Are Jen and David married?,"When you're married, you're keeping your hands up.",2.5049583128094675,2.2107676489761583,-0.29419066383330916,24.607807397842407
Cory_2013-6-27_sc109_21,663,fingerspelling,Are Jen and Joe married?,Are Lisa and Joe married?,THIS IS JOHN INITIALLY AND THE TWO OF US MARRIED.,2.359594859480858,2.061281229154422,-0.2983136303264362,24.792739748954773
Cory_2013-6-27_sc109_21,664,fingerspelling,Are Jen and Joe married?,Are Jen and David married?,THIS IS JOHN INITIALLY AND THE TWO OF US MARRIED.,2.359594859480858,2.1355315936660326,-0.22406326581482539,24.792739748954773
Rachel_2012-02-14_sc66_27,665,fingerspelling,"Ask another group, the CRASHED group about the car and whether if the glass is broken.","Ask another group, the DAMAGED group about the car and whether if the glass is broken.","JOHN TOMKOWIAK: President Schulz, it",1.5342499016859066,1.608066434618728,0.07381653293282131,9.055587649345398
Rachel_2012-02-14_sc66_27,666,fingerspelling,Ask the next group how fast were the cars going before they COLLIDED.,Ask the next group how fast were the cars going before they HIT.,Jennifer: How are you going to do ten cars easily where you like to go?,1.5421424345246384,1.6650029306228344,0.12286049609819605,31.31542205810547
