video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,"Not those who are voiced, they can hear that they are a mess.",1.2449534864139717,1.3233968389497415,0.07844335253576973,35.733482241630554
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...","In deep voice, qui voices are not specifically specific, but I am not saying that I have the underlying assumptions.",0.9547818496121444,1.036766443937588,0.0819845943254437,43.771129846572876
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",The worst thing is that the voice of the voice is the C.,1.1945449848969778,1.1644666478037835,-0.030078337093194296,41.62107706069946
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,We need to describe what is going to look like.,1.6248455680906773,1.7197078128881527,0.0948622447974754,41.07639193534851
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,Sensitive conversations with the chessica density.,1.3256376211616125,1.4300183813680303,0.10438076020641773,33.0303430557251
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,Clothing vacations are on style.,1.4525843129282998,1.6014615412929962,0.1488772283646964,41.58191680908203
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,Where is your clothes all at?,1.2329399249516428,1.391092891657823,0.15815296670618006,54.13550138473511
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,When did he arrive home?,1.263569654318793,1.3674550064440285,0.10388535212523542,75.28208494186401
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,The father arrived home and then arrived.,1.425533730408241,1.4542832324015242,0.0287495019932833,43.00430417060852
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,"Johnson lived last year in Washington, DC.",1.3586933094887965,1.3563112676914395,-0.002382041797357015,54.424870014190674
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,"In the car, Mary was buying a car.",1.4571317959990766,1.3319916414240232,-0.12514015457505345,44.24269199371338
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,What do your friends do?,1.2894396705863376,1.6650810607749482,0.37564139018861065,73.40431809425354
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,Friends what do they do?,1.414975443078826,1.6879533224779626,0.27297787939913665,67.02964305877686
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,Friends and friends have been laughing with their heads.,1.2361136386791864,1.2669795483350754,0.03086590965588898,35.595643520355225
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,Where do you buy a car?,1.1627321310893253,1.1788856199383735,0.016153488849048214,82.75137543678284
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,When did you graduate from high school?,0.8609903694263527,0.9927483579034314,0.13175798847707876,89.05812501907349
Jonathan_2012-11-27_sc94_17,524,wh-question,When did you graduate high school?,How did you graduate high school?,You don't have to graduate from high school.,1.1054533075009074,0.9977643430671271,-0.10768896443378029,50.04613995552063
Cory_2013-6-27_sc115_17,525,wh-question,Why did you pass out last night?,How did you pass out last night?,"Last night, why did you last night?",1.0589815843285937,1.201596212658015,0.1426146283294214,46.242207288742065
Cory_2013-6-27_sc113_13,526,wh-question,Where did you put the tree?,How did you put the tree?,You put the tree in there.,1.1463052460125513,1.115351681669171,-0.030953564343380258,67.2470211982727
Jonathan_2012-11-27_sc94_17,527,wh-question,When did your friend start driving?,How did your friend start driving?,"First, he started driving at the burn.",1.4066672506224778,1.2679623600627694,-0.13870489055970836,35.74567437171936
Rachel_2012-02-09_sc57_9,528,wh-question,Where do we go if there's an emergency?,How do we go if there's an emergency?,Back or going to the minute.,1.7525437518022955,1.643794648741421,-0.10874910306087449,22.033408284187317
Cory_2013-6-27_sc113_13,529,wh-question,When do you finish work?,How do you finish work?,He completed his work when he completed his work.,1.4741074387729167,1.2865195802102487,-0.18758785856266802,53.096526861190796
Cory_2013-6-27_sc113_13,530,wh-question,Why do you hate video games?,How do you hate video games?,Why do you hate texting?,1.1652880479292622,1.2881631729160916,0.1228751249868294,40.31587243080139
Cory_2013-6-27_sc113_13,531,wh-question,Where do you plan to travel?,How do you plan to travel?,Where do you plan to travel?,0.9189624529460381,0.9568462861632859,0.037883833217247864,98.81955981254578
Jonathan_2012-11-27_sc98_14,532,wh-question,When do you want the BBQ to be?,How do you want the BBQ to be?,Why do you think the CPP is a little bit lower?,1.6870488022686914,1.6907155709641595,0.0036667686954681145,27.360814809799194
Jonathan_2012-11-27_sc94_17,533,wh-question,Why do you work all night?,How do you work all night?,Why do you work overnight?,1.0092469583506938,1.246727436642956,0.23748047829226215,79.38699722290039
Cory_2013-6-27_sc113_13,534,wh-question,Why do you work all night?,How do you work all night?,Why do you work overnight?,0.871364569498433,1.1397994355195098,0.2684348660210768,79.38699722290039
Rachel_2011-12-08_sc45_13,535,wh-question,Why is dad upset? I have no idea...,How is dad upset? I have no idea...,The father has been given to him.,1.8721919730305672,1.9206507843401697,0.0484588113096025,30.60573935508728
Cory_2013-6-27_sc109_21,536,wh-question,Why is father upset?,How is father upset?,The father was admitted to this because he was here.,2.04610167656626,2.341844265127466,0.2957425885612057,37.28871047496796
Cory_2013-6-27_sc115_17,537,wh-question,Who is he/she?,How is he/she?,Who is the point?,1.7193720976511637,2.8171831955512365,1.0978110979000728,36.60999536514282
Cory_2013-6-27_sc109_21,538,wh-question,Why is Jack nauseated?,How is Jack nauseated?,Jack is the reason why.,2.3408602876183777,2.4476817154689976,0.10682142785061988,43.99712681770325
Jonathan_2012-11-27_sc95_15,539,wh-question,Where is the food store?,How is the food store?,And the market is the market.,1.6282585150003432,1.8424289816099664,0.21417046660962313,30.029696226119995
Cory_2013-6-27_sc113_13,540,wh-question,Where is the grocery store?,How is the grocery store?,Where is the grocery store?,1.0704881346651487,1.249643702346545,0.1791555676813963,100.12339353561401
Cory_2013-6-27_sc107_19,541,wh-question,Why is the teacher upset?,How is the teacher upset?,The teacher was upset because,1.116713575588969,1.4773328275634692,0.3606192519745002,72.0430314540863
Jonathan_2012-11-27_sc94_17,542,wh-question,Where is the video phone that you want?,How is the video phone that you want?,Where do you want to go?,1.2497473415918647,1.4549675252484648,0.2052201836566001,39.12990689277649
Cory_2013-6-27_sc113_13,543,wh-question,Why is your friend addicted to surfing the internet?,How is your friend addicted to surfing the internet?,Why are your friends addicted to their addiction?,0.9456560510509419,1.0541350974367474,0.10847904638580552,45.612144470214844
Jonathan_2012-11-27_sc94_17,544,wh-question,Why is your friend addicted to the Internet?,How is your friend addicted to the Internet?,Why are your friends on the internet?,0.9973724808957841,1.0347098847230276,0.03733740382724349,53.8526177406311
Rachel_2012-01-27_sc50_10,545,wh-question,Why isn't there any pineapple cream cheese?,How isn't there any pineapple cream cheese?,This is because there is no movie.,1.567240066741678,1.7427044017240405,0.17546433498236258,31.10489845275879
Cory_2013-6-27_sc113_13,546,wh-question,What's your job?,How’s your job?,What do you work for?,1.3754754346959732,2.164610117673874,0.7891346829779007,65.94052314758301
Rachel_2012-01-27_sc50_10,547,wh-question,I like chocolate cereal but there isn't any. Why is that?,I like chocolate cereal but there isn't any. How is that?,"I like filtering fever, but why?",0.8453706702024772,0.9076159863636412,0.06224531616116391,28.772777318954468
Cory_2013-6-27_sc111_12,548,wh-question,"If there's an emergency, where will you go?","If there's an emergency, how will you go?","If you go to an emergency, where do you go?",0.7175684636458755,0.8389606979631242,0.12139223431724877,70.31769156455994
Jonathan_2012-11-27_sc98_14,549,wh-question,Mother looks sick? How?,Mother looks sick? Why?,How do you need a blood tree?,2.4208571749428907,2.566259906316797,0.14540273137390614,28.391873836517334
Cory_2013-6-27_sc109_21,550,wh-question,"No, I'm not scared of heights. What makes you think that?","No, I'm not scared of heights. Who makes you think that?",I am not scared of being high and what makes you think of it.,0.8561140747805094,0.9620867427765277,0.10597266799601834,57.85000920295715
