video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc107_19,1006,numbers,Demi Moore's first husband was Bruce Willis.,Demi Moore's second husband was Bruce Willis.,The father of the father is the father of the father.,2.011032832827833,1.916932533778574,-0.09410029904925898,27.02808678150177
Cory_2013-6-27_sc107_19,1007,numbers,The movie starts at 7.,The movie starts at 8,This is the sign for the chest to speak.,1.9658548896727355,1.8979235305027529,-0.06793135916998261,20.353351533412933
Cory_2013-6-27_sc107_19,1008,numbers,"When you get the book, read chapter two.","When you get the book, read chapter three.",There are three genetic two genetics.,1.5209250563710202,1.5763829269901264,0.05545787061910623,29.981690645217896
Cory_2013-6-27_sc107_19,1009,numbers,Do you think Obama will be elected again for his second term as president?,Do you think Obama will be elected again for his third term as president?,The first thing that you can do is you want to know is that you are the president of the Deaf community.,1.2722873184084893,1.3279159297109455,0.05562861130245622,27.783650159835815
Jonathan_2012-11-27_sc95_15,1010,numbers,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.","Last night, I played a close game of basketball with my friend. The score was 30-29 when it ended.",I love my mom and I love her and I love her and I love her.,1.4407947547357491,1.4450847152056117,0.004289960469862519,25.184530019760132
Cory_2013-6-27_sc107_19,1011,numbers,Wow! That watch costs three thousand dollars!,Wow! That watch costs two thousand dollars!,This is the sign for the strongest part of the world.,1.716098648779418,1.678835491480475,-0.03726315729894303,29.814159870147705
Rachel_2011-12-08_sc44_15,1012,numbers,"""There's no homework for History class right?"" ""No, we have homework, We have to write a three page paper.""","""There's no homework for History class right?"" ""No, we have homework, We have to write a four page paper.""",He thought he was bigger than the other person than the other person than the other.,1.5739531408719443,1.6242751355204628,0.0503219946485185,27.32035517692566
Rachel_2012-02-14_sc66_27,1013,numbers,There is one interesting study. What the study did they grouped people together and have them watch a video clip of car accident.,There are two interesting studies. What the studies did they grouped people together and have them watch a video clip of car accident.,"The first one was from the ages of 18, and the first one was from the International World War II.",1.416298575899922,1.3541812254874794,-0.062117350412442596,31.156739592552185
Rachel_2012-02-14_sc66_27,1014,numbers,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or five different words/groups.,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or six different words/groups.,The first thing that I want to share with you is the most popular thing I want to share with you is the most people who live in the world.,1.667867392175705,1.6783062673496956,0.010438875173990558,35.49714684486389
Rachel_2012-02-14_sc66_27,1015,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty to forty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,It will be a championship.,1.4166358881660046,1.4112161879802678,-0.005419700185736787,14.708170294761658
Rachel_2012-02-14_sc66_27,1016,numbers,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".","The second thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".",He loves the moon and loves the moon.,1.1771403897973085,1.2052116120038063,0.028071222206497826,15.975037217140198
Rachel_2012-02-14_sc66_27,1017,numbers,"The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are seven specialists for only two parents. Wow.","The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are eight specialists for only two parents. Wow.",The most professors were to go out of the world when they were thirsty and they were championed with the championship.,1.1855853545773578,1.1873352328609479,0.0017498782835900784,26.84253752231598
Rachel_2012-02-14_sc66_27,1018,numbers,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".","It is very intimidating. There will be six professionals informing the two parents that their child seem to be sick or have the ""cancer"".",The majority of the House needs to vote to impeach the President to send the process to the Republican-,1.1429659892405784,1.1883759928624267,0.04541000362184833,17.8144633769989
Rachel_2012-02-14_sc66_27,1019,numbers,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".","It is very intimidating. There will be seven professionals informing the one parent that their child seem to be sick or have the ""cancer"".",The majority of the House needs to vote to impeach the President to send the process to the Republican-,1.1429659892405784,1.2001318107191608,0.0571658214785824,17.8144633769989
Rachel_2012-02-14_sc66_27,1020,numbers,"It seems that parents must choose one between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options.","It seems that parents must choose two between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options.","The European man, the Roman, the Greek, the Greek, the Greek, and the Greek.",1.244956193800024,1.2481708069392246,0.003214613139200573,23.93028885126114
Rachel_2012-02-14_sc66_27,1021,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty-five to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,It will be a championship.,1.4166358881660046,1.3813037089304998,-0.0353321792355048,14.708170294761658
Rachel_2012-02-14_sc66_27,1022,numbers,"The car was going around 20 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all.","The car was going around 30 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all.",The popular popularity of the population is the highest population of the population and the highest population of the world.,1.2828899580571387,1.2692040054019167,-0.013685952655221989,31.7831814289093
Rachel_2012-02-14_sc66_27,1023,numbers,That makes it to seem like an opportunity to do more than one.,That makes it to seem like an opportunity to do more than two.,The sound of the mountains is the sound of the moon.,1.0584341796144607,1.0778994127398445,0.01946523312538373,23.30004870891571
Rachel_2012-02-14_sc66_27,1024,numbers,The researches have proven that a child with a Deaf mentor often perform better. There is a research that studies two groups from Utah and Tennessee.,The researches have proven that a child with a Deaf mentor often perform better. There is a research that studies three groups from Utah and Tennessee.,It will be the best that you will be able to turn to your loved ones.,1.3120557668308417,1.3061753641323823,-0.005880402698459353,37.38911747932434
Rachel_2012-02-14_sc66_27,1025,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty to thirty-five MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,It will be a championship.,1.4166358881660046,1.403097792249173,-0.013538095916831638,14.708170294761658
Rachel_2011-12-08_sc45_13,1026,numbers,Does the party tonight start at 8 or 9?,Does the party tonight start at 8 or 8:30?,They are bigger than the elephants.,2.159957241546363,2.1545702543889367,-0.005386987157426137,19.022296369075775
Rachel_2012-02-14_sc66_27,1027,numbers,"Except for Utah group, the child had a Deaf mentor, while the group from Tennessee did not.","Except for Utah group, the child had two Deaf mentors, while the group from Tennessee did not.","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.4317166395485401,1.4535524193785692,0.021835779830029045,30.17861843109131
Rachel_2012-02-14_sc66_27,1028,numbers,"There are two groups with same guidelines. One group has Deaf professionals being involved, while another group did not.","There are three groups with same guidelines. One group has Deaf professionals being involved, while another group did not.","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.143612516997767,1.1329844563714857,-0.010628060626281188,33.455753326416016
Cory_2013-6-27_sc113_13,1029,numbers,My friends got together and planned to surprise Bob for his 21st.,My friends got together and planned to surprise Bob for his 31st.,This is my plan for the dream of my mom.,1.477164165822394,1.5067957967632648,0.029631630940870846,40.25547504425049
Cory_2013-6-27_sc109_21,1030,numbers,"Yes, I do have homework. I need to write a three-page report.","Yes, I do have homework. I need to write a five-page report.",The first thing I want to share with you is that I want to share with you about the first time in the first time I want you to know is that the first time I realized that the first time I was born in the first time I was born in the first time I was born.,1.3740068857948626,1.5394088766369662,0.1654019908421036,39.6698534488678
Rachel_2011-12-08_sc45_13,1031,numbers,Does the party tonight start at 8 or 9?,Does the party tonight start at 8:30 or 9?,They are bigger than the elephants.,2.159957241546363,2.254417478951604,0.09446023740524101,19.022296369075775
8-Ben-Control-of-sound-places_12,1032,numbers,"He grew up, he entered college, and he met a hearing CODA woman. He started to like her, and he was around his early to mid 20's at that time.","He grew up, he entered college, and he met a hearing CODA woman. He started to like her, and he was around his early to mid 30's at that time.","In the past, there were a lot of people who were loved by women who were in the United States who were in the United States.",1.4135821205596406,1.4235024390208137,0.009920318461173139,31.46843910217285
8-Ben-Control-of-sound-places_12,1033,numbers,"He was around 15 years old at that time. When he found out, he was disturbed about it. Well, he was lucky, because I know others who didn't come to know about this until much later.","He was around 25 years old at that time. When he found out, he was disturbed about it. Well, he was lucky, because I know others who didn't come to know about this until much later.",There are many people who are deaf and hard of hearing and hard of hearing and hard of hearing.,1.0898831207714565,1.0939524069551256,0.004069286183669085,32.63258934020996
Jonathan_2012-11-27_sc94_17,1034,numbers,My friend is planning to surprise Bob because he's turning 21.,My friend is planning to surprise Bob because he's turning 20,This is the first time in the past.,1.602480507500115,1.6926877161548022,0.09020720865468723,23.90328049659729
Rachel_2012-02-09_sc57_9,1035,numbers,"Even if you make only one tiny mistake, it will be tossed out.","Even if you make only two tiny mistakes, they will be tossed out.",He did not leave the country.,1.2535899664674486,1.3377671853610964,0.08417721889364782,21.302731335163116
Rachel_2011-12-08_sc44_15,1036,numbers,"""Today is the last day of the semester right?"" ""No next week is. We still have one more week of class.""","""Today is the last day of the semester right?"" ""No next week is. We still have two more weeks of class.""","It is the last day of the week of the week of the week, which will be the first time in the week of the week of the week.",1.2664061299381921,1.3055516987684228,0.03914556883023068,31.614750623703003
Cory_2013-6-25_sc0106_17,1037,numbers,"I graduated recently, so that's means I'll be looking for a job, probably I'll move away, so I won't have lived there for seven years.  Now, I'm wondering from now on with the new job does that mean I might be moving around again for the next seven years or less?  So I'm wondering, let's see, oh well.","I graduated recently, so that's means I'll be looking for a job, probably I'll move away, so I won't have lived there for five years.  Now, I'm wondering from now on with the new job does that mean I might be moving around again for the next seven years or less?  So I'm wondering, let's see, oh well.","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.2084027316064725,1.2101248658897465,0.0017221342832740572,37.78359293937683
Rachel_2011-12-08_sc44_15,1038,numbers,"“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe five feet six inches, that's all.”","“Mayor Bloomberg is around six feet tall or more.” “No, he's short; he's maybe four feet six inches, that's all.”",This is the largest part of the world in the world.,1.7170155900301503,1.6964850429995137,-0.020530547030636503,28.79241704940796
Cory_2013-6-25_sc0106_17,1039,numbers,"I graduated recently, so that's means I'll be looking for a job, probably I'll move away, so I won't have lived there for seven years.  Now, I'm wondering from now on with the new job does that mean I might be moving around again for the next seven years or less?  So I'm wondering, let's see, oh well.","I graduated recently, so that's means I'll be looking for a job, probably I'll move away, so I won't have lived there for seven years.  Now, I'm wondering from now on with the new job does that mean I might be moving around again for the next six years or less?  So I'm wondering, let's see, oh well.","I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.2084027316064725,1.222077178685273,0.013674447078800611,37.78359293937683
Cory_2013-6-25_sc0106_17,1040,numbers,I grew up there between the age of six and a half and thirteen.,I grew up there between the age of ten and a half and thirteen.,Speaking is a huge form of translation.,1.1153373580309562,1.183312465378549,0.06797510734759271,19.995659589767456
