video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc107_19,1006,numbers,Demi Moore's first husband was Bruce Willis.,Demi Moore's second husband was Bruce Willis.,The first thing I want to share with you is that I want to share with you about the first time in the first time I want to share with you about the first time in the first time.,2.116869079321623,2.020839708816746,-0.09602937050487714,40.4699444770813
Cory_2013-6-27_sc107_19,1007,numbers,The movie starts at 7.,The movie starts at 8,The first thing I want to share with you is that we are going to be talking about is that the first thing I want to share with you is that the first thing I want to share with you about the first time we are going to share with you about the first time in the first time.,1.959381782166336,1.8396437977525322,-0.11973798441380379,44.44307088851929
Cory_2013-6-27_sc107_19,1008,numbers,"When you get the book, read chapter two.","When you get the book, read chapter three.",The third one is the third one.,1.7152715726051389,1.7103090089594208,-0.00496256364571801,37.48423755168915
Cory_2013-6-27_sc107_19,1009,numbers,Do you think Obama will be elected again for his second term as president?,Do you think Obama will be elected again for his third term as president?,The first thing I want to share with you is that I want to share with you all about the community is that I want to share with you all of your friends.,1.400286397834619,1.4483697160172302,0.048083318182611245,30.46007752418518
Jonathan_2012-11-27_sc95_15,1010,numbers,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.","Last night, I played a close game of basketball with my friend. The score was 30-29 when it ended.",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your stories with you.,1.4675091748135258,1.4712365768624074,0.0037274020488815562,30.090782046318054
Cory_2013-6-27_sc107_19,1011,numbers,Wow! That watch costs three thousand dollars!,Wow! That watch costs two thousand dollars!,The first thing I want to share with you is that I want to share with you about the first time in the first place.,1.724670302932677,1.680024104192853,-0.04464619873982412,33.48759114742279
Rachel_2011-12-08_sc44_15,1012,numbers,"""There's no homework for History class right?"" ""No, we have homework, We have to write a three page paper.""","""There's no homework for History class right?"" ""No, we have homework, We have to write a four page paper.""",There are so many different things that you can do with your hearing aids.,1.6147516334636345,1.6685150987773298,0.05376346531369536,26.722732186317444
Rachel_2012-02-14_sc66_27,1013,numbers,There is one interesting study. What the study did they grouped people together and have them watch a video clip of car accident.,There are two interesting studies. What the studies did they grouped people together and have them watch a video clip of car accident.,The first thing that you want to do is you want to know is that you want to know what you want to do is you want to know what you want to do.,1.334175061663756,1.317956168204546,-0.016218893459210015,37.7311110496521
Rachel_2012-02-14_sc66_27,1014,numbers,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or five different words/groups.,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or six different words/groups.,The first thing I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,1.6522780181588352,1.6647677798407012,0.012489761681865996,28.514128923416138
Rachel_2012-02-14_sc66_27,1015,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty to forty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,1.4017157320534028,1.3968697619902624,-0.00484597006314047,24.82559084892273
Rachel_2012-02-14_sc66_27,1016,numbers,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".","The second thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,1.2208387155998621,1.2458707455202545,0.02503202992039233,31.7593514919281
Rachel_2012-02-14_sc66_27,1017,numbers,"The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are seven specialists for only two parents. Wow.","The meeting will include a specialist, audiologist, doctor, nurse, counselor, and social worker. There are eight specialists for only two parents. Wow.",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your stories with you.,1.1754520977112024,1.1689028930850327,-0.006549204626169702,28.37197780609131
Rachel_2012-02-14_sc66_27,1018,numbers,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".","It is very intimidating. There will be six professionals informing the two parents that their child seem to be sick or have the ""cancer"".",Thank you for an amazing time!,1.1633644868486694,1.2002007852753867,0.03683629842671721,21.543261408805847
Rachel_2012-02-14_sc66_27,1019,numbers,"It is very intimidating. There will be seven professionals informing the two parents that their child seem to be sick or have the ""cancer"".","It is very intimidating. There will be seven professionals informing the one parent that their child seem to be sick or have the ""cancer"".",Thank you for an amazing time!,1.1633644868486694,1.220893935843123,0.05752944899445356,21.543261408805847
Rachel_2012-02-14_sc66_27,1020,numbers,"It seems that parents must choose one between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options.","It seems that parents must choose two between oralism, cochlear implant, sign language or cued-speech. They can't pick all of the options.",The first thing I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,1.3175077686260501,1.3284017265432602,0.01089395791721004,24.12302941083908
Rachel_2012-02-14_sc66_27,1021,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty-five to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,1.4017157320534028,1.367902039596811,-0.03381369245659194,24.82559084892273
Rachel_2012-02-14_sc66_27,1022,numbers,"The car was going around 20 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all.","The car was going around 30 mph when it smashed. The SMASHED group said they think the car's glass was broken and it was going around 60 mph. But, actually, the glass wasn't broken at all.",The first thing that you want to do is you want to know is that you want to know what you want to do is you want to know what you want to do.,1.337361185422177,1.3218371536208209,-0.015524031801356086,34.98048484325409
