video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,Not him.,1.5576758950948715,1.8742127936672082,0.3165368985723367,16.06893241405487
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,Fighting,1.7631104742487271,1.986006615514105,0.22289614126537782,5.980512499809265
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,That's why I love you.,1.6529985370443148,2.1212904040630045,0.46829186701868974,26.53428018093109
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,There are many different ways to work together.,1.9480383011202018,2.0170821962612018,0.06904389514099996,30.130913853645325
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,Non-exposure,1.9436169318440888,2.3181594187127694,0.37454248686868064,8.973484486341476
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,The tree does not like it.,2.069449322111905,3.179482630812205,1.1100333087003,29.29357886314392
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,Love is not much more.,1.8169342753078257,1.708244945646988,-0.10868932966083777,32.521265745162964
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,This is the first time they were able to communicate with them.,2.304025688164291,2.4240958384341664,0.12007015026987533,23.353812098503113
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,Most commonly known as Moscow.,1.715397246891544,1.687353253778484,-0.02804399311305983,15.493784844875336
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,It is my history.,1.8585734099504494,1.7337070922884676,-0.12486631766198175,24.09214973449707
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,Captioned by aslcaptions.ca,2.0811667555854436,2.018837192820178,-0.06232956276526558,11.20811477303505
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.476849976419048,2.5233441611958876,0.04649418477683964,40.4096245765686
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,They are not allowed to communicate.,1.655317567966201,2.0015262398454876,0.3462086718792865,23.33347350358963
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,Large complexity,1.664444024860859,1.5104273073375225,-0.15401671752333645,0.18879026174545288
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,"In the past, he was not a metallist.",2.052101523131132,1.8912823731926354,-0.16081914993849677,25.965571403503418
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,The mother of the father is a man.,2.275864329636097,2.199245573106137,-0.07661875652995986,31.350603699684143
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,Knowing that you'll never leave,1.5918593552708626,1.8363586075996097,0.24449925232874703,34.91835594177246
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,"However, they don't have access to anything.",1.5931980680101192,1.8150519846898059,0.22185391667968668,29.55753803253174
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,This is the sign for unknown.,2.337944944890646,2.6314928606152534,0.2935479157246075,23.817044496536255
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,The concept of the concept is that the concept of the concept is different.,2.1225291921828804,2.3465000468898904,0.22397085470701006,32.144707441329956
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,My brother cannot come here.,1.2982762033263078,1.3009536035048466,0.0026774001785387913,51.712965965270996
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,The first thing I want to share with you is that I have an interesting experience.,2.1924239846949396,2.27360265403986,0.08117866934492035,35.34476161003113
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,Home,1.8777258219542328,1.7250075818349917,-0.15271824011924107,4.833754897117615
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,The back of the back is the shortest way.,1.87340663138915,2.0156413746022044,0.1422347432130544,19.79050636291504
Cory_2013-6-27_sc110_14,24,negation,The car did not breakdown.,The car did breakdown.,Change,1.8947268972794216,2.1513126314334245,0.256585734154003,3.408249467611313
Cory_2013-6-27_sc110_14,25,negation,The car didn't break down.,The car broke down.,Signing,1.5315848892485653,1.5994759645313024,0.06789107528273708,3.1826280057430267
Rachel_2012-01-27_sc51_11,26,negation,The car didn't break down.,The car broke down.,Tall,1.5476184459748092,1.6477098559960723,0.1000914100212631,3.9200715720653534
Rachel_2011-12-01_sc43_12,27,negation,Alcohol is not always good.,Alcohol is always good.,I love you always.,1.6641862831477607,1.881918216900279,0.21773193375251831,19.312362372875214
Cory_2013-6-27_sc115_17,28,negation,Bob hasn't sent the letter.,Bob has sent the letter.,My name is Linnaeus.,1.7859775312244892,1.815491323173046,0.029513791948556856,14.95269387960434
Cory_2013-6-27_sc115_17,29,negation,I don't want to buy shorts.,I want to buy shorts.,The majority of the House needs to vote to impeach the President to send the process to the Republican-,1.241700207548482,1.4152523360469125,0.1735521284984305,8.290237933397293
