video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Rachel_2012-02-09_sc58_12,0,negation,I'm not happy.,I'm happy.,I'm not happy.,1.0876877998312315,1.4803697954524646,0.39268199562123307,95.52873969078064
Rachel_2012-02-09_sc58_12,1,negation,I'm not tired.,I'm tired.,There are seven animals.,1.883165285984675,2.1455295207825573,0.2623642347978823,23.718160390853882
Rachel_2012-02-09_sc58_12,2,negation,I'm not skilled.,I'm skilled.,&gt;&gt; CHRISTOPHER JOHNSON: I'm not a skilled skiller.,1.300135095768115,1.9437941020497909,0.6436590062816758,51.761674880981445
Cory_2013-6-27_sc110_14,3,negation,It's not raining.,It's raining.,Here's another example of what you want to do.,1.8924658530288272,1.7763783639030797,-0.11608748912574751,29.55135703086853
Rachel_2012-01-27_sc51_11,4,negation,It's not raining.,It's raining.,Michael Anthony (MA): Hello everyone!,1.8260459953712092,2.0735720145915235,0.24752601922031436,18.68903636932373
Rachel_2012-02-09_sc58_12,5,negation,John didn't see me.,John saw me.,You don't see me.,1.583485424146056,2.2499821982704677,0.6664967741244117,51.150619983673096
Rachel_2011-12-01_sc43_12,6,negation,Age isn't important.,Age is important.,It's very important that you have the age of two and a half years old and a half years old.,1.8136200016098363,1.5752596608880494,-0.2383603407217869,32.53626525402069
Rachel_2012-02-09_sc58_12,7,negation,He/She isn't guilty.,He/She is guilty.,There's no weirdness about that.,2.3737752395016805,2.539995257432262,0.1662200179305815,47.97118902206421
Cory_2013-6-27_sc115_17,8,negation,I haven't paid rent.,I have paid rent.,I haven't paid one month or two months.,1.2446865670028187,1.6571470314843788,0.41246046448156015,40.74169397354126
Rachel_2012-02-09_sc58_12,9,negation,That dog isn't mine.,That dog is mine.,It's really my dog.,1.6582406934882914,1.6181926435480516,-0.040048049940239805,55.30050992965698
Cory_2013-6-27_sc107_19,10,negation,That job isn't hard.,That job is hard.,"THAT'S WHAT IT LOOKS LIKE NOW, IT'S NOT HARD.",1.519126215860957,1.9495278110520706,0.43040159519111354,55.285853147506714
Jonathan_2012-11-27_sc98_14,11,negation,Did you not pass out?,Did you pass out?,IT'S NOT JUST THE REASON WHY IT'S SO IMPORTANT TO KEEP IT IN MIND.,1.9489886046133258,1.7567741291390524,-0.1922144754742734,17.911124229431152
Rachel_2012-02-09_sc58_12,12,negation,The box is not small.,The box is small.,It doesn't matter if you're small or not.,1.2843011946163394,1.394065359607339,0.1097641649909995,38.6419415473938
Jonathan_2012-11-27_sc98_14,13,negation,I haven't yet paid rent.,I have already paid rent.,AND I'M GOING TO GO AHEAD AND STAND UP AND STAND UP.,1.6337405452132225,1.2474224577442958,-0.3863180874689267,22.675521671772003
Cory_2013-6-27_sc110_14,14,negation,Mary isn't a vegetarian.,Mary is a vegetarian.,Macin is a vegetable street.,1.6248103533685208,1.5731183307414704,-0.051692022627050305,26.355403661727905
Cory_2013-6-27_sc115_17,15,negation,Mother isn't sick today.,Mother is sick today.,AND THE MOTHER WAS SO SICK TODAY.,1.5053523635864259,1.393866696140983,-0.11148566744544297,45.537662506103516
Rachel_2012-02-09_sc58_12,16,negation,The boy never goes home.,The boy goes home.,What will we be doing to show each steps of your vision?,1.0352361112833024,1.3792008671321367,0.34396475584883435,22.953438758850098
Rachel_2012-02-09_sc58_12,17,negation,I didn't wash my clothes.,I did wash my clothes.,You want to have an emergency.,1.589132820470975,1.5971925571236922,0.008059736652717309,28.334510326385498
Cory_2013-6-27_sc107_19,18,negation,Jack lied. He's not sick.,Jack lied. He's sick.,"Okay, charlie, you're not sick and you're not sick.",2.0754720287827344,2.570388928394426,0.4949168996116917,38.52129578590393
Jonathan_2012-11-27_sc97_19,19,negation,Mother is not sick today.,Mother is sick today.,There was no infection there today.,1.2787641008886008,1.609050651165572,0.3302865502769712,52.972447872161865
Cory_2013-6-27_sc107_19,20,negation,My brother can't help me.,My brother can help me.,MY BROTHER COULDN'T HELP ME.,1.1558218598365784,1.2440106902892392,0.0881888304526608,81.65565133094788
Cory_2013-6-27_sc107_19,21,negation,My uncle never visits me.,My uncle visits me.,MY RIGHT HAND WILL BE INTERESTED.,1.904719156714586,1.9179647158831359,0.013245559168549859,20.342734456062317
Rachel_2012-02-09_sc58_12,22,negation,It hasn't rained recently.,It has rained recently.,There's a lot of things that you can see in the back of your head.,1.848513492003635,1.7451750710606575,-0.10333842094297752,34.22732949256897
Rachel_2012-02-09_sc60_14,23,negation,Mary never started rowing.,Mary started rowing.,What will we be doing to show each steps of your vision?,1.9407818045605112,1.8769442463914554,-0.06383755816905579,19.327697157859802
Cory_2013-6-27_sc110_14,24,negation,The car did not breakdown.,The car did breakdown.,AND THE CAR BREAKS DOWN.,1.4640867748746165,1.7824104621034602,0.31832368722884374,49.547022581100464
Cory_2013-6-27_sc110_14,25,negation,The car didn't break down.,The car broke down.,And then the car breaks down and the car breaks down.,1.3206813060851008,1.4489135522395373,0.1282322461544365,49.51162934303284
Rachel_2012-01-27_sc51_11,26,negation,The car didn't break down.,The car broke down.,We're going to take a look at the car and we're going to take a look at it.,1.3922113638233256,1.442531578615308,0.05032021479198234,45.8357572555542
Rachel_2011-12-01_sc43_12,27,negation,Alcohol is not always good.,Alcohol is always good.,Jennifer: Take care of yourself and take care of yourself.,1.6828119436811124,1.8403034093789756,0.1574914656978632,26.772242784500122
