video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,There are two different meanings for the world.,3.012486268877983,2.3666343399882317,-0.6458519288897513,28.046423196792603
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,Congratulations to you!,2.3032454794645307,1.8043503358960151,-0.4988951435685156,31.98750615119934
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,THE SAME THING IS THE SAME THING AS THE DEAF COMMUNITY.,2.153227578266524,1.6063049199292436,-0.5469226583372802,17.371192574501038
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,THE SAME THING WITH THE DEAF COMMUNITY.,1.7896377129687204,1.4415756063880745,-0.34806210658064596,28.901436924934387
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,The third one is the third one.,1.670634256785407,1.4271014843355208,-0.24353277244988614,28.885778784751892
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,The first thing I want to share with you is that the first thing I want to share with you is that I want to share with you all about the first time in the first time.,1.7191590550256537,1.6599228790983922,-0.05923617592726149,36.984533071517944
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,The first thing that you can do is you want to know is that you have an interpreter in the first place.,1.500922503308035,1.1897408361904895,-0.31118166711754536,37.01680302619934
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,Captioned by aslcaptions,1.8317430693217938,1.3423453197978876,-0.48939774952390613,17.390243709087372
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,The fourth one is the fourth one.,1.6716092764154862,1.2522124221646471,-0.41939685425083906,21.334251761436462
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,Captioned by aslcaptions.com,1.5439089973353677,1.1150780071814854,-0.42883099015388226,18.047621846199036
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,The first thing that you can do is you want to know is that you want to be able to communicate with your family.,2.3775902192832694,1.8554580498021096,-0.5221321694811598,23.685964941978455
Rachel_2011-12-08_sc46_14,219,yes/no,Did Bill move to New York?,Bill moved to New York.,Captioned by aslcaptions,2.2175079341287964,1.6721230644422274,-0.5453848696865691,13.677380979061127
Cory_2013-6-27_sc114_16,220,yes/no,Did Bob arrive at the post office?,Bob arrived at the post office.,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",2.407162694633007,1.3655151796992868,-1.0416475149337203,33.8603138923645
Jonathan_2012-11-27_sc96_17,221,yes/no,Did Bob give someone roses?,Bob gave someone roses.,THIS IS THE FIRST TIME THAT WE HAVE TO DO WITH THE DEAF CHILDREN.,3.144013035643314,2.143649135250598,-1.0003639003927156,12.865127623081207
Cory_2013-6-27_sc114_16,222,yes/no,Did Bob give the rose to his sweetheart?,Bob gave the rose to his sweetheart.,The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family.,2.204486911434953,1.4310182688405384,-0.7734686425944146,31.88709318637848
Cory_2013-6-27_sc114_16,223,yes/no,Did Bob send the letter?,Bob sent the letter.,The first thing that you want to do is you want to know is that you want to know what you are talking about.,2.8055791130661962,1.8997217439824627,-0.9058573690837335,26.616546511650085
Cory_2013-6-27_sc114_16,224,yes/no,Did dad mow the lawn?,Dad mowed the lawn.,The first thing that you want to do is you want to know is that you want to be able to communicate with your family.,3.327328318899328,2.611726576462388,-0.7156017424369399,27.90660560131073
Jonathan_2012-11-27_sc95_15,225,yes/no,Did Donna give the money?,Donna gave the money.,THE SAME THING WITH THE DEAF COMMUNITY AS THE DEAF COMMUNITY.,2.7426716527686668,2.2587875686585903,-0.48388408411007644,15.365390479564667
Cory_2013-6-27_sc114_16,226,yes/no,Did Donna give you the money?,Donna gave you the money.,The first thing that you can do is you want to know is that you want to be able to communicate with your friends and family.,2.3376237836976848,1.9541459997686057,-0.38347778392907905,26.038765907287598
Cory_2013-6-27_sc112_17,227,yes/no,Did Father arrive home late at night?,Father arrived home late at night.,The first thing that you can do is you want to know is that you want to know what you are talking about.,2.365607221757895,1.637241659419877,-0.7283655623380179,24.626362323760986
Cory_2013-6-27_sc112_17,228,yes/no,Did Father really arrive home late at night?,Father really arrived home late at night.,That's what I'm going to show you.,2.11175319991178,1.588785488069767,-0.5229677118420129,19.80057805776596
