video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,There are two different meanings for the world.,1.3362321928646919,1.356274523394736,0.020042330530044117,32.53568410873413
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...",The first thing that you can do is you want to know is that you want to know what you are talking about today is that you are going to be able to do the same thing with your family.,1.311243259307483,1.3402465150403462,0.02900325573286322,26.888510584831238
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",The first thing that you can do is you want to know is that you want to know what you are talking about today is the first time you are going to want to talk about.,1.4708623073995113,1.373065517147382,-0.09779679025212928,36.70410513877869
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,AND THAT'S WHAT I THINK IN THE STATE OF THE U.S.,1.7259744986891747,1.8106423722523632,0.0846678735631885,20.59842199087143
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,The first thing that you can do is you want to know is that you want to be able to communicate with your friends.,1.9148058455776085,1.9857606733387168,0.07095482776110829,36.91609799861908
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,HERE ARE YOUR TOP STORIES FOR TODAY.,2.0287531816190287,2.0779378786683083,0.049184697049279524,35.13573110103607
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,HERE ARE YOUR TOP STORIES FOR TODAY.,1.6015148787759244,1.6584121771156788,0.05689729833975443,36.47966384887695
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,The third thing that you can do is you can see is you can see the third thing you can do.,1.9867724202059467,1.8979566503050072,-0.08881576990093953,32.68628120422363
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,This is the first time that you're going to be able to communicate with your family.,1.973213879841155,1.8866618065429586,-0.08655207329819636,30.356702208518982
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,HERE ARE YOUR TOP STORIES FOR TODAY.,2.0714310033907815,2.0464290159529654,-0.02500198743781601,22.248992323875427
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,The first thing that you want to do is you want to know is that you want to know how to communicate with your family and friends.,2.429441681890576,2.2731597543909,-0.15628192749967607,24.11535531282425
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.6962141332527,1.8549869348821433,0.15877280162944318,45.04725933074951
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,Thank you for an amazing time!,1.676834600046277,1.8485267792382967,0.17169217919201962,28.755968809127808
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,THIS IS THE FIRST TIME I WANT TO SHARE WITH YOU ALL THE WORDS WITH YOU.,1.6001803670492438,1.6100528562234508,0.009872489174207022,28.77824604511261
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,CAPTIONED by aslcaptions.com,1.807166046290486,1.7320015244185925,-0.07516452187189349,18.145091831684113
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.2782655819186142,1.19714521671481,-0.08112036520380417,43.21982264518738
Jonathan_2012-11-27_sc94_17,524,wh-question,When did you graduate high school?,How did you graduate high school?,THE SAME THING WITH THE DEAF COMMUNITY.,1.24959080144763,1.148070121074424,-0.10152068037320605,15.436433255672455
Cory_2013-6-27_sc115_17,525,wh-question,Why did you pass out last night?,How did you pass out last night?,THIS IS THE FIRST TIME I WANT TO SHARE WITH YOU ALL THE WORDS WITH ME.,1.53533866651582,1.540991373360157,0.005652706844337052,27.649572491645813
Cory_2013-6-27_sc113_13,526,wh-question,Where did you put the tree?,How did you put the tree?,THIS IS THE FIRST TIME I WANT TO SHARE WITH YOU ALL THE DIFFERENT PEOPLE IN THE WORLD.,1.7505908045651657,1.698721671047119,-0.051869133518046784,29.62503433227539
Jonathan_2012-11-27_sc94_17,527,wh-question,When did your friend start driving?,How did your friend start driving?,The first thing that you can do is you want to know is that you will be able to communicate with your friends and family.,1.6711550243198872,1.5291707878666265,-0.14198423645326064,27.691757678985596
Rachel_2012-02-09_sc57_9,528,wh-question,Where do we go if there's an emergency?,How do we go if there's an emergency?,The first thing that you want to do is you want to know what you want to do is you want to know what you are doing.,1.6912824881263078,1.5396853451077874,-0.15159714301852034,35.162532329559326
Cory_2013-6-27_sc113_13,529,wh-question,When do you finish work?,How do you finish work?,TODAY WE ARE GOING TO SHARE WITH YOU ALL THE DIFFERENT PEOPLE WHO ARE DEAF.,1.9340948767960071,1.7427664604038,-0.1913284163922071,22.618168592453003
Cory_2013-6-27_sc113_13,530,wh-question,Why do you hate video games?,How do you hate video games?,There are two different meanings for the world.,1.8040924692719147,1.7551297603239273,-0.04896270894798738,29.272428154945374
Cory_2013-6-27_sc113_13,531,wh-question,Where do you plan to travel?,How do you plan to travel?,This is the third time that we are going to talk about.,1.5357512691668396,1.4328759159478877,-0.10287535321895191,32.67779052257538
Jonathan_2012-11-27_sc98_14,532,wh-question,When do you want the BBQ to be?,How do you want the BBQ to be?,THE SAME THING WITH THE DEAF COMMUNITY AS THE DEAF COMMUNITY.,1.8864061165368184,1.774201596215848,-0.1122045203209705,15.063168108463287
