video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,"When I was 7 or 1/2 years old, I didn't know what to do until I was 7 or 1/2.",0.9546285699766416,0.9599881503677022,0.005359580391060659,51.26402974128723
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""",Firefighters lived in their homes and were alcoholic when they were 10 years old.,1.4102416802675297,1.4426477335016183,0.03240605323408863,17.303621768951416
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,The burning of the Ben Fire is considered a burning fire.,2.000919314970573,2.0040434716412654,0.003124156670692546,36.21797859668732
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.","When a Deaf person communicates with a deaf person, they can speak or understand something.",1.284919342043203,1.1366571607595344,-0.14826218128366864,41.13263487815857
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.","As you can see here, the hair comes down and then you can see the mouth comes down and you can see the mouth comes down.",1.4466735731152927,1.4841999294372594,0.03752635632196677,32.77857303619385
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After the exercise, he went into the locker room and replaced the location of the location, he replaced two orders in the location of the neighborhood, and he heard that the gravity of the gravity of the political political position.",1.2163851495060298,1.2805357445539398,0.06415059504790999,36.54196262359619
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.","After the exercise, he went into the locker room and replaced the location of the location, he replaced two orders in the location of the neighborhood, and he heard that the gravity of the gravity of the political political position.",1.2163851495060298,1.215245076748836,-0.0011400727571937441,36.54196262359619
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.","After the exercise, he went into the locker room and replaced the location of the location, he replaced two orders in the location of the neighborhood, and he heard that the gravity of the gravity of the political political position.",1.2163851495060298,1.222638044439189,0.006252894933159281,36.54196262359619
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.","If the app is not expensive, it may be expensive because it is the third brown flash.",1.078903922601275,1.1506602850882974,0.07175636248702233,29.051554203033447
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,How do deaf people voice their voices rather than their rather than their voices?,1.2675190707668662,1.2750385761584924,0.007519505391626158,55.903685092926025
8-Ben-Control-of-sound-places_12,1135,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate kernels of popcorn pretty slowly.","She went to the movie and went to the photography and pulled her birthday into the red birthday, which was a diarrhea that changed her birthday.",1.5960845368998973,1.5677443884143776,-0.02834014848551969,31.121844053268433
8-Ben-Control-of-sound-places_12,1136,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he dropped kernels of popcorn pretty loudly.","She went to the movie and went to the photography and pulled her birthday into the red birthday, which was a diarrhea that changed her birthday.",1.5960845368998973,1.5171558707547577,-0.0789286661451396,31.121844053268433
Jonathan_2012-11-27_sc90_12,1137,classifiers,Are the friends going out?,Is the friend going out?,Are you going to leave?,1.492084455296949,1.4889265082776546,-0.0031579470192943937,49.43308234214783
Jonathan_2012-11-27_sc96_17,1138,classifiers,Are there only horses playing on the farmland?,Are there only horses resting on the farmland?,Are the farms playing the only surprise?,1.5268420760935926,1.6579592410237232,0.1311171649301306,31.473296880722046
4-Ben-Deaf-Speech_19,1139,classifiers,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my phone screen, I thought well I'm deaf but that doesn't matter because my phone screen says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As a result, deaf people have used to have a good oral lipreading skill that means they have a good idea of what is easier for hearing people to prefer.",1.2586331323675384,1.1858492812963293,-0.0727838510712091,34.848082065582275
Cory_2013-6-27_sc114_16,1140,classifiers,Bad weather is coming to Boston because the city is close to the ocean.,Bad weather is leaving Boston because the city is close to the ocean.,"Because of the bad weather in Brown, the look of the ocean is here.",1.0374952882735267,1.07101802783353,0.03352273956000329,48.580360412597656
Jonathan_2012-11-27_sc96_17,1141,classifiers,Bad weather is in Boston because the ocean is near.,Bad weather is over in Boston because the ocean is near.,The bad weather was in Boston because the oceanic leaves were near the neighborhood.,0.9908169821048012,1.0718188682538377,0.08100188614903647,55.514174699783325
2-Ben-Voice-Identity_15,1142,classifiers,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman mentioned the concept of combining interpreting and ventriloquism.,"Barman mentioned about the concept of interpreting, also known as the cromotion.",1.3023322086532911,1.3710890406793035,0.06875683202601235,36.41985058784485
2-Ben-Voice-Identity_15,1143,classifiers,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman mentioned the concept of separating interpreting and mimicry.,"Barman mentioned about the concept of interpreting, also known as the cromotion.",1.3023322086532911,1.1983910093920818,-0.10394119926120937,36.41985058784485
3-Ben-Voice-Life_21,1144,classifiers,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman presented the idea that there is a line between the mouth and the ears,",The opposite side of the leg is offered by Barran and other opposite sides of the ear and speaks for us here.,1.1463022426808183,1.0446667177013205,-0.1016355249794978,33.09331834316254
Cory_2013-6-27_sc114_16,1145,classifiers,Bob has a big dog because he loves to wrestle with it.,Bob has a big dog because he loves to cuddle with it.,"Barbara had a big introduction to him because if he loved the wrestling, the wrestling and the wrestling of the wrestling.",0.9744454136626287,1.2425161222754806,0.26807070861285187,37.79711425304413
8-Ben-Control-of-sound-places_12,1146,classifiers,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and if it goes over the spectrum, people would ignore it.","The more deaf and hard of hearing people can see in their eyes, the hearing people can see their eyes and their eyes are on their hearing peers.",1.1504399951595765,1.2159088542805863,0.06546885912100975,43.72612237930298
8-Ben-Control-of-sound-places_12,1147,classifiers,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people whisper and if it goes under the spectrum, people would notice it.","The more deaf and hard of hearing people can see in their eyes, the hearing people can see their eyes and their eyes are on their hearing peers.",1.1504399951595765,1.1389729354200484,-0.011467059739528107,43.72612237930298
6-Ben-Control-of-Sound_4,1148,classifiers,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go above or below.,Deaf people's experiences related to the control of sound in the audiovocal world involve a lot of cultural expectations that are set up. There's an expected voice range that Deaf people tend to go in between.,"For the population's experiences and control of the decisions in the main and anticodomical world, there are many cultural establishments of sound and sound between Deaf and Hard of Hearing people.",1.0664612167105776,1.0915769560173862,0.02511573930680866,42.75321960449219
Cory_2013-6-27_sc112_17,1149,classifiers,Did mom already walk to the store?,Did mom already drive to the store?,The mother already went to the store.,1.5375964454242161,1.5905392586977944,0.052942813273578304,71.8159556388855
Cory_2013-6-27_sc112_17,1150,classifiers,Did mother already walk to the store?,Did mom already drive to the store?,Grandmother didn't want to go to the store.,1.4772508331623517,1.5804545003920794,0.10320366722972762,43.93133521080017
Jonathan_2012-11-27_sc90_12,1151,classifiers,Did Mother walk to the store?,Did Mother bike to the store?,The mother didn't want to go to the shop.,1.5759691705306371,1.7977298609912395,0.22176069046060243,55.93269467353821
Cory_2013-6-27_sc112_17,1152,classifiers,Did the family adopt small puppies?,Did the family adopt big puppies?,The family was then adopted to the smaller part of the family.,1.4650381622422073,1.5863580081392736,0.12131984589706635,44.51688528060913
Cory_2013-6-27_sc112_17,1153,classifiers,Did the family adopt the small puppies?,Did the family adopt big puppies?,Children and families were adopted.,1.4843226271681487,1.7136207813506616,0.22929815418251298,40.44821858406067
Cory_2013-6-27_sc112_17,1154,classifiers,Did the friends dye their whole heads together?,Did the friends dye their whole beards together?,Friends and friends were together.,1.4601682371770341,1.7157149872913653,0.25554675011433114,38.705259561538696
Cory_2013-6-27_sc114_16,1155,classifiers,Did the group of friends arrive at the movie theater?,Did each friend arrive at the movie theater?,Friends came together and arrived in a movie theater.,1.1236264853289835,1.2804213455153837,0.1567948601864002,68.3295488357544
Cory_2013-6-27_sc114_16,1156,classifiers,Does your sister like water tubing?,Does your sister like paddleboarding?,Your sister loves water.,1.8075816365372803,1.8199922596349527,0.01241062309767238,54.0399968624115
5-Ben-Deaf-Grunts_19,1157,classifiers,"Each time they hit the ball, the players grunt, it happens often throughout the game.","Each time they hit each other, the players grunt, it happens often throughout the game.",The primary voice of the car was removed from the sign language and was more frequently signed.,1.3464315603812074,1.359734826128591,0.013303265747383719,28.372901678085327
5-Ben-Deaf-Grunts_19,1158,classifiers,"Except in some situations, like at the gym where there are people working out, and it's expected that when people are lifting heavy weights, for example, that grunts are reasonaly acceptable there.","Except in some situations, like at the gym where there are people working out, and it's expected that when people are pushing heavy weights, for example, that grunts are reasonably acceptable there.","In specific situations, in healthy efforts, the appropriate expectations are called an effort to voice or not.",1.2579608967320786,1.2081223157744612,-0.049838580957617395,37.84739077091217
7-Ben-Social-Msg_7,1159,classifiers,"For example, a styrofoam cup, when it is peeled, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to peel styrofoam cups.","For example, a styrofoam plate, when it is peeled, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to peel styrofoam plates.","For example, the staff of the combustion of the staff of the combustion of the container warns that the contamination of the sound toilet is the loudest toilet and the purple farm bed of the infection to make the contamination of the contamination of the contaminated contamination.",1.4764529018352428,1.4569759971826621,-0.019476904652580673,33.174458146095276
7-Ben-Social-Msg_7,1160,classifiers,"For example, a styrofoam cup, when it is peeled, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to peel styrofoam cups.","For example, a styrofoam cup, when it is broken, is extremely noisy and loud. It sounds like fingernails scratching a chalkboard. So there is a warning not to break styrofoam cups.","For example, the staff of the combustion of the staff of the combustion of the container warns that the contamination of the sound toilet is the loudest toilet and the purple farm bed of the infection to make the contamination of the contamination of the contaminated contamination.",1.4764529018352428,1.4607575990218484,-0.015695302813394374,33.174458146095276
7-Ben-Social-Msg_7,1161,classifiers,"For example, the journal paper, which has holes in the paper, if you rip it slowly...","For example, the journal paper, which has holes in the paper, if you toss it slowly...","For example, writing a paper is a paper.",1.4128729064710612,1.3777882475191834,-0.035084658951877845,37.64619827270508
Jonathan_2012-11-27_sc96_17,1162,classifiers,Friends are going to sunbathe at the beach.,Friends are coming from a sunbathe at the beach.,Friends cooked their shoulders and slipped their shoulders.,1.6980096977204084,1.6292690970763868,-0.06874060064402165,29.910767078399658
Jonathan_2012-11-27_sc96_17,1163,classifiers,Friends are going to watch at the movie theater.,Friends are starting to watch at the movie theater.,"First of all, watch the movie theater.",0.949795301775543,0.913634731577566,-0.03616057019797703,55.94317317008972
Cory_2013-6-27_sc115_17,1164,classifiers,Friends go to a different movie because they prefer action movies.,Friends watched a different movie because they prefer action movies.,Friends were given a different movie because of their favorite activities.,0.7702069938071628,0.7504866677133933,-0.019720326093769502,57.92935490608215
Cory_2013-6-27_sc114_16,1165,classifiers,Friends go together to the beach to lay out in the sun and tan.,Friends go together to the beach to sit out in the sun and tan.,Friends gathered together and told them to take the back of the back.,1.4873931253678165,1.4901242118212394,0.002731086453422904,41.71544313430786
Cory_2013-6-27_sc114_16,1166,classifiers,Friends go together to the beach to lay out in the sun and tan.,Friends go separately to the beach to sit out in the sun and tan.,Friends gathered together and told them to take the back of the back.,1.4873931253678165,1.5246729703450745,0.037279844977258,41.71544313430786
Cory_2013-6-27_sc115_17,1167,classifiers,Friends haven't gone to the beach yet.,Friends haven't come back from the beach yet.,Friends have not come together and they have not gone to the backyard.,0.9781683915509627,1.0381270281808532,0.05995863662989054,47.10296392440796
Jonathan_2012-11-27_sc96_17,1168,classifiers,Friends went to the movie theater because Harry Potter Part 7 just released.,Friends gathered at the movie theater because Harry Potter Part 7 just released.,"Then they transferred to the show to Harry Hiller, which was a part of the recent distribution.",1.1845745482518302,1.168192528832106,-0.01638201941972417,46.413832902908325
Cory_2013-6-27_sc115_17,1169,classifiers,Good weather hasn't arrived in Boston. Hurry up!,Good weather hasn't left Boston. Hurry up!,There is a good climate that has not been yet an expected climate.,1.2511253198798822,1.395739609765452,0.1446142898855698,41.8925404548645
8-Ben-Control-of-sound-places_12,1170,classifiers,"He said, ""Oh really, what is it?"" She said, ""you urinated on the toilet water, and you should switch to the surface bowl of the toilet to avoid noise."" He was embarrassed from girlfriend during that time.","He said, ""Oh really, what is it?"" She said, ""you pooped on the toilet water, and you should switch to the surface bowl of the toilet to avoid noise."" He was embarrassed from girlfriend during that time.","When he traveled to Deaf school, he was inspired to learn from his friends at that time.",1.3115244463086129,1.3030668670320746,-0.00845757927653823,39.68766927719116
8-Ben-Control-of-sound-places_12,1171,classifiers,"He was making bubbles creatively. After that, he flushed.","He was making origami creatively. After that, he flushed.","After all, he was fully strong and did not want to do it.",1.4687281193789736,1.9516334833641504,0.4829053639851768,32.18713998794556
8-Ben-Control-of-sound-places_12,1172,classifiers,He was shocked that he could hear his parents' voice out of all fans in the grandstand,He was indifferent that he could hear his parents' voice out of all fans in the grandstand,You can hear your own parents sign language through the first place.,1.277510120822438,1.3613460938354114,0.08383597301297341,40.59217572212219
8-Ben-Control-of-sound-places_12,1173,classifiers,He was very embarrassed. He realized that he wasn't clear on his parents' remarks when he was growing up. He gulped hard. He changed his habits to urinate on the side of the bowl.,He was very confident. He realized that he wasn't clear on his parents' remarks when he was growing up. He gulped hard. He changed his habits to urinate on the side of the bowl.,It was not clear that System was born and accepted to change his tradition to improvements.,1.187827914663487,1.18291799694802,-0.004909917715467005,39.51609134674072
8-Ben-Control-of-sound-places_12,1174,classifiers,He wasn't sure what was it meant. He thought that it was a positive thing - that he urinated like a very healthy horse. So he was delighted by his parents' comment.,He wasn't sure what was it meant. He thought that it was a positive thing - that he urinated like a very healthy lion. So he was delighted by his parents' comment.,"What does it mean to be positive, such as healthy, healthy, and healthy?",1.1981421173747742,1.19332955457361,-0.004812562801164155,34.030479192733765
8-Ben-Control-of-sound-places_12,1175,classifiers,"Hearing people control the noise when emitting waste, whereas Deaf people emit waste loudly. I was like, ""Ohh.""","Hearing people control the noise when closing doors, whereas Deaf people close doors loudly. I was like, “Ohh.”",The girl is more controlled and the girl is finished.,1.5632749211841397,1.5190714858151202,-0.044203435369019495,34.080398082733154
Jonathan_2012-11-27_sc96_17,1176,classifiers,Horses play on the farmland because they are too old to race.,Horses play on the farmland because they are too old to jump.,The horse played a western farming parade because it was too estimated that he couldn't compete.,1.1144102615334335,1.24905615738563,0.13464589585219655,36.14916801452637
Jonathan_2012-11-27_sc96_17,1177,classifiers,Horses played on the farmland.,Horses fought on the farmland.,Agriculture was low and cows played in the sea.,1.5216669473917253,1.6062464065128756,0.08457945912115039,34.949347376823425
Cory_2013-6-27_sc107_19,1178,classifiers,How did Father fix the clock?,How did Father fix the hourglass?,How do you fix your hair on the time of the camera?,1.5782334356258312,1.7797142574015785,0.20148082177574733,35.58868169784546
Cory_2013-6-25_sc0106_17,1179,classifiers,I grew up there between the age of six and a half and thirteen.,I went there between the age of six and a half and thirteen.,"When I was 6 years old, I became 13 years old.",0.9673892232240178,0.9515109968478562,-0.01587822637616154,55.67183494567871
4-Ben-Deaf-Speech_19,1180,classifiers,"I had received my report card and in it, it read that I had great deaf speech.","I had received my email and in it, it read that I had great deaf speech.","In my registration card, I received a paper that said, ""Thank you to the Deaf Spotlight.""",1.3342556393221965,1.3767048952820367,0.04244925595984017,44.69428062438965
4-Ben-Deaf-Speech_19,1181,classifiers,"I had received my report card and in it, it read that I had great deaf speech.","I had received my report card and in it, it said that I had great deaf speech.","In my registration card, I received a paper that said, ""Thank you to the Deaf Spotlight.""",1.3342556393221965,1.233703466721728,-0.10055217260046856,44.69428062438965
Jonathan_2012-11-27_sc96_17,1182,classifiers,I introduced my new friend because he approached us.,I introduced my new friend because he saw us.,I introduced a new friend to the wilderness back.,0.8489634704617959,1.1098933131636486,0.2609298427018527,45.89574337005615
Cory_2013-6-27_sc108_16,1183,classifiers,I just finished reading a book and I noticed there was a page missing.,I just finished reading a book and I noticed there was a blank page.,I recently read a book and I noticed that one page was completely copied.,0.7556184172420435,0.7471195574363937,-0.008498859805649794,65.79535603523254
