video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.","When you believe in him, you will be able to believe in him.",1.3663648418695122,1.3617294634444803,-0.004635378425031922,28.127512335777283
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.",When the world goes out of the world...,1.3045915400698072,1.3355049495513622,0.030913409481555076,25.920209288597107
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,Oppression...,1.3715713745355607,1.3481977094824498,-0.023373665053110892,20.004969835281372
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.",The first thing that you want to do is you want to know is that you are the first time you are in the future.,1.2432279847562313,1.1432822041765407,-0.09994578057969061,31.721919775009155
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.",That's what I'm going to show you.,1.4467474795421775,1.5087563518215628,0.06200887227938523,35.04324555397034
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,What's up with the world?,1.2264662953093648,1.1110673274099827,-0.11539896789938209,22.268006205558777
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.",The first thing I want to share with you is that I want to share with you.,1.6048438522170803,1.6057205932835739,0.0008767410664936026,43.277084827423096
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.",What day do you think?,1.055232567222495,1.0576499481448682,0.0024173809223733134,18.344150483608246
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.",You can see that you are the only deaf person in the world.,1.4243977497192635,1.4542344744118412,0.0298367246925777,25.73533058166504
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends.,1.292675905127441,1.3402290370153345,0.04755313188789345,30.751734972000122
Jonathan_2012-11-27_sc97_19,811,conditional,"If Bob goes to the post office, I will give him all of my mail so he can drop it off.","When Bob goes to the post office, I will give him all of my mail so he can drop it off.",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends.,1.438689631864775,1.416974345391447,-0.0217152864733281,34.945982694625854
Cory_2013-6-27_sc115_17,812,conditional,"If Bob goes to the post office, I will give him my letters to drop off.","When Bob goes to the post office, I will give him my letters to drop off.",I believe in God.,1.4457782072325547,1.4510098028223257,0.005231595589771043,24.01060163974762
Jonathan_2012-11-27_sc92_13,813,conditional,"If Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.","When Bob is successful at making a fire, I must stay and watch it to make sure it is maintained.",The first thing I want to share with you is that there are some people who are deaf and hard of hearing.,1.3109284693081127,1.3227306808316217,0.01180221152350902,30.21019697189331
Cory_2013-6-27_sc112_17,814,conditional,"If Bob is successful with the fire, I will have to watch it.","When Bob is successful with the fire, I will have to watch it.",This is the first time that we were able to communicate with the deaf community.,1.4018672923328446,1.4031646942926779,0.0012974019598332998,21.919605135917664
Cory_2013-6-27_sc115_17,815,conditional,"If Bob sends his resume, he is guaranteed the job.","When Bob sends his resume, he is guaranteed the job.",The first thing that you can do is you want to know is your freedom.,1.7718690384690667,1.8136311792680677,0.04176214079900098,29.027950763702393
Jonathan_2012-11-27_sc97_19,816,conditional,"If Bob sends his resume, he will get the job.","When Bob sends his resume, he will get the job.",I love you.,1.8488141458643519,1.8819336214413245,0.03311947557697259,22.59773313999176
Cory_2013-6-27_sc115_17,817,conditional,"If Bob studies for his literature test, he will pass it for sure.","When Bob studies for his literature test, he will pass it for sure.",I love him and I love him.,1.5468904578663183,1.5938834974213558,0.04699303955503753,23.202267289161682
Jonathan_2012-11-27_sc97_19,818,conditional,"If Bob studies literature, he will pass his final exam.","When Bob studies literature, he will pass his final exam.",Thank you for watching me.,1.6805289495470268,1.6878173204845395,0.007288370937512667,21.414248645305634
