video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,"When you see the voice, you can see that the sound is not the same as the hearing person.",1.2031942024524953,1.187969123793615,-0.015225078658880342,49.1712749004364
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...",This is the first time they were able to communicate with their families and their families.,1.283612848866893,1.3145192699949089,0.030906421128015893,19.628140330314636
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",The worst thing is that the world is the worst thing in the world is the world.,1.4326065562665462,1.3560660236080488,-0.07654053265849736,37.99484372138977
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,There are two different meanings for the world.,1.6833743322108472,1.7535231913806815,0.07014885916983427,33.80640149116516
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.821938874640248,1.8953272525559772,0.07338837791572916,35.39290130138397
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,The first thing that you can do is you want to see is that there are a lot of people who are deaf or hard of hearing and hard of hearing.,2.0003696454148137,2.1033622455494156,0.10299260013460199,28.610289096832275
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,It is not the same thing as the deaf community.,1.653763296455145,1.74928840328204,0.09552510682689497,25.371676683425903
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,Father loves home.,1.668076987924247,1.5055232773135816,-0.16255371061066537,29.94004487991333
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,The father of the father is home.,1.7316528378889477,1.5680796305782028,-0.16357320731074498,39.06327188014984
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,He lived in the language of the deaf community.,1.6733076133795324,1.6282823139737392,-0.04502529940579314,23.682406544685364
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,The charges of the sound are more powerful.,2.352331751750575,2.176659720448347,-0.17567203130222797,19.617675244808197
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,This is the first time that we have been involved in the community.,1.677473534985135,1.8811109702548254,0.20363743526969036,25.03480315208435
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,Long-term,1.7508559684890013,1.9233914832382097,0.17253551474920847,6.135877966880798
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,Why do you think that sounds like a sound?,1.4538585791157352,1.5000928796827793,0.04623430056704403,21.050670742988586
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,It is hard to believe.,1.9156152982678678,1.7966254918277265,-0.11898980644014134,23.432600498199463
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,White and honey,1.244897330339466,1.2414911276496507,-0.0034062026898151743,11.001979559659958
Jonathan_2012-11-27_sc94_17,524,wh-question,When did you graduate high school?,How did you graduate high school?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.272274355164596,1.1579157295910751,-0.11435862557352094,43.21982264518738
Cory_2013-6-27_sc115_17,525,wh-question,Why did you pass out last night?,How did you pass out last night?,This is the first time in the day of the year.,1.472662602635947,1.5614506622607058,0.08878805962475878,20.038652420043945
