video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc107_19,1006,numbers,Demi Moore's first husband was Bruce Willis.,Demi Moore's second husband was Bruce Willis.,"Demimore's first husband, Buccerilla.",1.2104338833855257,1.3190630883302377,0.10862920494471195,38.22300434112549
Cory_2013-6-27_sc107_19,1007,numbers,The movie starts at 7.,The movie starts at 8,The business starts at 7:00 PM.,1.3300409547012786,1.4725173186849465,0.14247636398366792,62.22603917121887
Cory_2013-6-27_sc107_19,1008,numbers,"When you get the book, read chapter two.","When you get the book, read chapter three.",He finally received two chapters.,1.1518911841075594,1.2375533815559954,0.08566219744843595,47.986459732055664
Cory_2013-6-27_sc107_19,1009,numbers,Do you think Obama will be elected again for his second term as president?,Do you think Obama will be elected again for his third term as president?,This is the second president of Saudi Arabia.,0.953236213127772,1.0264280051798433,0.07319179205207138,26.704609394073486
Jonathan_2012-11-27_sc95_15,1010,numbers,"Last night, I played a close game of basketball with my friend. The score was 30-28 when it ended.","Last night, I played a close game of basketball with my friend. The score was 30-29 when it ended.","Last night, I played a friendship with a friend of sports and left the game at 30:26.",1.1510933026897185,1.1775370715468219,0.02644376885710331,53.127461671829224
Cory_2013-6-27_sc107_19,1011,numbers,Wow! That watch costs three thousand dollars!,Wow! That watch costs two thousand dollars!,"The Earth costs $4,000.",1.2751217090079319,1.3035942561585794,0.02847254715064751,30.20499348640442
Rachel_2011-12-08_sc44_15,1012,numbers,"""There's no homework for History class right?"" ""No, we have homework, We have to write a three page paper.""","""There's no homework for History class right?"" ""No, we have homework, We have to write a four page paper.""","There was no homework for him to leave, and there was no homework to write a written page.",1.3535856820504975,1.3772999533217087,0.023714271271211285,35.40896475315094
Rachel_2012-02-14_sc66_27,1013,numbers,There is one interesting study. What the study did they grouped people together and have them watch a video clip of car accident.,There are two interesting studies. What the studies did they grouped people together and have them watch a video clip of car accident.,One study demonstrated that an interesting group of people gathered to watch three hours of vehicle accidents.,1.0712744976178958,1.0822644741446883,0.010989976526792455,61.1488938331604
Rachel_2012-02-14_sc66_27,1014,numbers,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or five different words/groups.,One group would use the word HIT; other group uses SMASHED; and another group uses COLLIDED. I think there are four or six different words/groups.,"The word ""hin"" is the word ""smashed"" and ""collided"".",1.2223111995420344,1.2217485187765287,-0.0005626807655056965,40.08932709693909
Rachel_2012-02-14_sc66_27,1015,numbers,Car was going only twenty to thirty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,Car was going only twenty to forty MPH. It shows how the language influences individuals' answers even though they all were watching the same video clip.,"This means that there are only two languages that are used to trade, even though they are seen in the same period.",1.1681932592824582,1.1930034401064569,0.024810180823998662,36.038875579833984
Rachel_2012-02-14_sc66_27,1016,numbers,"The first thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".","The second thing the doctor and nurse would say to the parents would be ""I am sorry."" It's an automatic negative. ""I am sorry that your child is Deaf"".",The first term was that the doctor apologized to his parents in the nursing perspective was that he was apologizing for the first time he was deaf.,1.0031539998109766,1.0298990807741095,0.026745080963132883,43.824195861816406
