video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,"AND THEN THEY WOULD SAY, ""WHO'S THE VOICE OF THE VOICE OF THE VOICE?""",1.2253677610408615,1.3029427309898105,0.07757496994894897,30.2446186542511
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...","I WAS NOT THE ONLY ONE WHO WAS IN THE MUSIC, BUT I WAS THE ONLY ONE WHO TOLD ME THAT I WAS HERE AT THE BOTTOM OF THE SEARCH.",1.2692619798623996,1.318559856294728,0.049297876432328414,23.98650497198105
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",THERE'S A LOT OF DIFFERENT THINGS THAT WE CAN DO IN THE SAME WAY.,1.389798474808534,1.2696281105279923,-0.12017036428054162,27.49791145324707
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,THERE'S A LOT OF DIFFERENT DIFFERENT WAYS TO DO THAT.,1.734858966938087,1.8659121312878348,0.1310531643497479,31.167903542518616
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,I like to talk to you about Josica Hoden's B.,1.292488152330572,1.3360607913949274,0.04357263906435538,33.42675268650055
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,And then we were going to walk around and we were going to walk around and we were going to walk around and we were going to walk around and we were going to walk around and we were going to walk around and we were going to walk around.,1.8184080628618118,1.4769210661279744,-0.3414869967338374,29.8062264919281
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,"AND THEN THE CLOTHES ARE GOING TO GO BACK AND FORTH, BACK, BACK, BACK.",1.5490472538396716,1.2942855985541093,-0.25476165528556227,30.13838231563568
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,I SEEMED TO ARRIVE HOME WHEN?,1.618062646738414,1.3521767361089587,-0.2658859106294553,22.965368628501892
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,SEEMS LIKE ALL THE HOME HOME WHEN?,1.7404753753337368,1.470349901355803,-0.27012547397793374,21.8072310090065
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,THE NEXT THING I WANT TO SAY IS THAT THE NEXT THING I WANT TO DO IS LIVE IN THE LAST YEAR.,1.568354764652829,1.3767659490735367,-0.19158881557929242,32.14235305786133
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,This is a car that has been bought to you when you want it to be a car.,1.9630456279825281,1.5748557173288786,-0.3881899106536495,40.28804898262024
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,What do you do with your friends?,1.581057066253076,1.5672792840910994,-0.01377778216197667,61.70604228973389
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,Friends and friends are going to do this a little bit.,1.6676367324156065,1.5900890655491664,-0.0775476668664401,47.47822880744934
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,FRIENDS AND FRIENDS WERE SHOCKED TO GET TOGETHER AND TOGETHER.,1.3033309838838048,1.2271742588943906,-0.07615672498941417,24.504385888576508
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,"When you buy your car, where do you buy your car?",1.2806302569806576,1.1251630240678787,-0.15546723291277886,60.60343384742737
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,THIS IS A PICTURE OF THE GOOD THING ABOUT YOU.,1.2035570709833077,1.021838506902842,-0.18171856408046572,32.452407479286194
Jonathan_2012-11-27_sc94_17,524,wh-question,When did you graduate high school?,How did you graduate high school?,AND THEN I GRADUATED HIGH SCHOOL WHEN I GRADUATED HIGH SCHOOL.,1.1458233834377356,0.9372030361829435,-0.20862034725479206,56.53972625732422
Cory_2013-6-27_sc115_17,525,wh-question,Why did you pass out last night?,How did you pass out last night?,"YOU KNOW, YOU KNOW, YOU KNOW, YOU KNOW, YOU KITCHEN KITCHEN KITCHEN KITCHEN KITCHEN KITCHEN KITCHEN.",1.244154585356062,1.1571825466146974,-0.08697203874136461,20.987921953201294
Cory_2013-6-27_sc113_13,526,wh-question,Where did you put the tree?,How did you put the tree?,AND THEN YOU PUT THE TREE IN THERE.,1.3945029290126902,1.1558814898419838,-0.23862143917070644,48.597168922424316
Jonathan_2012-11-27_sc94_17,527,wh-question,When did your friend start driving?,How did your friend start driving?,"First of all, when you start what you want to do, what do you want to do?",1.5279048109013174,1.3035791668508734,-0.22432564405044397,34.12010073661804
Rachel_2012-02-09_sc57_9,528,wh-question,Where do we go if there's an emergency?,How do we go if there's an emergency?,"Okay, so we're going to go over here and we're going to go over here.",1.6193874317221344,1.3820633552968502,-0.2373240764252842,41.56041145324707
Cory_2013-6-27_sc113_13,529,wh-question,When do you finish work?,How do you finish work?,YOU HAVE ALREADY WORKED WHEN YOU WERE ALREADY WORKING.,1.773636753410101,1.1933900332078338,-0.5802467202022672,33.78877639770508
Cory_2013-6-27_sc113_13,530,wh-question,Why do you hate video games?,How do you hate video games?,"This is fine, this is fine, this is fine, this is fine, this is fine.",1.6380890006649083,1.5463447477026233,-0.09174425296228494,36.52339577674866
Cory_2013-6-27_sc113_13,531,wh-question,Where do you plan to travel?,How do you plan to travel?,"And then when you're doing this, you're going to travel around the road and you're going to walk around.",1.3731290096866673,1.1119337901473045,-0.26119521953936276,34.46820676326752
Jonathan_2012-11-27_sc98_14,532,wh-question,When do you want the BBQ to be?,How do you want the BBQ to be?,THIS IS THE COLOR OF YOUR POSITION.,2.0164017322240397,1.674173942016017,-0.34222779020802263,22.97597974538803
