video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc112_17,104,negation-reversed,A boy is feeding the fire.,A boy isn't feeding the fire.,Foxes can take the fire.,1.5821093660261896,1.7752180978655816,0.19310873183939203,32.70310163497925
Jonathan_2012-11-27_sc90_12,105,negation-reversed,A boy is making a bonfire.,A boy isn't making a bonfire.,"Okay, the boy was made and waited for the benefits of the boy.",1.570890764395396,1.7751608092337847,0.20427004483838873,40.94453454017639
Jonathan_2012-11-27_sc90_12,106,negation-reversed,A boy maintained the bonfire.,A boy didn't maintain the bonfire.,The Ben Fire is the opinion that the body movement is difficult to move.,1.869925714780887,1.7985017930822713,-0.07142392169861567,34.73007082939148
4-Ben-Deaf-Speech_19,107,negation-reversed,a hidden expression to let the professor know that the syntax linguistics class is boring.,a hidden expression to let the professor know that the syntax linguistics class isn't boring.,I also previously presented in Japan and San Francisco bored messages in my previous presentation.,1.3152693249694594,1.38258781874592,0.0673184937764606,29.34875786304474
2-Ben-Voice-Identity_15,108,negation-reversed,A lot of Deaf people experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,A lot of Deaf people don't experience trying to control their voice and the conception of their voice. They try to make voice accommodations.,Many deaf people have experienced signing with their voices and their voices.,0.7379107850548976,0.7746967298936256,0.03678594483872799,44.847917556762695
4-Ben-Deaf-Speech_19,109,negation-reversed,A lot of Deaf people use vocalization. I'd say there is a range.,A lot of Deaf people don't use vocalization. I'd say there is a range.,"Many deaf people are using voicing and voicing, voicing, voicing, voicing, and voicing as well.",1.3493140379396769,1.3346073896637265,-0.014706648275950363,49.99303221702576
5-Ben-Deaf-Grunts_19,110,negation-reversed,"A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was connected to vocal usage from speaking to laughter.","A while back there was a teacher who had a class and taught students how to laugh. The name of the book was  ""A List of How to Laugh."" The book showed real cultrual ideas of appropriate ranges of laughter. This was not connected to vocal usage from speaking to laughter.","In the past, teachers and students how to watch the list of laughters in the culture show that the idea of using voice to laugh from laughter to laughter.",1.1923477760470762,1.1991360576830228,0.00678828163594658,43.49526762962341
Rachel_2012-02-14_sc63_13,111,negation-reversed,"After the president leaves, I will talk with the reporters.","After the president leaves, I will not talk with the reporters.","Although the president has been talking with the responders,",0.8174877575288216,0.9210429001832381,0.10355514265441645,46.12444043159485
Rachel_2012-02-14_sc63_13,112,negation-reversed,All the men left together.,All the men didn't leave together.,The man left together.,1.1613357038133674,1.2644620463252068,0.10312634251183939,60.47380566596985
6-Ben-Control-of-Sound_4,113,negation-reversed,and how Deaf people form their voice range.,and how Deaf people don't form their voice range.,Almost all deaf people are voicing and under the United States.,1.4628107652745463,1.5055817934870719,0.04277102821252554,43.58685612678528
1-Ben-Introduction_20,114,negation-reversed,And how they coped and navigated through the world and the feedbacks they received from others.,And how they didn't cope and navigate through the world and the feedbacks they received from others.,We want to make sure that we are able to communicate with each other and feel free to communicate.,1.087231776599462,1.1085973571949075,0.021365580595445577,36.87026500701904
4-Ben-Deaf-Speech_19,115,negation-reversed,"As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I imagined this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","As I looked at my report card, I thought well I'm deaf but that doesn't matter because my report card says good speech. I didn't imagine this meant that my speech was equal to that of a hearing person. Wow, I really had good speech.","In the history of self-esteem, deaf and hard of hearing people have their own speech, they have a good speech that means that they have a good idea to have equal access to hearing people with disabilities.",1.173738612444653,1.163780943454591,-0.009957668990062007,41.18810296058655
7-Ben-Social-Msg_7,116,negation-reversed,"assess their character, intelligence, etc.  From the sound of their voice alone, similar to...","don't assess their character, intelligence, etc.  From the sound of their voice alone, similar to...",These types of characteristics do not know the four things from the speaking world.,1.3046291254460811,1.3636398250882578,0.059010699642176645,44.24067139625549
Jonathan_2012-11-27_sc96_17,117,negation-reversed,Bad weather is coming to Boston now.,Bad weather isn't coming to Boston now.,"Now that the bad weather is out of the business, the business is confusing.",1.4940439971113526,1.5747540497221053,0.0807100526107527,40.84755182266235
Jonathan_2012-11-27_sc90_12,118,negation-reversed,Barack Obama swam at the beach.,Barack Obama didn't swim at the beach.,Bernie Rebecca is the level of ASL.,1.966250050580129,1.74710929642121,-0.21914075415891898,21.50721848011017
2-Ben-Voice-Identity_15,119,negation-reversed,Bauman mentioned the concept of separating interpreting and ventriloquism.,Bauman didn't mention the concept of separating interpreting and ventriloquism.,Barman mentioned about the theory of interpreters as well as the distance between the climate distance.,1.4432059408227602,1.4270728214178234,-0.01613311940493678,35.387593507766724
3-Ben-Voice-Life_21,120,negation-reversed,"Bauman presented the idea that there is a loop between the mouth and the ears,","Bauman didn't present the idea that there is a loop between the mouth and the ears,",The lap is offered by the barriers that are separated from the back and forth to the back of the back and forth to the back of the back and forth.,1.24333768870823,1.2834595591716824,0.0401218704634525,33.06074142456055
5-Ben-Deaf-Grunts_19,121,negation-reversed,Benard Bragg explained his experience in class.,Benard Bragg didn't explain his experience in class.,Brend Bragg explained about his experiences in class.,0.9458124514979621,1.0568578444280714,0.11104539293010929,82.61639475822449
8-Ben-Control-of-sound-places_12,122,negation-reversed,"Bill Ennis told a great story about ""bubbles"".","Bill Ennis didn't tell a great story about ""bubbles"".","Bill Ennis told his great wonderful message about the Bubbles titled ""Bill Ennis"".",1.2430660061221173,1.3140277795631576,0.07096177344104038,59.00503993034363
Cory_2013-6-27_sc114_16,123,negation-reversed,Bob frequently gives his sweetheart roses.,Bob doesn't frequently give his sweetheart roses.,Bob gave him a game of water.,1.4831731055191784,1.5089637465029955,0.025790640983817115,27.771320939064026
Cory_2013-6-27_sc114_16,124,negation-reversed,Bob gave a rose to his wife because it's their anniversary today.,Bob didn't give a rose to his wife because it's not their anniversary today.,Bobbie gave him a nose to his wife because of his celebration today.,0.7460748770584663,0.8567649123633837,0.11069003530491739,41.4278507232666
Jonathan_2012-11-27_sc96_17,125,negation-reversed,Bob gave roses to his girlfriend.,Bob didn't give roses to his girlfriend.,"When you come back to the bob, you can give your flowers a flower.",1.4542607327594477,1.4101580603093635,-0.044102672450084146,37.56638765335083
Jonathan_2012-11-27_sc96_17,126,negation-reversed,Bob goes to the post office.,Bob doesn't go to the post office.,"Bough, go, go, go, go, go, go, go.",1.187691313439402,1.2358238303235598,0.04813251688415776,27.22547948360443
Jonathan_2012-11-27_sc96_17,127,negation-reversed,Bob has a big dog.,Bob doesn't have a big dog.,Bob points four have a large dog.,1.1000049073053033,1.364143974147737,0.2641390668424337,51.865679025650024
Jonathan_2012-11-27_sc97_19,128,negation-reversed,Bob hates reading books.,Bob doesn't hate reading books.,"Cob Puff, read the book.",1.7014340752363204,1.513003716012463,-0.18843035922385742,26.51478350162506
Jonathan_2012-11-27_sc96_17,129,negation-reversed,Bob needs to go to the post office because he needs stamps.,Bob doesn't need to go to the post office because he doesn't need stamps.,Cob should go out to the hospital because you need a letter.,0.9736063381036123,0.9577520040140765,-0.01585433408953585,40.404534339904785
Cory_2013-6-27_sc114_16,130,negation-reversed,Bob needs to go to the post office to buy stamps.,Bob doesn't need to go to the post office to buy stamps.,Your quarterback should go to the post because you need to buy a water secretary.,1.022334409058094,0.9740978620554271,-0.048236547002666774,34.06078219413757
Cory_2013-6-27_sc114_16,131,negation-reversed,Bob read a book.,Bob didn't read a book.,Bob read the book.,1.4103812224724714,1.4128580273439486,0.0024768048714771673,82.71721005439758
Jonathan_2012-11-27_sc96_17,132,negation-reversed,Bob read a book.,Bob didn't read a book.,Book read books.,1.4507863521575928,1.4938979133342702,0.04311156117667747,35.48761010169983
Cory_2013-6-27_sc114_16,133,negation-reversed,Bob sent a letter.,Bob didn't send a letter.,Bob sent a letter to the letter.,1.200868335013327,1.2298528209615212,0.02898448594819425,57.93553590774536
Cory_2013-6-27_sc114_16,134,negation-reversed,Bob went to the post office.,Bob didn't go to the post office.,Bobbie went to the post office.,0.9174280875715716,1.0325845621307106,0.11515647455913902,66.92250967025757
Rachel_2012-01-27_sc52_11,135,negation-reversed,Bob works at the bike store.,Bob doesn't work at the bike store.,The boy was working in a bicycle store and they were going to go to the store.,1.1698528490960598,1.3163987956941128,0.14654594659805298,54.582399129867554
Cory_2013-6-27_sc107_19,136,negation-reversed,Boston is a great city.,Boston isn't a great city.,Boston is a great city.,1.0695954634187121,1.2941386185034558,0.22454315508474365,94.08116340637207
7-Ben-Social-Msg_7,137,negation-reversed,Both of these cases basically involve the range of cultural acceptance for making noise.,Both of these cases don't basically involve the range of cultural acceptance for making noise.,These are basically made in cultural acceptance and range.,0.9670390811110481,0.9852672403580264,0.018228159246978293,45.73659300804138
2-Ben-Voice-Identity_15,138,negation-reversed,but the interpreter is speaking with a very high pitched voice.,but the interpreter isn't speaking with a very high pitched voice.,Interpreters are not always highly understood.,1.2008810678380542,1.1928881798217545,-0.007992888016299604,37.15933561325073
Rachel_2012-01-27_sc51_11,139,negation-reversed,"Cousin John's car broke down, do you remember?","Cousin John's car didn't break down, do you remember?",This is why John broke down his car and remembered him.,1.501443097803821,1.4781086150970724,-0.02333448270674854,43.39022636413574
Rachel_2012-01-27_sc50_10,140,negation-reversed,Dad is like me. He likes chocolate cereal.,Dad is not like me. He likes chocolate cereal.,The moon likes two chocolate candles.,1.358407040754723,1.2523360151718272,-0.10607102558289583,24.24658089876175
Cory_2013-6-27_sc110_14,141,negation-reversed,"Dad likes chocolate cereal, like me.","Dad doesn't like chocolate cereal, like me.",He likes the chocolate cereal as well.,1.118525087732721,1.123685334385796,0.005160246653074907,67.70946383476257
Rachel_2012-01-27_sc50_10,142,negation-reversed,Dad likes chocolate cereal.,Dad doesn't like chocolate cereal.,"And the firefighter is in Washington, DC and the chocolate force is large.",1.4996858778010522,1.2955399381262915,-0.2041459396747607,21.77531123161316
Cory_2013-6-27_sc107_19,143,negation-reversed,Demi Moore's first husband was Bruce Willis.,Demi Moore's first husband wasn't Bruce Willis.,The first husband is Buccilla.,1.2734544187784196,1.4274493410096813,0.15399492223126177,30.71507215499878
