video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
2-Ben-Voice-Identity_15,508,wh-question,... whose voice it is when the sound is coming from a different direction,... which voice it is when the sound is coming from a different direction,The first thing I want to share with you is that I want to share with you is that I want to share a little bit more about the deaf culture.,1.344736258172103,1.3513024871715822,0.006566228999479229,30.105721950531006
4-Ben-Deaf-Speech_19,509,wh-question,"A deep voice, the quality of the voice, not of the speech. But I wondered, why did they tell me that? There's an underlying assumption...","A deep voice, the quality of the voice, not of the speech. But I wondered, when did they tell me that? There's an underlying assumption...","The first time they were able to communicate with their families, their families and their families, their friends and families.",1.3528334240064672,1.3839293148020189,0.03109589079555164,23.880575597286224
2-Ben-Voice-Identity_15,510,wh-question,"and even worse, whose is the voice that you're associating with a persona.","and even worse, where is the voice that you're associating with a persona.",There are many different meanings for the world.,1.503803431491057,1.4048243229587873,-0.09897910853226977,29.91166114807129
Cory_2013-6-27_sc114_16,511,wh-question,Ask for directions. Where do I go?,Ask for directions. How do I go?,Captioned by aslcaptions.com,1.788753215862172,1.876405383939996,0.08765216807782394,19.653713703155518
Jonathan_2012-11-27_sc98_14,512,wh-question,Do you usually talk with Jessica and Donna? What? Why?,Do you usually talk with Jessica and Donna? Why? When?,"I would think what can I do to direct, how can I improve as an artist. How would I direct?",1.8800922238691287,1.9609976523301818,0.08090542846105309,35.39291024208069
Jonathan_2012-11-27_sc98_14,513,wh-question,Where are the clothes on sale?,How are the clothes on sale?,Captioned by aslcaptions.com,1.999346446125738,2.094839235318118,0.09549278919238025,21.805068850517273
Cory_2013-6-27_sc115_17,514,wh-question,Where are the clothes that are on sale?,How are the clothes that are on sale?,This is not the first time that I have been able to do this.,1.6482705589383841,1.749878789837423,0.10160823089903892,32.32740759849548
Cory_2013-6-27_sc112_17,515,wh-question,When did Father arrive home?,How did Father arrive home?,The father is also a father.,1.8907896665663555,1.803372294242893,-0.08741737232346258,28.59150767326355
Cory_2013-6-27_sc112_17,516,wh-question,When did Father arrive home?,How did Father arrive home?,This is the first time that we are going to talk about how to communicate with him.,1.9097294140735577,1.7941135612449475,-0.1156158528286102,30.521833896636963
Cory_2013-6-27_sc107_19,517,wh-question,Where did John live last year?,How did John live last year?,His life has been developed.,1.9873442566923556,1.8900618937251896,-0.09728236296716597,24.94550347328186
Cory_2013-6-27_sc107_19,518,wh-question,When did Mary buy the car?,How did Mary buy the car?,Captioned by aslcaptions.com,2.478267680439684,2.3112836319666643,-0.16698404847301962,17.111456394195557
Cory_2013-6-27_sc112_17,519,wh-question,What did the friend do?,How did the friend do?,Captions by aslcaptions,1.758951788302511,1.8975898730366125,0.13863808473410155,15.497300028800964
Cory_2013-6-27_sc112_17,520,wh-question,What did the friend do?,How did the friend do?,Captioned by aslcaptions.com,1.7323122913949192,1.9003656380202458,0.16805334662532667,17.86911189556122
Cory_2013-6-27_sc112_17,521,wh-question,Why did the friends dye their hair together?,How did the friends dye their hair together?,My favorite thing is the most important thing I love about.,1.663530142770873,1.6660820118255086,0.0025518690546355582,26.834207773208618
Cory_2013-6-27_sc113_13,522,wh-question,Where did you buy the car?,How did you buy the car?,Sign Language,1.9292929372577756,1.8706361639499665,-0.05865677330780916,15.584056079387665
Cory_2013-6-27_sc113_13,523,wh-question,When did you graduate high school?,How did you graduate high school?,This is the sign for the first time in the first time.,1.275315217354468,1.1591434121570166,-0.1161718051974514,30.534827709197998
