video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
8-Ben-Control-of-sound-places_12,801,conditional,"Deaf people scream and if it goes over the spectrum, people would notice it.","Deaf people scream and when it goes over the spectrum, people would notice it.","The more deaf and hard of hearing people can see in their eyes, the hearing people can see their eyes and their eyes are on their hearing peers.",1.1504397455651265,1.1251733803862258,-0.025266365178900685,43.72611045837402
Rachel_2012-02-09_sc57_9,802,conditional,"Even if you make only one tiny mistake, it will be tossed out.","Even when you make only one tiny mistake, it will be tossed out.","She wrote something wrong with the word ""only"" and she would buy it.",1.338408703191413,1.3626851687064538,0.024276465515040924,26.396793127059937
2-Ben-Voice-Identity_15,803,conditional,How do I trust them if I don't know who they are?,How do I trust them when I don't know who they are?,I don't know how to trust him.,0.8664729095250369,0.803184322368067,-0.06328858715696983,61.116111278533936
Cory_2013-6-27_sc109_21,804,conditional,"I don't think he was planning to go, but if I see him, I'll have him call you.","I don't think he was planning to go, but when I see him, I'll have him call you.",I don't think she plans to come to the conference because I will tell you what to do.,0.9423083017898511,0.9601977485933422,0.017889446803491027,45.29791474342346
Cory_2013-6-27_sc109_21,805,conditional,"I like it, if it has butter, I'm fine with that.","I like it, when it has butter, I'm fine with that.","I like it because if you have a reading inside, I don't know.",1.2486736855032492,1.2886181500028162,0.03994446449956701,41.024601459503174
Rachel_2012-02-09_sc61_9,806,conditional,I will be thrilled if I see my friend tomorrow.,I will be thrilled when I see my friend tomorrow.,I've seen a friend tomorrow and I'm thrilled.,0.8132801306589196,0.7369849345088005,-0.07629519615011904,72.1975564956665
Cory_2013-6-27_sc112_17,807,conditional,"If a group of friends go camping together, I will join them.","When a group of friends go camping together, I will join them.","If a friend gathered together, he would join the camping camp.",1.028019403886111,1.1805761326400062,0.15255672875389514,58.20782780647278
Rachel_2012-01-27_sc55_13,808,conditional,"If an interpreter comes, it will be a strange situation.","When an interpreter comes, it will be a strange situation.","If the release arrives, it is an unusual situation.",1.026485028300892,1.1352400762044776,0.1087550479035857,43.140703439712524
Jonathan_2012-11-27_sc97_19,809,conditional,"If Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.","When Bob adopts a big dog, he has to accept that he will spend lots of money on the dog.",The Facebook adopted a major dog that could be accepted to feedback.,1.1231539367601788,1.2290311108730483,0.10587717411286945,38.21036219596863
Cory_2013-6-27_sc115_17,810,conditional,"If Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","When Bob decides to adopt a big dog, he will have to accept the fact that he will spend lots of money on dog food.","If the fabric takes over, the dog must accept the feeding drug food.",1.0900175065395579,1.1424106979499693,0.05239319141041143,31.338897347450256
Jonathan_2012-11-27_sc97_19,811,conditional,"If Bob goes to the post office, I will give him all of my mail so he can drop it off.","When Bob goes to the post office, I will give him all of my mail so he can drop it off.",I will give you all my letters because you can die.,0.9506278429180384,1.0865019974298775,0.13587415451183915,33.57723355293274
