video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-27_sc109_21,208,yes/no,Are Jen and Joe married?,Jen and Joe are married.,Jennifer and I were married.,2.377040145099163,1.389408729672432,-0.9876314154267309,50.92145800590515
Cory_2013-6-27_sc114_16,209,yes/no,Are the clothes on sale?,The clothes are on sale.,It is all about wearing a left hand.,1.943979397714138,1.4873262238502503,-0.4566531738638877,25.331541895866394
Jonathan_2012-11-27_sc96_17,210,yes/no,Are the clothes really on sale?,The clothes are really on sale.,Clothing on the style is actually the same.,1.395813555107452,0.9929409505566582,-0.40287260455079377,49.06998872756958
Jonathan_2012-11-27_sc90_12,211,yes/no,Are the friends going out?,The friends are going out.,"First of all, I went out.",1.4119693835576375,1.0079936060916495,-0.403975777465988,43.089860677719116
Cory_2013-6-27_sc112_17,212,yes/no,Are the kids playing at the park?,The kids are playing at the park.,The kids now see the ark.,1.5145360069239842,1.131262552431401,-0.3832734544925831,38.54470252990723
Jonathan_2012-11-27_sc96_17,213,yes/no,Are there only horses playing on the farmland?,Only horses are playing on the farmland.,The farm is the only horse.,1.2354507355138342,1.2604666288669517,0.02501589335311749,29.93718385696411
Rachel_2012-01-27_sc55_13,214,yes/no,Are you going to interpret tomorrow at the library?,You are going to interpret tomorrow at the library.,Are you watching a beautiful interpreter tomorrow?,1.153163861268415,0.8840500943076152,-0.2691137669607998,37.074217200279236
Rachel_2012-01-27_sc56_9,215,yes/no,Are you going to school tomorrow?,You are going to school tomorrow.,He will go to school tomorrow.,1.143600824124673,0.6178392343880499,-0.525761589736623,64.71614837646484
Cory_2013-6-27_sc107_19,216,yes/no,Are you going to the party next week?,You are going to the party next week.,Do you go to a party next week?,1.1445363124734478,0.65788294776882,-0.48665336470462783,83.69492292404175
Rachel_2012-01-27_sc56_9,217,yes/no,Are you watching the football game?,You are watching the football game.,A little bit of football games.,1.124272698433035,0.8288891103325619,-0.29538358810047305,53.74869704246521
Jonathan_2012-11-27_sc90_12,218,yes/no,Did Barack Obama swim at the beach?,Barack Obama swam at the beach.,The bartick ebarrassment level is 13.,2.33401544060972,1.8244998869486153,-0.5095155536611049,14.668917655944824
Rachel_2011-12-08_sc46_14,219,yes/no,Did Bill move to New York?,Bill moved to New York.,Are you going to go again?,1.9875414055530671,1.6812306391075253,-0.3063107664455418,34.79796051979065
Cory_2013-6-27_sc114_16,220,yes/no,Did Bob arrive at the post office?,Bob arrived at the post office.,Bob arrived in Postal Service.,1.9393341391214303,0.7603510508779436,-1.1789830882434866,62.48142123222351
Jonathan_2012-11-27_sc96_17,221,yes/no,Did Bob give someone roses?,Bob gave someone roses.,Do you like to see the bob?,2.7859172707955753,2.0614937994008264,-0.7244234713947488,32.081979513168335
Cory_2013-6-27_sc114_16,222,yes/no,Did Bob give the rose to his sweetheart?,Bob gave the rose to his sweetheart.,They have already been given the rose games.,1.977376464754343,1.3713936524818073,-0.6059828122725357,34.81542468070984
Cory_2013-6-27_sc114_16,223,yes/no,Did Bob send the letter?,Bob sent the letter.,You have sent a letter to the mail.,2.513538276851177,1.2407813208798568,-1.2727569559713203,50.388896465301514
Cory_2013-6-27_sc114_16,224,yes/no,Did dad mow the lawn?,Dad mowed the lawn.,"After his hair was finished, he was grumpy.",2.9217330772768366,2.0085193522274496,-0.913213725049387,24.966630339622498
Jonathan_2012-11-27_sc95_15,225,yes/no,Did Donna give the money?,Donna gave the money.,Do you have any money?,1.9371941293088288,1.7065803823484615,-0.2306137469603673,49.039316177368164
