video_id,utterance_id,phenomenon,good_sentence,bad_sentence,hypothesis,good_nll,bad_nll,nll_diff,bleurt
Cory_2013-6-25_sc0106_17,1125,classifiers,... while I was growing up until I was six and a half years old.,... while I was getting bigger until I was six and a half years old.,There are two different meanings for the world.,1.1541247544953457,1.1514178241292636,-0.00270693036608205,29.081398248672485
Rachel_2011-12-08_sc44_15,1126,classifiers,"""Your uncle lives in a big house right?"" ""No, he lives in a small apartment.""","""Your uncle lives in a tiny house right?"" ""No, he lives in a small apartment.""",The first thing that I want to share with you is that I want to share with you is that I want to share with you all of your friends and family members.,1.586090862416686,1.6139129229078564,0.02782206049117031,31.74084722995758
Jonathan_2012-11-27_sc90_12,1127,classifiers,A boy maintained the bonfire.,A boy maintained the car.,THIS IS THE FIRST TIME I WANT TO SHARE WITH YOU ALL THE DIFFERENT PEOPLE IN THE UNITED STATES.,3.1188742333402235,2.900531282218603,-0.2183429511216204,24.609722197055817
2-Ben-Voice-Identity_15,1128,classifiers,"a deaf person approches you and they don't talk, suppose they're mute, and you're trying to figure them out.","a deaf person leaves you and they don't talk, suppose they're mute, and you're trying to figure them out.",Captioned by aslcaptions.com,1.4508953419847226,1.3516686186897304,-0.09922672329499216,9.92799922823906
Cory_2013-6-27_sc107_19,1129,classifiers,"A man walking saw money on the ground, and seeing no one was around, he pocketed it.","A man walking saw money on the ground, and seeing no one was around, he threw it.",The first thing that you want to do is you want to know is that you are going to be able to communicate with us.,1.4883480409488958,1.5318821954381903,0.04353415448929443,24.235302209854126
5-Ben-Deaf-Grunts_19,1130,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he ran into the locker room to change clothes and above the room there was a bathroom. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.",The first thing that you can do is you want to know is that you want to know what you are talking about today is the first time you are going to be able to communicate with your family and friends.,1.3283611661544792,1.3756956021555447,0.04733443600106546,28.278756141662598
5-Ben-Deaf-Grunts_19,1131,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people shouting. As if they were having a conversation, and grunting back and forth.",The first thing that you can do is you want to know is that you want to know what you are talking about today is the first time you are going to be able to communicate with your family and friends.,1.3283611661544792,1.319109507056104,-0.009251659098375109,28.278756141662598
5-Ben-Deaf-Grunts_19,1132,classifiers,"After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and grunting back and forth.","After working out and playing he went into the locker room to change clothes and next to the room there was a hallway. He heard two deaf people grunting. As if they were having a conversation, and shouting back and forth.",The first thing that you can do is you want to know is that you want to know what you are talking about today is the first time you are going to be able to communicate with your family and friends.,1.3283611661544792,1.320057654115665,-0.008303512038814187,28.278756141662598
Cory_2013-6-27_sc109_21,1133,classifiers,"American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies between Boston and Florida.","American Airlines isn't that expensive, but if it was, then I'd be stuck because it's the only airline that flies one-way from Boston to Florida.",The first thing that I want to share with you is that I want to share with you is that I want to share a little bit more about the first time in my life with you the first time in my life.,1.221012543834431,1.316161815510833,0.09514927167640197,32.39257335662842
6-Ben-Control-of-Sound_4,1134,classifiers,and how Deaf people form their voice range.,and how Deaf people form their voice pattern.,The first thing I want to share with you is I want to share with you is I want to tell you about the first thing I want to share with you about the first time.,1.5862869181754915,1.5158755182410064,-0.07041139993448509,40.05241394042969
8-Ben-Control-of-sound-places_12,1135,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he ate kernels of popcorn pretty slowly.",The first thing I want to share with you is that we are going to share with you is that the first thing I want to share with you about the first time in the first time you are going to be able to talk about with your family members.,1.6129864265888252,1.5873249994421548,-0.025661427146670412,36.60937547683716
8-Ben-Control-of-sound-places_12,1136,classifiers,"Another time when attending the movie theatre, he ate kernels of popcorn pretty loudly.","Another time when attending the movie theatre, he dropped kernels of popcorn pretty loudly.",The first thing I want to share with you is that we are going to share with you is that the first thing I want to share with you about the first time in the first time you are going to be able to talk about with your family members.,1.6129864265888252,1.5293894791975617,-0.08359694739126344,36.60937547683716
